Comunidades y Ciudades Autónomas;Periodo;Total
16 País Vasco;2020;154,94
16 País Vasco;2019;151,38
16 País Vasco;2018;148,17
16 País Vasco;2017;145,66
16 País Vasco;2016;143,92
16 País Vasco;2015;142,31
16 País Vasco;2014;140,66
16 País Vasco;2013;137,85
16 País Vasco;2012;136,44
16 País Vasco;2011;136,3
16 País Vasco;2010;136,08
16 País Vasco;2009;135,98
16 País Vasco;2008;136,26
16 País Vasco;2007;137,76
16 País Vasco;2006;139,16
16 País Vasco;2005;139,51
16 País Vasco;2004;141,02
16 País Vasco;2003;141,97
16 País Vasco;2002;140,63
16 País Vasco;2001;136,39
16 País Vasco;2000;131,44
16 País Vasco;1999;125,59
16 País Vasco;1998;118,53
16 País Vasco;1997;110,88
16 País Vasco;1996;103,5
16 País Vasco;1995;95,54
16 País Vasco;1994;87,75
16 País Vasco;1993;80,36
16 País Vasco;1992;73,57
16 País Vasco;1991;67,28
16 País Vasco;1990;61,48
16 País Vasco;1989;56,32
16 País Vasco;1988;51,84
16 País Vasco;1987;47,84
16 País Vasco;1986;44,53
16 País Vasco;1985;41,66
16 País Vasco;1984;39,41
16 País Vasco;1983;37,35
16 País Vasco;1982;35,4
16 País Vasco;1981;33,73
16 País Vasco;1980;32,1
16 País Vasco;1979;30,66
16 País Vasco;1978;29,52
16 País Vasco;1977;28,72
16 País Vasco;1976;28,07
16 País Vasco;1975;27,35
17 Rioja, La;2025;159,25
17 Rioja, La;2024;153
17 Rioja, La;2023;147,49
17 Rioja, La;2022;143,83
17 Rioja, La;2021;139,93
17 Rioja, La;2020;137,21
17 Rioja, La;2019;135,29
17 Rioja, La;2018;133,04
17 Rioja, La;2017;130,78
17 Rioja, La;2016;128,45
17 Rioja, La;2015;126,43
17 Rioja, La;2014;123,79
17 Rioja, La;2013;120,52
17 Rioja, La;2012;119,27
17 Rioja, La;2011;118,95
17 Rioja, La;2010;119,12
17 Rioja, La;2009;118,83
17 Rioja, La;2008;120,75
17 Rioja, La;2007;125,04
17 Rioja, La;2006;127,31
17 Rioja, La;2005;128,96
17 Rioja, La;2004;132,8
17 Rioja, La;2003;137,15
17 Rioja, La;2002;139,92
17 Rioja, La;2001;137,7
17 Rioja, La;2000;134,71
17 Rioja, La;1999;131,17
17 Rioja, La;1998;126,22
17 Rioja, La;1997;120,65
17 Rioja, La;1996;114,89
17 Rioja, La;1995;108,32
17 Rioja, La;1994;102,41
17 Rioja, La;1993;96,85
17 Rioja, La;1992;91,46
17 Rioja, La;1991;86,33
17 Rioja, La;1990;81,12
17 Rioja, La;1989;76,22
17 Rioja, La;1988;71,62
17 Rioja, La;1987;67,42
17 Rioja, La;1986;63,65
17 Rioja, La;1985;60,56
17 Rioja, La;1984;58,16
17 Rioja, La;1983;55,82
17 Rioja, La;1982;54,35
17 Rioja, La;1981;53,08
17 Rioja, La;1980;51,63
17 Rioja, La;1979;50,18
17 Rioja, La;1978;49,24
17 Rioja, La;1977;48,48
17 Rioja, La;1976;47,86
17 Rioja, La;1975;46,67
18 Ceuta;2025;74,48
18 Ceuta;2024;69,61
18 Ceuta;2023;64,81
18 Ceuta;2022;61,31
18 Ceuta;2021;58,44
18 Ceuta;2020;55,89
18 Ceuta;2019;53,22
18 Ceuta;2018;51,31
18 Ceuta;2017;50,14
18 Ceuta;2016;49,68
18 Ceuta;2015;48,79
18 Ceuta;2014;48,8
18 Ceuta;2013;48,99
18 Ceuta;2012;49,09
18 Ceuta;2011;50,22
18 Ceuta;2010;51,2
18 Ceuta;2009;51,71
18 Ceuta;2008;51,92
18 Ceuta;2007;52,03
18 Ceuta;2006;51,92
18 Ceuta;2005;51,44
18 Ceuta;2004;50,86
18 Ceuta;2003;50,34
18 Ceuta;2002;49,68
18 Ceuta;2001;48,26
18 Ceuta;2000;47,12
18 Ceuta;1999;45,95
18 Ceuta;1998;44,8
18 Ceuta;1997;43,36
18 Ceuta;1996;41,72
18 Ceuta;1995;39,82
18 Ceuta;1994;38,41
18 Ceuta;1993;37,14
18 Ceuta;1992;36,46
18 Ceuta;1991;35,05
18 Ceuta;1990;33,81
18 Ceuta;1989;33
18 Ceuta;1988;31,95
18 Ceuta;1987;30,8
18 Ceuta;1986;29,53
18 Ceuta;1985;28,29
18 Ceuta;1984;27,32
18 Ceuta;1983;26,16
18 Ceuta;1982;25,38
18 Ceuta;1981;24,69
18 Ceuta;1980;24,51
18 Ceuta;1979;24,06
18 Ceuta;1978;23,8
18 Ceuta;1977;23,36
18 Ceuta;1976;22,69
18 Ceuta;1975;21,33
19 Melilla;2025;60,4
19 Melilla;2024;56
19 Melilla;2023;52,02
19 Melilla;2022;48,36
19 Melilla;2021;45,23
19 Melilla;2020;43,62
19 Melilla;2019;41,88
19 Melilla;2018;40,4
19 Melilla;2017;39,43
19 Melilla;2016;38,77
19 Melilla;2015;38,81
19 Melilla;2014;39,08
19 Melilla;2013;39,44
19 Melilla;2012;40,52
19 Melilla;2011;41,98
19 Melilla;2010;42,73
19 Melilla;2009;43,01
19 Melilla;2008;43,28
19 Melilla;2007;43,85
19 Melilla;2006;44,77
19 Melilla;2005;44,33
19 Melilla;2004;44,48
19 Melilla;2003;44,86
19 Melilla;2002;43,87
19 Melilla;2001;42,42
19 Melilla;2000;41,75
19 Melilla;1999;40,82
19 Melilla;1998;40,31
19 Melilla;1997;39,27
19 Melilla;1996;38,57
19 Melilla;1995;37,25
19 Melilla;1994;36,54
19 Melilla;1993;35,96
19 Melilla;1992;35,31
19 Melilla;1991;34,18
19 Melilla;1990;33,05
19 Melilla;1989;32,68
19 Melilla;1988;32,41
19 Melilla;1987;31,77
19 Melilla;1986;31,2
19 Melilla;1985;30,55
19 Melilla;1984;30,17
19 Melilla;1983;29,21
19 Melilla;1982;28,28
19 Melilla;1981;27,53
19 Melilla;1980;27,79
19 Melilla;1979;27,98
19 Melilla;1978;28,15
19 Melilla;1977;27,46
19 Melilla;1976;26,3
19 Melilla;1975;25,14
