Comunidades y Ciudades Autónomas;Periodo;Total
03 Asturias, Principado de;1994;117,91
03 Asturias, Principado de;1993;108,64
03 Asturias, Principado de;1992;100,59
03 Asturias, Principado de;1991;93,13
03 Asturias, Principado de;1990;86,16
03 Asturias, Principado de;1989;80,02
03 Asturias, Principado de;1988;74,56
03 Asturias, Principado de;1987;69,88
03 Asturias, Principado de;1986;66,17
03 Asturias, Principado de;1985;62,88
03 Asturias, Principado de;1984;60,44
03 Asturias, Principado de;1983;57,94
03 Asturias, Principado de;1982;55,67
03 Asturias, Principado de;1981;53,56
03 Asturias, Principado de;1980;51,65
03 Asturias, Principado de;1979;49,59
03 Asturias, Principado de;1978;47,59
03 Asturias, Principado de;1977;46,03
03 Asturias, Principado de;1976;44,64
03 Asturias, Principado de;1975;42,91
04 Balears, Illes;2025;117,37
04 Balears, Illes;2024;113,88
04 Balears, Illes;2023;109,62
04 Balears, Illes;2022;106,48
04 Balears, Illes;2021;102,85
04 Balears, Illes;2020;100,12
04 Balears, Illes;2019;98,15
04 Balears, Illes;2018;96,68
04 Balears, Illes;2017;95,14
04 Balears, Illes;2016;93,67
04 Balears, Illes;2015;92,44
04 Balears, Illes;2014;90,95
04 Balears, Illes;2013;88,57
04 Balears, Illes;2012;87,12
04 Balears, Illes;2011;85,45
04 Balears, Illes;2010;84,15
04 Balears, Illes;2009;83,29
04 Balears, Illes;2008;83,22
04 Balears, Illes;2007;83,5
04 Balears, Illes;2006;84,31
04 Balears, Illes;2005;84,39
04 Balears, Illes;2004;85,01
04 Balears, Illes;2003;86,41
04 Balears, Illes;2002;88,11
04 Balears, Illes;2001;87,01
04 Balears, Illes;2000;85,68
04 Balears, Illes;1999;84,52
04 Balears, Illes;1998;82,44
04 Balears, Illes;1997;80,19
04 Balears, Illes;1996;77,49
04 Balears, Illes;1995;74,92
04 Balears, Illes;1994;72,39
04 Balears, Illes;1993;70,22
04 Balears, Illes;1992;68,44
04 Balears, Illes;1991;66,57
04 Balears, Illes;1990;63,63
04 Balears, Illes;1989;61,17
04 Balears, Illes;1988;58,66
04 Balears, Illes;1987;56,41
04 Balears, Illes;1986;54,62
04 Balears, Illes;1985;53,08
04 Balears, Illes;1984;51,88
04 Balears, Illes;1983;50,72
04 Balears, Illes;1982;49,65
04 Balears, Illes;1981;48,54
04 Balears, Illes;1980;46,83
04 Balears, Illes;1979;45,49
04 Balears, Illes;1978;44,4
04 Balears, Illes;1977;43,72
04 Balears, Illes;1976;43,28
04 Balears, Illes;1975;42,99
05 Canarias;2025;149,47
05 Canarias;2024;142,64
05 Canarias;2023;135,98
05 Canarias;2022;129,51
05 Canarias;2021;121,85
05 Canarias;2020;115,7
05 Canarias;2019;111,24
05 Canarias;2018;107,63
05 Canarias;2017;104,04
05 Canarias;2016;100,4
05 Canarias;2015;97,11
05 Canarias;2014;93,8
05 Canarias;2013;90,48
05 Canarias;2012;87,56
05 Canarias;2011;84,57
05 Canarias;2010;81,43
05 Canarias;2009;78,43
05 Canarias;2008;76,25
05 Canarias;2007;74,39
05 Canarias;2006;73,12
05 Canarias;2005;71,18
05 Canarias;2004;70,23
05 Canarias;2003;69,3
05 Canarias;2002;68,13
05 Canarias;2001;65,8
05 Canarias;2000;63,16
05 Canarias;1999;60,43
05 Canarias;1998;57,23
05 Canarias;1997;53,77
05 Canarias;1996;50,75
05 Canarias;1995;47,79
05 Canarias;1994;45,19
05 Canarias;1993;42,96
05 Canarias;1992;40,98
05 Canarias;1991;38,94
05 Canarias;1990;36,79
05 Canarias;1989;34,73
05 Canarias;1988;32,9
05 Canarias;1987;31,17
05 Canarias;1986;29,7
05 Canarias;1985;28,5
05 Canarias;1984;27,67
05 Canarias;1983;26,69
05 Canarias;1982;25,79
05 Canarias;1981;24,93
05 Canarias;1980;23,99
05 Canarias;1979;23
05 Canarias;1978;22,36
05 Canarias;1977;21,71
05 Canarias;1976;21,19
05 Canarias;1975;20,5
06 Cantabria;2025;197,58
06 Cantabria;2024;187,48
06 Cantabria;2023;178,54
06 Cantabria;2022;172,07
06 Cantabria;2021;164,52
06 Cantabria;2020;158,68
06 Cantabria;2019;153,56
06 Cantabria;2018;149,67
06 Cantabria;2017;146,36
06 Cantabria;2016;142,96
06 Cantabria;2015;140,12
06 Cantabria;2014;137,74
06 Cantabria;2013;135,07
06 Cantabria;2012;133,62
06 Cantabria;2011;133,39
06 Cantabria;2010;134,01
06 Cantabria;2009;134,82
06 Cantabria;2008;136,96
06 Cantabria;2007;139,69
06 Cantabria;2006;141,9
06 Cantabria;2005;143,14
06 Cantabria;2004;144,94
06 Cantabria;2003;145,8
06 Cantabria;2002;144,72
06 Cantabria;2001;140,19
06 Cantabria;2000;135,24
06 Cantabria;1999;129,3
06 Cantabria;1998;122,39
06 Cantabria;1997;114,86
06 Cantabria;1996;107,8
06 Cantabria;1995;100,37
06 Cantabria;1994;93,35
06 Cantabria;1993;87,13
06 Cantabria;1992;81,59
06 Cantabria;1991;76,18
06 Cantabria;1990;71,14
06 Cantabria;1989;66,54
06 Cantabria;1988;62,68
06 Cantabria;1987;59,13
06 Cantabria;1986;56,18
06 Cantabria;1985;53,64
06 Cantabria;1984;51,9
06 Cantabria;1983;50,12
06 Cantabria;1982;48,23
06 Cantabria;1981;46,85
06 Cantabria;1980;45,41
06 Cantabria;1979;43,78
06 Cantabria;1978;42,28
06 Cantabria;1977;41,06
06 Cantabria;1976;40,2
06 Cantabria;1975;39,01
07 Castilla y León;2025;230,7
07 Castilla y León;2024;223,89
07 Castilla y León;2023;217,18
07 Castilla y León;2022;212,89
07 Castilla y León;2021;205,66
07 Castilla y León;2020;202,26
07 Castilla y León;2019;198,29
07 Castilla y León;2018;194,49
07 Castilla y León;2017;191,2
07 Castilla y León;2016;188
07 Castilla y León;2015;185,38
07 Castilla y León;2014;182,94
07 Castilla y León;2013;179,36
07 Castilla y León;2012;177,96
07 Castilla y León;2011;177,22
07 Castilla y León;2010;175,99
07 Castilla y León;2009;175,19
07 Castilla y León;2008;175,72
07 Castilla y León;2007;177,86
07 Castilla y León;2006;178,62
07 Castilla y León;2005;177,84
07 Castilla y León;2004;178,16
07 Castilla y León;2003;177,56
07 Castilla y León;2002;175,02
07 Castilla y León;2001;168,49
07 Castilla y León;2000;161,74
07 Castilla y León;1999;154,73
07 Castilla y León;1998;146,94
07 Castilla y León;1997;138,9
07 Castilla y León;1996;131,02
07 Castilla y León;1995;122,94
07 Castilla y León;1994;115,32
07 Castilla y León;1993;108,12
07 Castilla y León;1992;101,43
07 Castilla y León;1991;95,04
07 Castilla y León;1990;89,4
07 Castilla y León;1989;84,17
07 Castilla y León;1988;79,31
07 Castilla y León;1987;74,81
07 Castilla y León;1986;70,94
07 Castilla y León;1985;67,83
07 Castilla y León;1984;65,45
07 Castilla y León;1983;62,96
07 Castilla y León;1982;60,66
07 Castilla y León;1981;58,42
07 Castilla y León;1980;56
07 Castilla y León;1979;53,91
07 Castilla y León;1978;51,96
07 Castilla y León;1977;50,04
07 Castilla y León;1976;48,09
07 Castilla y León;1975;46,14
08 Castilla - La Mancha;2025;136,02
08 Castilla - La Mancha;2024;131,34
08 Castilla - La Mancha;2023;126,9
08 Castilla - La Mancha;2022;123,64
08 Castilla - La Mancha;2021;120,38
08 Castilla - La Mancha;2020;119,43
08 Castilla - La Mancha;2019;117,75
08 Castilla - La Mancha;2018;115,84
08 Castilla - La Mancha;2017;114,02
08 Castilla - La Mancha;2016;112,29
08 Castilla - La Mancha;2015;110,75
08 Castilla - La Mancha;2014;108,68
08 Castilla - La Mancha;2013;106,52
08 Castilla - La Mancha;2012;106,04
08 Castilla - La Mancha;2011;106,4
08 Castilla - La Mancha;2010;106,25
08 Castilla - La Mancha;2009;106,47
08 Castilla - La Mancha;2008;107,42
08 Castilla - La Mancha;2007;110,09
08 Castilla - La Mancha;2006;112,78
08 Castilla - La Mancha;2005;112,34
