Comunidades y Ciudades Autónomas;Sexo;Periodo;Total
17 Rioja, La;Ambos sexos;2012;42,44
17 Rioja, La;Ambos sexos;2011;42,18
17 Rioja, La;Ambos sexos;2010;41,98
17 Rioja, La;Ambos sexos;2009;41,73
17 Rioja, La;Ambos sexos;2008;41,66
17 Rioja, La;Ambos sexos;2007;41,75
17 Rioja, La;Ambos sexos;2006;41,71
17 Rioja, La;Ambos sexos;2005;41,67
17 Rioja, La;Ambos sexos;2004;41,7
17 Rioja, La;Ambos sexos;2003;41,73
17 Rioja, La;Ambos sexos;2002;41,76
17 Rioja, La;Ambos sexos;2001;41,59
17 Rioja, La;Ambos sexos;2000;41,35
17 Rioja, La;Ambos sexos;1999;41,15
17 Rioja, La;Ambos sexos;1998;40,9
17 Rioja, La;Ambos sexos;1997;40,65
17 Rioja, La;Ambos sexos;1996;40,38
17 Rioja, La;Ambos sexos;1995;40,12
17 Rioja, La;Ambos sexos;1994;39,85
17 Rioja, La;Ambos sexos;1993;39,59
17 Rioja, La;Ambos sexos;1992;39,32
17 Rioja, La;Ambos sexos;1991;39,05
17 Rioja, La;Ambos sexos;1990;38,7
17 Rioja, La;Ambos sexos;1989;38,33
17 Rioja, La;Ambos sexos;1988;37,98
17 Rioja, La;Ambos sexos;1987;37,62
17 Rioja, La;Ambos sexos;1986;37,26
17 Rioja, La;Ambos sexos;1985;36,95
17 Rioja, La;Ambos sexos;1984;36,61
17 Rioja, La;Ambos sexos;1983;36,3
17 Rioja, La;Ambos sexos;1982;36,02
17 Rioja, La;Ambos sexos;1981;35,79
17 Rioja, La;Ambos sexos;1980;35,62
17 Rioja, La;Ambos sexos;1979;35,48
17 Rioja, La;Ambos sexos;1978;35,36
17 Rioja, La;Ambos sexos;1977;35,26
17 Rioja, La;Ambos sexos;1976;35,21
17 Rioja, La;Ambos sexos;1975;35,12
17 Rioja, La;Hombres;2025;44,3
17 Rioja, La;Hombres;2024;44,1
17 Rioja, La;Hombres;2023;43,9
17 Rioja, La;Hombres;2022;43,78
17 Rioja, La;Hombres;2021;43,56
17 Rioja, La;Hombres;2020;43,41
17 Rioja, La;Hombres;2019;43,26
17 Rioja, La;Hombres;2018;43,07
17 Rioja, La;Hombres;2017;42,83
17 Rioja, La;Hombres;2016;42,57
17 Rioja, La;Hombres;2015;42,32
17 Rioja, La;Hombres;2014;41,97
17 Rioja, La;Hombres;2013;41,59
17 Rioja, La;Hombres;2012;41,29
17 Rioja, La;Hombres;2011;41,02
17 Rioja, La;Hombres;2010;40,81
17 Rioja, La;Hombres;2009;40,54
17 Rioja, La;Hombres;2008;40,45
17 Rioja, La;Hombres;2007;40,52
17 Rioja, La;Hombres;2006;40,48
17 Rioja, La;Hombres;2005;40,44
17 Rioja, La;Hombres;2004;40,46
17 Rioja, La;Hombres;2003;40,5
17 Rioja, La;Hombres;2002;40,52
17 Rioja, La;Hombres;2001;40,36
17 Rioja, La;Hombres;2000;40,14
17 Rioja, La;Hombres;1999;39,94
17 Rioja, La;Hombres;1998;39,7
17 Rioja, La;Hombres;1997;39,44
17 Rioja, La;Hombres;1996;39,17
17 Rioja, La;Hombres;1995;38,9
17 Rioja, La;Hombres;1994;38,63
17 Rioja, La;Hombres;1993;38,39
17 Rioja, La;Hombres;1992;38,13
17 Rioja, La;Hombres;1991;37,87
17 Rioja, La;Hombres;1990;37,52
17 Rioja, La;Hombres;1989;37,16
17 Rioja, La;Hombres;1988;36,81
17 Rioja, La;Hombres;1987;36,46
17 Rioja, La;Hombres;1986;36,09
17 Rioja, La;Hombres;1985;35,78
17 Rioja, La;Hombres;1984;35,46
17 Rioja, La;Hombres;1983;35,15
17 Rioja, La;Hombres;1982;34,88
17 Rioja, La;Hombres;1981;34,67
17 Rioja, La;Hombres;1980;34,54
17 Rioja, La;Hombres;1979;34,42
17 Rioja, La;Hombres;1978;34,33
17 Rioja, La;Hombres;1977;34,23
17 Rioja, La;Hombres;1976;34,19
17 Rioja, La;Hombres;1975;34,11
17 Rioja, La;Mujeres;2025;46,57
17 Rioja, La;Mujeres;2024;46,42
17 Rioja, La;Mujeres;2023;46,2
17 Rioja, La;Mujeres;2022;46,08
17 Rioja, La;Mujeres;2021;45,87
17 Rioja, La;Mujeres;2020;45,71
17 Rioja, La;Mujeres;2019;45,59
17 Rioja, La;Mujeres;2018;45,39
17 Rioja, La;Mujeres;2017;45,15
17 Rioja, La;Mujeres;2016;44,85
17 Rioja, La;Mujeres;2015;44,57
17 Rioja, La;Mujeres;2014;44,26
17 Rioja, La;Mujeres;2013;43,88
17 Rioja, La;Mujeres;2012;43,59
17 Rioja, La;Mujeres;2011;43,34
17 Rioja, La;Mujeres;2010;43,17
17 Rioja, La;Mujeres;2009;42,95
17 Rioja, La;Mujeres;2008;42,89
17 Rioja, La;Mujeres;2007;42,99
17 Rioja, La;Mujeres;2006;42,95
17 Rioja, La;Mujeres;2005;42,91
17 Rioja, La;Mujeres;2004;42,94
17 Rioja, La;Mujeres;2003;42,97
17 Rioja, La;Mujeres;2002;42,98
17 Rioja, La;Mujeres;2001;42,8
17 Rioja, La;Mujeres;2000;42,56
17 Rioja, La;Mujeres;1999;42,34
17 Rioja, La;Mujeres;1998;42,08
17 Rioja, La;Mujeres;1997;41,84
17 Rioja, La;Mujeres;1996;41,58
17 Rioja, La;Mujeres;1995;41,31
17 Rioja, La;Mujeres;1994;41,05
17 Rioja, La;Mujeres;1993;40,77
17 Rioja, La;Mujeres;1992;40,5
17 Rioja, La;Mujeres;1991;40,2
17 Rioja, La;Mujeres;1990;39,86
17 Rioja, La;Mujeres;1989;39,48
17 Rioja, La;Mujeres;1988;39,14
17 Rioja, La;Mujeres;1987;38,77
17 Rioja, La;Mujeres;1986;38,41
17 Rioja, La;Mujeres;1985;38,1
17 Rioja, La;Mujeres;1984;37,76
17 Rioja, La;Mujeres;1983;37,43
17 Rioja, La;Mujeres;1982;37,16
17 Rioja, La;Mujeres;1981;36,91
17 Rioja, La;Mujeres;1980;36,7
17 Rioja, La;Mujeres;1979;36,52
17 Rioja, La;Mujeres;1978;36,39
17 Rioja, La;Mujeres;1977;36,29
17 Rioja, La;Mujeres;1976;36,22
17 Rioja, La;Mujeres;1975;36,12
18 Ceuta;Ambos sexos;2025;39,25
18 Ceuta;Ambos sexos;2024;38,92
18 Ceuta;Ambos sexos;2023;38,55
18 Ceuta;Ambos sexos;2022;38,26
18 Ceuta;Ambos sexos;2021;37,96
18 Ceuta;Ambos sexos;2020;37,66
18 Ceuta;Ambos sexos;2019;37,3
18 Ceuta;Ambos sexos;2018;37
18 Ceuta;Ambos sexos;2017;36,8
18 Ceuta;Ambos sexos;2016;36,6
18 Ceuta;Ambos sexos;2015;36,35
18 Ceuta;Ambos sexos;2014;36,2
18 Ceuta;Ambos sexos;2013;36,04
18 Ceuta;Ambos sexos;2012;35,85
18 Ceuta;Ambos sexos;2011;35,83
18 Ceuta;Ambos sexos;2010;35,84
18 Ceuta;Ambos sexos;2009;35,86
18 Ceuta;Ambos sexos;2008;35,77
18 Ceuta;Ambos sexos;2007;35,65
18 Ceuta;Ambos sexos;2006;35,48
18 Ceuta;Ambos sexos;2005;35,32
18 Ceuta;Ambos sexos;2004;35,12
18 Ceuta;Ambos sexos;2003;34,9
18 Ceuta;Ambos sexos;2002;34,68
18 Ceuta;Ambos sexos;2001;34,47
18 Ceuta;Ambos sexos;2000;34,23
18 Ceuta;Ambos sexos;1999;34,02
18 Ceuta;Ambos sexos;1998;33,8
18 Ceuta;Ambos sexos;1997;33,59
18 Ceuta;Ambos sexos;1996;33,35
18 Ceuta;Ambos sexos;1995;33,11
18 Ceuta;Ambos sexos;1994;32,9
18 Ceuta;Ambos sexos;1993;32,73
18 Ceuta;Ambos sexos;1992;32,55
18 Ceuta;Ambos sexos;1991;32,37
18 Ceuta;Ambos sexos;1990;32,16
18 Ceuta;Ambos sexos;1989;31,98
18 Ceuta;Ambos sexos;1988;31,81
18 Ceuta;Ambos sexos;1987;31,61
18 Ceuta;Ambos sexos;1986;31,39
18 Ceuta;Ambos sexos;1985;31,22
18 Ceuta;Ambos sexos;1984;30,98
18 Ceuta;Ambos sexos;1983;30,76
18 Ceuta;Ambos sexos;1982;30,56
18 Ceuta;Ambos sexos;1981;30,43
18 Ceuta;Ambos sexos;1980;30,44
18 Ceuta;Ambos sexos;1979;30,42
18 Ceuta;Ambos sexos;1978;30,37
18 Ceuta;Ambos sexos;1977;30,28
18 Ceuta;Ambos sexos;1976;30,23
18 Ceuta;Ambos sexos;1975;30,13
18 Ceuta;Hombres;2025;38,7
18 Ceuta;Hombres;2024;38,36
18 Ceuta;Hombres;2023;37,96
18 Ceuta;Hombres;2022;37,68
18 Ceuta;Hombres;2021;37,44
18 Ceuta;Hombres;2020;37,15
18 Ceuta;Hombres;2019;36,77
18 Ceuta;Hombres;2018;36,42
18 Ceuta;Hombres;2017;36,23
18 Ceuta;Hombres;2016;36,05
18 Ceuta;Hombres;2015;35,86
18 Ceuta;Hombres;2014;35,7
18 Ceuta;Hombres;2013;35,51
18 Ceuta;Hombres;2012;35,29
18 Ceuta;Hombres;2011;35,24
18 Ceuta;Hombres;2010;35,25
18 Ceuta;Hombres;2009;35,23
18 Ceuta;Hombres;2008;35,08
18 Ceuta;Hombres;2007;34,93
18 Ceuta;Hombres;2006;34,68
18 Ceuta;Hombres;2005;34,46
18 Ceuta;Hombres;2004;34,26
18 Ceuta;Hombres;2003;34,03
18 Ceuta;Hombres;2002;33,73
18 Ceuta;Hombres;2001;33,5
18 Ceuta;Hombres;2000;33,21
18 Ceuta;Hombres;1999;32,94
18 Ceuta;Hombres;1998;32,7
18 Ceuta;Hombres;1997;32,46
18 Ceuta;Hombres;1996;32,18
18 Ceuta;Hombres;1995;31,92
18 Ceuta;Hombres;1994;31,68
18 Ceuta;Hombres;1993;31,52
18 Ceuta;Hombres;1992;31,37
18 Ceuta;Hombres;1991;31,19
18 Ceuta;Hombres;1990;30,99
18 Ceuta;Hombres;1989;30,81
18 Ceuta;Hombres;1988;30,62
18 Ceuta;Hombres;1987;30,45
18 Ceuta;Hombres;1986;30,24
18 Ceuta;Hombres;1985;30,02
18 Ceuta;Hombres;1984;29,78
18 Ceuta;Hombres;1983;29,51
18 Ceuta;Hombres;1982;29,28
18 Ceuta;Hombres;1981;29,09
18 Ceuta;Hombres;1980;29,1
18 Ceuta;Hombres;1979;29,07
18 Ceuta;Hombres;1978;29,03
18 Ceuta;Hombres;1977;28,96
18 Ceuta;Hombres;1976;28,88
18 Ceuta;Hombres;1975;28,78
18 Ceuta;Mujeres;2025;39,81
18 Ceuta;Mujeres;2024;39,5
18 Ceuta;Mujeres;2023;39,14
18 Ceuta;Mujeres;2022;38,84
18 Ceuta;Mujeres;2021;38,51
18 Ceuta;Mujeres;2020;38,19
18 Ceuta;Mujeres;2019;37,85
18 Ceuta;Mujeres;2018;37,6
18 Ceuta;Mujeres;2017;37,38
18 Ceuta;Mujeres;2016;37,18
18 Ceuta;Mujeres;2015;36,87
18 Ceuta;Mujeres;2014;36,72
18 Ceuta;Mujeres;2013;36,59
18 Ceuta;Mujeres;2012;36,44
18 Ceuta;Mujeres;2011;36,46
18 Ceuta;Mujeres;2010;36,45
18 Ceuta;Mujeres;2009;36,5
18 Ceuta;Mujeres;2008;36,47
18 Ceuta;Mujeres;2007;36,39
18 Ceuta;Mujeres;2006;36,28
18 Ceuta;Mujeres;2005;36,18
18 Ceuta;Mujeres;2004;36
18 Ceuta;Mujeres;2003;35,79
18 Ceuta;Mujeres;2002;35,64
18 Ceuta;Mujeres;2001;35,45
18 Ceuta;Mujeres;2000;35,26
18 Ceuta;Mujeres;1999;35,1
18 Ceuta;Mujeres;1998;34,9
18 Ceuta;Mujeres;1997;34,71
18 Ceuta;Mujeres;1996;34,5
18 Ceuta;Mujeres;1995;34,29
18 Ceuta;Mujeres;1994;34,09
18 Ceuta;Mujeres;1993;33,9
18 Ceuta;Mujeres;1992;33,69
18 Ceuta;Mujeres;1991;33,5
18 Ceuta;Mujeres;1990;33,28
18 Ceuta;Mujeres;1989;33,11
18 Ceuta;Mujeres;1988;32,96
18 Ceuta;Mujeres;1987;32,73
18 Ceuta;Mujeres;1986;32,5
18 Ceuta;Mujeres;1985;32,37
18 Ceuta;Mujeres;1984;32,14
18 Ceuta;Mujeres;1983;31,96
18 Ceuta;Mujeres;1982;31,79
18 Ceuta;Mujeres;1981;31,72
18 Ceuta;Mujeres;1980;31,73
18 Ceuta;Mujeres;1979;31,72
18 Ceuta;Mujeres;1978;31,67
18 Ceuta;Mujeres;1977;31,56
18 Ceuta;Mujeres;1976;31,52
18 Ceuta;Mujeres;1975;31,42
19 Melilla;Ambos sexos;2025;37,66
19 Melilla;Ambos sexos;2024;37,25
19 Melilla;Ambos sexos;2023;36,84
19 Melilla;Ambos sexos;2022;36,45
19 Melilla;Ambos sexos;2021;36,08
19 Melilla;Ambos sexos;2020;35,76
19 Melilla;Ambos sexos;2019;35,48
19 Melilla;Ambos sexos;2018;35,24
19 Melilla;Ambos sexos;2017;35,04
19 Melilla;Ambos sexos;2016;34,85
19 Melilla;Ambos sexos;2015;34,72
19 Melilla;Ambos sexos;2014;34,69
19 Melilla;Ambos sexos;2013;34,6
19 Melilla;Ambos sexos;2012;34,64
19 Melilla;Ambos sexos;2011;34,66
19 Melilla;Ambos sexos;2010;34,67
19 Melilla;Ambos sexos;2009;34,64
19 Melilla;Ambos sexos;2008;34,6
19 Melilla;Ambos sexos;2007;34,51
19 Melilla;Ambos sexos;2006;34,43
19 Melilla;Ambos sexos;2005;34,21
19 Melilla;Ambos sexos;2004;34,04
19 Melilla;Ambos sexos;2003;33,9
19 Melilla;Ambos sexos;2002;33,68
19 Melilla;Ambos sexos;2001;33,44
19 Melilla;Ambos sexos;2000;33,26
19 Melilla;Ambos sexos;1999;33,06
19 Melilla;Ambos sexos;1998;32,9
19 Melilla;Ambos sexos;1997;32,73
19 Melilla;Ambos sexos;1996;32,57
19 Melilla;Ambos sexos;1995;32,45
19 Melilla;Ambos sexos;1994;32,35
19 Melilla;Ambos sexos;1993;32,27
19 Melilla;Ambos sexos;1992;32,21
19 Melilla;Ambos sexos;1991;32,1
19 Melilla;Ambos sexos;1990;31,94
19 Melilla;Ambos sexos;1989;31,86
19 Melilla;Ambos sexos;1988;31,83
19 Melilla;Ambos sexos;1987;31,73
19 Melilla;Ambos sexos;1986;31,68
19 Melilla;Ambos sexos;1985;31,63
19 Melilla;Ambos sexos;1984;31,56
19 Melilla;Ambos sexos;1983;31,48
19 Melilla;Ambos sexos;1982;31,4
19 Melilla;Ambos sexos;1981;31,3
19 Melilla;Ambos sexos;1980;31,47
19 Melilla;Ambos sexos;1979;31,5
19 Melilla;Ambos sexos;1978;31,44
19 Melilla;Ambos sexos;1977;31,29
19 Melilla;Ambos sexos;1976;31,08
19 Melilla;Ambos sexos;1975;30,8
19 Melilla;Hombres;2025;37,02
19 Melilla;Hombres;2024;36,64
19 Melilla;Hombres;2023;36,29
19 Melilla;Hombres;2022;35,9
19 Melilla;Hombres;2021;35,55
19 Melilla;Hombres;2020;35,18
19 Melilla;Hombres;2019;34,88
19 Melilla;Hombres;2018;34,64
19 Melilla;Hombres;2017;34,46
19 Melilla;Hombres;2016;34,23
19 Melilla;Hombres;2015;34,07
19 Melilla;Hombres;2014;34,09
19 Melilla;Hombres;2013;33,99
19 Melilla;Hombres;2012;34,01
19 Melilla;Hombres;2011;33,94
19 Melilla;Hombres;2010;33,86
19 Melilla;Hombres;2009;33,79
19 Melilla;Hombres;2008;33,69
19 Melilla;Hombres;2007;33,53
19 Melilla;Hombres;2006;33,4
19 Melilla;Hombres;2005;33,11
19 Melilla;Hombres;2004;32,85
19 Melilla;Hombres;2003;32,66
19 Melilla;Hombres;2002;32,39
19 Melilla;Hombres;2001;32,14
19 Melilla;Hombres;2000;31,96
19 Melilla;Hombres;1999;31,75
19 Melilla;Hombres;1998;31,53
19 Melilla;Hombres;1997;31,35
19 Melilla;Hombres;1996;31,18
19 Melilla;Hombres;1995;31,01
19 Melilla;Hombres;1994;30,9
19 Melilla;Hombres;1993;30,83
19 Melilla;Hombres;1992;30,77
19 Melilla;Hombres;1991;30,62
19 Melilla;Hombres;1990;30,4
19 Melilla;Hombres;1989;30,26
19 Melilla;Hombres;1988;30,19
19 Melilla;Hombres;1987;30,07
19 Melilla;Hombres;1986;29,99
19 Melilla;Hombres;1985;29,92
19 Melilla;Hombres;1984;29,82
19 Melilla;Hombres;1983;29,71
19 Melilla;Hombres;1982;29,66
19 Melilla;Hombres;1981;29,53
19 Melilla;Hombres;1980;29,78
19 Melilla;Hombres;1979;29,84
19 Melilla;Hombres;1978;29,77
19 Melilla;Hombres;1977;29,63
19 Melilla;Hombres;1976;29,44
19 Melilla;Hombres;1975;29,2
19 Melilla;Mujeres;2025;38,3
19 Melilla;Mujeres;2024;37,87
19 Melilla;Mujeres;2023;37,4
19 Melilla;Mujeres;2022;37
19 Melilla;Mujeres;2021;36,62
19 Melilla;Mujeres;2020;36,37
19 Melilla;Mujeres;2019;36,11
19 Melilla;Mujeres;2018;35,86
19 Melilla;Mujeres;2017;35,65
19 Melilla;Mujeres;2016;35,5
19 Melilla;Mujeres;2015;35,4
19 Melilla;Mujeres;2014;35,32
19 Melilla;Mujeres;2013;35,25
19 Melilla;Mujeres;2012;35,31
19 Melilla;Mujeres;2011;35,42
19 Melilla;Mujeres;2010;35,52
19 Melilla;Mujeres;2009;35,53
19 Melilla;Mujeres;2008;35,53
19 Melilla;Mujeres;2007;35,5
19 Melilla;Mujeres;2006;35,47
19 Melilla;Mujeres;2005;35,32
19 Melilla;Mujeres;2004;35,23
19 Melilla;Mujeres;2003;35,14
19 Melilla;Mujeres;2002;34,95
19 Melilla;Mujeres;2001;34,74
19 Melilla;Mujeres;2000;34,56
19 Melilla;Mujeres;1999;34,36
19 Melilla;Mujeres;1998;34,25
19 Melilla;Mujeres;1997;34,11
19 Melilla;Mujeres;1996;33,95
19 Melilla;Mujeres;1995;33,87
19 Melilla;Mujeres;1994;33,78
19 Melilla;Mujeres;1993;33,69
19 Melilla;Mujeres;1992;33,62
19 Melilla;Mujeres;1991;33,55
19 Melilla;Mujeres;1990;33,45
19 Melilla;Mujeres;1989;33,42
19 Melilla;Mujeres;1988;33,43
19 Melilla;Mujeres;1987;33,35
19 Melilla;Mujeres;1986;33,31
19 Melilla;Mujeres;1985;33,28
19 Melilla;Mujeres;1984;33,23
19 Melilla;Mujeres;1983;33,18
19 Melilla;Mujeres;1982;33,06
19 Melilla;Mujeres;1981;32,99
19 Melilla;Mujeres;1980;33,09
19 Melilla;Mujeres;1979;33,08
19 Melilla;Mujeres;1978;33,03
19 Melilla;Mujeres;1977;32,86
19 Melilla;Mujeres;1976;32,63
19 Melilla;Mujeres;1975;32,32
