|año|com_aut|pib|pob|sui|nat|paro|ing|pobr|fum|alc|obes|fyv|crim|homi|sati
87|2004|Galicia|44249719|2714.1|11.91|7.6||||22.41||16.87|74.64|||
88|2004|Madrid|153296904|5808.0|5.06|11.88||||26.54||12.0|76.92|||
89|2004|Murcia|22159238|1291.9|8.53|12.91||||29.82||19.35|78.0|||
90|2004|Navarra|14550257|579.8|9.3|10.85||||25.6||14.68|82.1|||
91|2004|País Vasco|51495040|2107.8|7.51|9.29||||21.53||15.64|76.45|||
92|2004|Rioja|6383746|294.3|9.47|9.99||||26.92||11.03|80.57|||
93|2004|Ceuta|1170783|71.6|6.02|14.82||||26.72||17.4|61.79|||
94|2004|Melilla|1076478|64.7|2.61|15.39||||26.72||17.4|61.79|||
95|2005|Andalucía|129255761|7803.4|10.18|11.76||||26.65||19.64|72.82|||
96|2005|Aragón|28982156|1263.8|8.28|9.2||||24.77||15.69|84.29|||
97|2005|Asturias|19638043|1062.6|11.23|7.04||||27.18||21.74|73.64|||
98|2005|Balears|22962215|954.6|7.7|11.44||||25.68||14.27|76.85|||
99|2005|Canarias|35103749|1876.4|8.9|10.73||||27.21||15.21|66.8|||
100|2005|Cantabria|11148678|558.0|4.37|9.44||||27.63||12.21|65.93|||
101|2005|Castilla Y León|48377632|2487.5|8.22|7.81||||28.44||12.68|84.66|||
102|2005|Castilla - La Mancha|33056938|1895.2|9.33|10.03||||28.95||18.38|81.37|||
103|2005|Cataluña|174583886|6944.2|7.33|11.49||||24.18||14.06|73.16|||
104|2005|Comunitat Valenciana|90325604|4625.3|8.29|10.95||||28.19||15.53|80.51|||
105|2005|Extremadura|15776610|1072.0|8.83|9.32||||26.28||21.54|74.22|||
106|2005|Galicia|47955337|2724.0|10.57|7.74||||22.24||16.85|69.81|||
107|2005|Madrid|165661958|5912.3|5.42|11.73||||25.06||13.5|79.0|||
108|2005|Murcia|24272350|1335.3|10.17|12.98||||26.68||22.22|71.69|||
109|2005|Navarra|15630219|587.9|10.08|10.46||||28.26||11.17|80.61|||
110|2005|País Vasco|55364217|2121.0|7.82|9.29||||27.24||14.06|73.07|||
