año,comunidad_autonoma,poblacion,pib_total,pib_pc,ingresos_pc,renta_pc,renta_media,renta_mediana,tasa_natalidad,tasa_suicidio,tasa_homicidio,tasa_criminalidad,paro,gasto_elevado_vivienda,falta_espacio_vivienda,retrasos_pagos,riesgo_pobreza,dificultad_fin_mes,desigualdad_ing(S80/S20),inc_gastos_imprevistos,precio_venta_m2,precio_alquiler_m2
2021,Cantabria,548340.0,14206538.0,25.90826494510705,13205.0,16835.0,186590.0,163640.0,5.63,7.0,0.68,34.0,12.14,5.9,3.4,9.0,16.6,33.400000000000006,4.8,25.8,1452.58,8.11
2022,Cantabria,548199.0,15560453.0,28.384679651002646,13337.0,17762.0,199740.0,173070.0,5.49,7.31,0.17,40.4,11.25,6.8,2.6,5.3,14.8,42.1,4.9,23.9,1476.92,8.73
2009,Castilla - La Mancha,1855425.0,39355657.0,21.211127908700163,9530.0,12249.0,147120.0,129680.0,10.75,7.72,0.57,34.3,11.67,6.7,3.8,12.4,24.1,62.5,4.9,34.9,1274.75,5.25
2010,Castilla - La Mancha,1868819.0,39436268.0,21.10224050590239,10082.0,12373.0,15130.0,123290.0,10.52,7.69,0.57,34.3,18.88,7.4,3.5,9.2,28.1,58.900000000000006,5.8,38.9,1265.83,5.05
2011,Castilla - La Mancha,1882599.0,39056838.0,20.746233265820283,10335.0,12298.0,13720.0,112370.0,10.16,6.83,0.38,35.4,21.22,9.5,4.8,9.0,33.5,45.8,5.7,33.4,1239.92,5.12
2012,Castilla - La Mancha,1885839.0,37644363.0,19.961599585118346,9547.0,11692.0,133070.0,113720.0,9.71,6.91,0.81,35.5,23.08,13.1,6.2,8.5,37.2,63.400000000000006,6.8,48.4,1107.83,5.05
2013,Castilla - La Mancha,1880079.0,36910747.0,19.632551078970618,9231.0,11798.0,126730.0,110230.0,9.15,7.53,0.72,35.3,28.58,10.7,4.5,15.5,41.5,65.2,6.5,38.7,993.33,4.69
2014,Castilla - La Mancha,1882578.0,36136765.0,19.19536136085729,8759.0,11721.0,128240.0,110350.0,8.9,8.93,0.77,34.0,29.97,9.6,2.3,13.5,39.4,62.2,6.2,33.2,920.58,4.45
2015,Castilla - La Mancha,1881103.0,37998035.0,20.199869438302954,8938.0,12277.0,127250.0,111610.0,8.87,9.05,0.63,32.6,29.0,8.1,3.9,13.1,39.2,67.1,6.7,39.3,897.08,4.45
2016,Castilla - La Mancha,1873519.0,39136242.0,20.889162052800106,8868.0,12693.0,131060.0,114560.0,8.71,7.8,0.54,31.1,26.35,11.7,4.8,16.6,39.8,62.6,6.4,35.0,864.0,4.57
