Comunidad Autónoma,año,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad
Comunitat Valenciana,2018,22723,14219.0,4298782.0,9.3,4.2,7.6,150380.0,137480.0,30.9,58.2,5.6,39.9,46.7
Extremadura,2018,19368,12647.0,1041216.0,5.2,1.6,9.9,123760.0,102650.0,45.7,66.6,4.8,44.4,25.1
Galicia,2018,23212,14876.0,2609185.0,4.6,1.5,3.9,167580.0,150530.0,22.6,45.5,5.4,20.3,29.1
Madrid,2018,35601,19703.0,5751623.0,13.5,6.0,8.7,196480.0,168920.0,18.5,51.9,6.3,31.8,59.4
Murcia,2018,21393,13183.0,1276077.0,8.7,7.9,14.9,140410.0,12630.0,33.0,70.7,5.9,48.5,37.4
Navarra,2018,31190,18419.0,588772.0,4.3,2.0,10.3,200940.0,192610.0,10.2,39.5,4.1,21.6,42.0
País Vasco,2018,32835,20184.0,2047569.0,7.4,3.1,5.4,21760.0,195860.0,10.2,35.2,5.1,20.7,41.2
Rioja,2018,27470,16401.0,280018.0,9.4,0.0,7.9,17490.0,15410.0,19.1,37.8,5.7,30.3,26.3
Ceuta,2018,18923,13245.0,79302.0,7.8,20.8,27.0,149910.0,103390.0,46.3,64.0,10.3,64.6,55.4
Melilla,2018,17531,12141.0,72883.0,9.2,17.9,9.3,1950.0,16840.0,22.4,51.900000000000006,9.1,40.3,63.7
Andalucía,2019,19744,13199.0,7758685.0,8.0,8.5,11.3,137550.0,116630.0,37.3,61.0,6.1,44.3,40.2
Aragón,2019,29043,17585.0,1169992.0,4.9,6.1,3.8,180670.0,172410.0,19.4,37.3,4.7,27.6,32.2
Asturias,2019,23220,16773.0,981174.0,11.4,3.8,4.8,178680.0,159820.0,24.4,36.8,7.8,28.1,26.7
Balears,2019,29458,17529.0,944473.0,11.7,13.8,14.0,18420.0,167980.0,16.7,52.7,4.8,28.7,66.6
Canarias,2019,21159,13987.0,1876355.0,11.6,12.8,9.9,142470.0,128190.0,33.4,53.7,5.3,50.2,44.2
Cantabria,2019,24515,16509.0,548295.0,4.9,1.4,3.1,177420.0,159320.0,20.5,57.7,5.2,40.2,31.0
Castilla Y León,2019,24849,16378.0,2269754.0,3.9,1.0,3.1,172330.0,153490.0,17.0,35.599999999999994,4.5,23.9,31.8
Castilla - La Mancha,2019,21264,14035.0,1860767.0,7.4,1.9,6.2,145050.0,133840.0,31.9,47.400000000000006,5.5,39.3,34.5
Cataluña,2019,31300,18458.0,6515790.0,10.3,7.3,8.1,200490.0,17790.0,16.1,50.8,5.6,26.1,63.8
Comunitat Valenciana,2019,23248,14828.0,4300356.0,7.0,4.0,9.4,155820.0,139940.0,28.5,50.599999999999994,5.6,35.3,46.4
Extremadura,2019,19863,13151.0,1035087.0,6.4,1.6,10.1,128160.0,108820.0,39.6,57.8,4.8,44.7,25.9
Galicia,2019,23901,15488.0,2598631.0,5.1,2.0,5.6,166210.0,149670.0,24.3,39.3,5.2,24.4,29.7
Madrid,2019,36613,20638.0,5781575.0,13.0,6.1,7.2,21030.0,176810.0,18.4,43.2,6.5,31.2,61.2
Murcia,2019,22015,13849.0,1282659.0,5.7,4.3,11.6,136370.0,122810.0,35.1,68.1,4.7,47.2,38.1
Navarra,2019,32136,18968.0,589995.0,4.9,2.7,6.9,206970.0,198370.0,8.0,32.2,3.9,25.3,44.5
País Vasco,2019,33590,20960.0,2043968.0,6.3,2.4,8.5,22480.0,21020.0,11.9,38.8,5.3,23.6,42.9
Rioja,2019,28040,16765.0,279568.0,5.8,2.1,4.9,186610.0,165770.0,17.5,25.400000000000002,5.0,19.0,27.6
Ceuta,2019,19577,13958.0,78985.0,12.4,21.2,14.5,160590.0,120580.0,44.0,51.800000000000004,11.5,50.6,56.0
Melilla,2019,18073,12703.0,73221.0,12.8,20.7,11.1,180030.0,170630.0,37.0,44.7,13.9,43.7,64.7
Andalucía,2020,17772,13104.0,7762393.0,6.0,8.1,19.0,149580.0,130970.0,29.3,53.099999999999994,5.3,43.9,34.0
Aragón,2020,27003,17380.0,1167343.0,5.9,4.8,5.4,19150.0,180420.0,16.3,28.2,4.7,26.0,27.1
Asturias,2020,21069,16705.0,973463.0,9.7,3.3,11.7,180280.0,15930.0,22.5,34.0,7.3,27.6,24.0
Balears,2020,22611,15616.0,951508.0,10.4,9.7,13.1,187870.0,183630.0,14.6,49.0,4.6,36.6,50.7
Canarias,2020,17239,13030.0,1883410.0,13.3,14.3,23.0,14990.0,135880.0,30.9,66.69999999999999,6.9,63.1,38.4
Cantabria,2020,22279,16086.0,547009.0,5.7,1.4,6.8,185780.0,160830.0,18.1,40.6,5.3,31.5,28.4
Castilla Y León,2020,22934,16292.0,2253761.0,4.3,1.6,6.9,182840.0,16640.0,15.6,34.0,4.5,24.7,27.2
Castilla - La Mancha,2020,19675,14059.0,1858267.0,6.9,1.6,8.4,158020.0,144460.0,26.9,39.2,4.8,33.1,30.3
Cataluña,2020,27796,17749.0,6519860.0,10.1,11.9,14.3,208720.0,189430.0,17.2,45.0,6.2,33.4,45.7
Comunitat Valenciana,2020,20980,14535.0,4305222.0,10.6,2.9,14.4,165180.0,15180.0,25.7,47.8,6.6,36.8,38.2
Extremadura,2020,18351,13246.0,1029320.0,3.7,4.1,13.7,132970.0,120060.0,33.9,55.3,4.5,46.8,23.6
Galicia,2020,21864,15290.0,2589181.0,5.3,1.8,8.5,167570.0,154110.0,22.5,36.9,5.3,28.1,27.2
Madrid,2020,32853,19755.0,5824174.0,10.1,11.9,11.5,214290.0,181540.0,16.2,42.2,5.8,30.1,46.1
Murcia,2020,20108,13512.0,1289034.0,4.9,10.3,15.5,149210.0,130460.0,26.5,56.8,4.7,43.1,33.7
Navarra,2020,28987,18009.0,590531.0,7.1,6.6,11.4,223910.0,211740.0,10.2,32.4,4.5,20.1,35.7
País Vasco,2020,30115,20279.0,2040252.0,7.2,5.1,8.2,231740.0,217010.0,10.2,31.7,4.8,19.0,34.9
Rioja,2020,25654,16489.0,279704.0,4.6,2.6,8.2,196980.0,175890.0,16.9,27.7,4.7,24.5,24.5
Ceuta,2020,18184,13880.0,78497.0,12.0,17.8,28.2,150580.0,124550.0,36.3,42.599999999999994,10.7,55.9,43.2
Melilla,2020,16776,12706.0,73713.0,13.2,28.7,19.8,182140.0,149220.0,38.2,50.5,15.0,52.3,51.6
Andalucía,2021,19591,13801.0,7760491.0,10.1,6.9,17.0,147690.0,127360.0,33.6,54.8,6.8,42.4,37.1
Aragón,2021,29144,17925.0,1163912.0,6.7,6.1,12.4,193810.0,181210.0,16.2,34.8,4.9,26.9,31.4
Asturias,2021,23446,17413.0,966347.0,10.5,2.9,10.0,179680.0,168010.0,21.4,32.6,6.0,25.9,26.1
Balears,2021,25807,16810.0,952711.0,17.8,6.5,20.3,168670.0,157650.0,19.4,42.7,5.1,30.9,51.6
Canarias,2021,19021,13986.0,1885118.0,15.0,17.6,26.2,152940.0,137630.0,30.2,59.2,8.2,49.8,37.3
Cantabria,2021,24303,16835.0,548340.0,5.9,3.4,9.0,186590.0,163640.0,16.6,33.400000000000006,4.8,25.8,34.0
Castilla Y León,2021,25020,16838.0,2239029.0,6.7,2.3,10.0,181810.0,166880.0,19.6,35.2,5.1,24.1,31.1
Castilla - La Mancha,2021,21515,14646.0,1859995.0,7.8,2.1,14.2,15350.0,140540.0,29.0,44.6,5.7,35.6,32.9
Cataluña,2021,30360,18688.0,6512697.0,10.4,8.3,14.2,209270.0,188280.0,15.4,42.5,5.5,32.9,50.5
Comunitat Valenciana,2021,22944,15142.0,4306522.0,9.6,4.0,13.5,164740.0,152730.0,26.9,47.8,6.2,32.3,44.4
Extremadura,2021,20363,13931.0,1024615.0,5.6,2.3,11.8,139080.0,120960.0,33.4,49.2,5.1,39.3,25.8
Galicia,2021,23927,15922.0,2581111.0,5.4,2.4,9.0,167850.0,154090.0,21.8,41.400000000000006,5.1,24.7,32.8
Madrid,2021,35703,20654.0,5796129.0,13.4,9.0,13.2,21990.0,192060.0,16.0,40.7,6.3,30.6,51.5
Murcia,2021,22087,14302.0,1296162.0,5.9,4.1,21.3,149880.0,139940.0,28.7,56.7,5.3,43.0,38.1
Navarra,2021,31486,18933.0,590096.0,6.1,5.1,10.3,227860.0,209550.0,10.1,34.8,5.1,20.9,40.4
País Vasco,2021,32898,21127.0,2030979.0,6.6,3.7,8.8,226580.0,211140.0,12.6,31.799999999999997,5.0,18.4,38.5
Rioja,2021,27365,16951.0,278905.0,8.2,3.7,8.0,187580.0,17420.0,16.8,32.3,5.1,22.5,28.6
Ceuta,2021,19661,14848.0,78150.0,14.1,7.0,29.4,161590.0,123320.0,35.7,53.9,9.5,54.9,47.1
Melilla,2021,17891,13835.0,73650.0,15.4,15.8,26.2,182590.0,156040.0,32.2,55.6,14.1,48.5,48.0
Andalucía,2022,21532,14332.0,7758809.0,9.4,7.6,16.3,158620.0,137750.0,29.1,54.5,6.0,44.7,44.4
Aragón,2022,32707,19066.0,1161553.0,6.9,3.1,8.8,203470.0,193250.0,15.0,38.9,4.4,27.2,35.9
Asturias,2022,26552,18614.0,959056.0,10.4,3.8,7.6,193680.0,176320.0,20.1,39.4,5.7,24.0,31.9
Balears,2022,31029,18339.0,954642.0,11.8,9.3,20.5,185760.0,168780.0,17.0,49.2,4.9,36.4,63.4
Canarias,2022,22218,14702.0,1889212.0,14.8,16.2,20.0,159010.0,140820.0,29.5,60.7,6.3,57.2,43.4
Cantabria,2022,26512,17762.0,548199.0,6.8,2.6,5.3,199740.0,173070.0,14.8,42.099999999999994,4.9,23.9,40.4
Castilla Y León,2022,27509,17596.0,2225985.0,6.9,2.1,10.4,191170.0,173370.0,17.8,39.900000000000006,4.9,27.1,36.5
Castilla - La Mancha,2022,24152,15484.0,1859853.0,5.9,4.1,14.5,164040.0,14860.0,26.3,49.8,4.9,36.6,39.1
Cataluña,2022,33043,19147.0,6520801.0,10.7,9.0,14.8,216370.0,197340.0,14.5,48.6,5.2,34.8,60.7
Comunitat Valenciana,2022,24732,15436.0,4313498.0,7.4,3.8,12.2,174440.0,155250.0,22.3,48.2,5.2,34.6,51.0
Extremadura,2022,22244,14416.0,1019638.0,4.4,1.8,12.4,148430.0,127540.0,30.2,55.7,4.6,42.3,30.4
Galicia,2022,26571,16877.0,2571724.0,4.8,3.2,9.4,180930.0,166750.0,18.1,44.0,4.5,29.3,35.2
Madrid,2022,39278,21261.0,5800367.0,12.2,8.5,11.9,233380.0,202840.0,14.8,43.3,5.7,31.3,58.9
Murcia,2022,24281,15138.0,1305113.0,8.0,4.5,12.3,161280.0,1500.0,26.3,58.3,5.2,44.7,44.6
Navarra,2022,34726,20127.0,590642.0,8.0,6.7,10.8,235780.0,212120.0,10.9,39.5,5.4,21.5,50.0
País Vasco,2022,36300,22773.0,2023557.0,7.3,3.0,7.2,238860.0,216380.0,12.2,31.6,5.0,18.7,46.0
Rioja,2022,30431,18089.0,278137.0,6.9,5.0,7.8,198190.0,184140.0,16.6,36.0,4.8,19.6,36.6
Ceuta,2022,21299,15590.0,78207.0,9.5,16.9,24.1,188640.0,14750.0,34.8,60.3,11.0,47.0,43.9
Melilla,2022,19455,14720.0,73495.0,13.2,18.6,23.1,198490.0,162530.0,34.5,47.5,12.4,45.3,50.8
