Comunidad Autónoma,año,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad
Extremadura,2010,16950,11348.0,1067864.0,4.9,1.5,9.2,135090.0,109430.0,35.3,66.9,5.6,46.1,27.3
Galicia,2010,20488,13375.0,2687983.0,4.7,2.5,7.0,157640.0,139350.0,18.0,60.7,5.0,36.8,28.0
Madrid,2010,31059,18208.0,5378740.0,13.2,8.5,12.6,201280.0,180640.0,14.3,56.0,5.9,36.8,62.9
Murcia,2010,19479,12309.0,1220114.0,11.5,4.0,20.4,135740.0,122430.0,29.6,78.0,5.8,51.9,39.7
Navarra,2010,28487,18108.0,565555.0,9.1,0.9,9.9,213930.0,199250.0,10.6,35.3,5.3,18.5,30.7
País Vasco,2010,29538,19103.0,2038970.0,8.1,3.0,4.9,214840.0,19730.0,11.7,41.599999999999994,6.1,19.1,41.3
Rioja,2010,25035,15032.0,275735.0,8.1,7.1,12.3,157690.0,147930.0,21.2,52.3,5.5,29.3,29.5
Ceuta,2010,18532,13004.0,76584.0,5.0,19.4,13.6,153320.0,132510.0,31.3,78.0,8.3,58.7,74.1
Melilla,2010,17661,12165.0,67161.0,7.2,18.6,22.8,182590.0,171980.0,25.8,69.30000000000001,7.6,53.2,60.1
Andalucía,2011,17299,11797.0,7693947.0,11.2,7.5,13.8,13310.0,113690.0,34.5,70.5,7.3,49.6,48.7
Aragón,2011,25015,15934.0,1175100.0,7.8,2.7,5.5,172590.0,164220.0,17.1,36.2,5.3,22.1,37.3
Asturias,2011,20706,15045.0,1031088.0,5.3,1.8,2.6,17080.0,156930.0,17.4,38.0,4.9,17.8,27.1
Balears,2011,24324,15385.0,870302.0,20.1,4.5,17.4,165680.0,148970.0,23.5,59.3,9.2,36.7,68.0
Canarias,2011,19099,12679.0,1819760.0,9.9,11.0,12.0,131270.0,112840.0,34.0,69.0,6.8,61.2,47.7
Cantabria,2011,21435,14523.0,554127.0,9.0,1.1,9.0,154470.0,133810.0,19.3,52.0,7.2,34.8,30.8
Castilla Y León,2011,21378,14380.0,2385647.0,4.7,2.2,7.7,159180.0,144770.0,21.3,49.3,4.9,25.1,33.0
Castilla - La Mancha,2011,18569,12298.0,1882599.0,9.5,4.8,9.0,13720.0,112370.0,33.5,45.8,5.7,33.4,35.4
Cataluña,2011,26644,16837.0,6353766.0,12.0,11.1,6.5,18170.0,157920.0,16.5,56.3,5.6,34.4,60.6
Comunitat Valenciana,2011,20069,13332.0,4236408.0,9.2,4.6,8.7,153440.0,13280.0,26.0,59.7,6.0,40.6,56.9
Extremadura,2011,16560,11341.0,1067648.0,4.6,2.8,5.2,131510.0,108520.0,36.6,56.9,5.5,44.5,26.7
Galicia,2011,20139,13485.0,2684954.0,5.8,3.6,5.6,15450.0,137910.0,19.2,62.0,5.0,30.0,29.5
Madrid,2011,31147,18411.0,5422095.0,12.6,7.3,6.6,199840.0,171140.0,15.4,60.5,6.1,36.7,61.3
Murcia,2011,18957,12250.0,1229206.0,8.9,9.1,11.1,130220.0,112830.0,31.3,70.6,4.7,49.0,39.6
Navarra,2011,28279,18195.0,570451.0,2.5,3.4,7.6,214040.0,185410.0,9.5,37.7,4.7,23.0,32.5
País Vasco,2011,29261,18988.0,2039350.0,9.4,3.0,5.2,208340.0,186650.0,15.6,40.800000000000004,6.3,19.7,41.0
Rioja,2011,24748,15180.0,276667.0,12.4,5.1,10.7,155170.0,145050.0,22.7,49.8,6.2,27.1,31.1
Ceuta,2011,17986,12824.0,77448.0,5.8,33.9,23.3,162080.0,129110.0,27.4,68.5,8.1,48.0,75.9
Melilla,2011,17144,11997.0,68443.0,11.8,27.1,18.8,182780.0,14320.0,27.2,81.4,10.7,52.0,61.6
Andalucía,2012,16597,11155.0,7702875.0,8.7,6.6,15.5,133910.0,111170.0,35.6,71.6,6.2,51.4,47.1
Aragón,2012,24008,15111.0,1176356.0,7.7,1.4,4.1,174190.0,160650.0,17.7,54.5,5.3,26.4,34.6
Asturias,2012,19867,14318.0,1026533.0,5.7,1.7,5.1,169220.0,15550.0,19.1,45.900000000000006,5.2,26.5,28.2
Balears,2012,23810,14640.0,876869.0,20.9,6.5,17.7,163170.0,143950.0,24.1,44.4,6.9,35.9,67.7
Canarias,2012,18317,11983.0,1807503.0,12.8,13.7,10.2,124770.0,107520.0,38.8,78.0,7.1,62.7,46.9
Cantabria,2012,20691,13673.0,554548.0,12.0,3.8,3.2,152110.0,129610.0,23.4,51.8,5.3,23.1,31.0
Castilla Y León,2012,20823,13878.0,2372569.0,6.9,0.6,6.6,159090.0,143540.0,20.9,48.6,5.0,28.4,33.4
Castilla - La Mancha,2012,17941,11692.0,1885839.0,13.1,6.2,8.5,133070.0,113720.0,37.2,63.400000000000006,6.8,48.4,35.5
Cataluña,2012,25937,15978.0,6384129.0,13.3,8.2,13.0,181360.0,15870.0,19.8,64.0,6.2,42.0,60.4
Comunitat Valenciana,2012,19171,12519.0,4246254.0,11.5,3.9,15.0,148640.0,13010.0,29.7,66.5,6.7,47.4,55.6
Extremadura,2012,15953,10832.0,1065589.0,7.0,3.2,7.3,122810.0,10490.0,38.9,61.2,6.3,47.1,26.7
Galicia,2012,19541,12897.0,2669315.0,6.7,0.7,7.6,153330.0,135150.0,23.6,63.0,5.4,35.2,30.1
Madrid,2012,30566,17348.0,5483506.0,13.4,7.4,7.6,199020.0,171320.0,17.3,64.1,6.5,39.7,61.3
Murcia,2012,18444,11628.0,1236056.0,11.7,5.9,14.1,128910.0,116430.0,30.5,78.3,5.1,57.1,39.3
Navarra,2012,27184,17032.0,574943.0,3.2,1.8,5.5,209180.0,186410.0,13.5,43.4,4.8,23.9,33.8
País Vasco,2012,28589,18094.0,2041199.0,7.9,0.8,3.9,204740.0,186830.0,15.9,39.4,6.5,18.2,42.5
Rioja,2012,23961,14374.0,277236.0,11.9,2.4,10.8,161020.0,145720.0,21.0,59.5,5.9,30.0,31.7
Ceuta,2012,17094,11751.0,78206.0,9.2,32.8,24.9,155110.0,127790.0,32.6,81.0,10.8,66.4,83.8
Melilla,2012,16035,10898.0,69538.0,4.2,8.0,4.3,190110.0,148470.0,12.0,60.300000000000004,5.4,55.5,56.1
Andalucía,2013,16381,11100.0,7710575.0,9.2,6.4,13.4,127050.0,108660.0,40.1,75.4,6.6,55.5,44.6
Aragón,2013,24232,15127.0,1173497.0,9.8,3.9,11.6,176180.0,161210.0,20.0,60.099999999999994,5.6,30.7,32.0
Asturias,2013,19475,14316.0,1019771.0,7.6,1.0,7.5,159940.0,151340.0,21.7,47.8,5.1,27.0,28.3
Balears,2013,23719,14496.0,887268.0,19.5,7.3,19.4,154270.0,135230.0,26.4,68.0,7.1,42.9,66.8
Canarias,2013,18160,11960.0,1817445.0,11.2,11.5,20.0,126880.0,117230.0,35.8,74.5,7.0,65.6,44.5
Cantabria,2013,20299,13781.0,553358.0,11.5,4.1,7.8,144260.0,127330.0,26.3,71.5,5.2,33.2,29.3
Castilla Y León,2013,20474,13764.0,2355095.0,7.0,1.0,3.2,157430.0,141620.0,24.2,57.0,5.2,25.3,31.9
Castilla - La Mancha,2013,17720,11798.0,1880079.0,10.7,4.5,15.5,126730.0,110230.0,41.5,65.2,6.5,38.7,35.3
Cataluña,2013,25928,15997.0,6395178.0,11.0,5.8,10.6,178830.0,157040.0,19.4,65.1,5.7,40.0,57.9
Comunitat Valenciana,2013,19137,12501.0,4249924.0,11.0,4.0,15.5,138810.0,12130.0,33.1,71.3,6.5,42.8,52.4
Extremadura,2013,16028,10956.0,1062327.0,5.4,1.5,9.2,121390.0,102130.0,43.4,73.9,5.7,46.9,26.7
Galicia,2013,19636,12918.0,2655978.0,7.0,1.3,5.9,150370.0,131050.0,24.5,72.30000000000001,4.8,36.6,29.5
Madrid,2013,30264,17450.0,5535430.0,14.5,7.4,11.1,191240.0,168560.0,19.8,63.0,6.1,39.2,59.3
Murcia,2013,18502,11671.0,1241027.0,10.0,6.3,24.5,124870.0,111480.0,36.5,78.7,6.5,52.5,37.4
Navarra,2013,27213,17086.0,576585.0,4.2,2.8,3.3,201910.0,180570.0,12.6,47.3,4.5,24.0,37.5
País Vasco,2013,28277,18200.0,2042805.0,6.4,1.4,5.5,209550.0,192520.0,13.2,50.3,5.2,24.3,41.7
Rioja,2013,23898,14452.0,277623.0,14.5,0.5,11.0,153210.0,143440.0,24.0,59.4,6.8,32.8,30.1
Ceuta,2013,17229,11963.0,78512.0,6.6,33.0,28.7,146860.0,107210.0,43.5,82.4,10.9,69.6,69.3
Melilla,2013,15981,10895.0,71068.0,8.2,16.4,17.8,178980.0,132880.0,33.3,60.2,10.1,45.9,56.0
Andalucía,2014,16600,11137.0,7740785.0,11.4,7.1,15.8,121180.0,101520.0,45.6,78.2,7.1,58.5,42.0
Aragón,2014,24557,15032.0,1176154.0,9.1,1.8,11.1,176620.0,159040.0,23.2,53.9,6.0,28.9,30.5
Asturias,2014,19588,14350.0,1016632.0,7.2,0.9,8.4,160110.0,147240.0,26.9,52.0,6.3,24.9,27.0
Balears,2014,24454,14655.0,900330.0,21.8,10.4,21.3,157290.0,141150.0,26.5,60.9,8.9,37.9,62.0
Canarias,2014,18268,11915.0,1837677.0,10.6,12.1,16.8,125050.0,111570.0,38.4,81.0,7.7,66.9,43.0
Cantabria,2014,20747,13866.0,553894.0,8.2,0.8,8.2,141370.0,129720.0,29.6,65.80000000000001,4.8,31.7,29.3
Castilla Y León,2014,20694,13771.0,2347972.0,9.4,2.7,4.7,15080.0,137910.0,29.6,55.2,6.2,29.2,31.0
Castilla - La Mancha,2014,17480,11721.0,1882578.0,9.6,2.3,13.5,128240.0,110350.0,39.4,62.2,6.2,33.2,34.0
Cataluña,2014,26551,16219.0,6429689.0,12.9,7.5,10.5,181040.0,162790.0,20.5,67.2,6.5,41.1,57.0
Comunitat Valenciana,2014,19641,12631.0,4265214.0,9.4,2.8,19.5,134460.0,117170.0,36.0,77.5,5.8,47.9,50.0
Extremadura,2014,16053,10964.0,1061916.0,7.5,3.6,7.8,113450.0,99050.0,46.8,72.8,5.7,41.9,25.8
Galicia,2014,19876,13111.0,2650450.0,4.5,1.4,7.4,152730.0,13330.0,26.7,65.9,5.0,36.5,28.6
Madrid,2014,30776,17683.0,5574487.0,14.5,6.5,10.3,187890.0,164980.0,21.1,63.7,6.5,37.7,57.4
Murcia,2014,18606,11583.0,1250949.0,12.5,3.4,19.5,117150.0,100960.0,46.4,77.5,6.1,53.5,36.0
Navarra,2014,27704,17070.0,581240.0,6.4,2.7,6.3,19550.0,181210.0,16.2,36.9,4.9,19.3,41.7
País Vasco,2014,28843,18147.0,2047669.0,7.4,1.0,5.7,209570.0,194690.0,13.5,51.0,5.2,20.1,40.6
Rioja,2014,24586,14571.0,278984.0,9.0,1.4,11.4,16090.0,146980.0,25.1,53.5,6.4,30.5,28.4
Ceuta,2014,17123,11898.0,79427.0,5.2,29.0,29.2,137580.0,94920.0,50.4,79.0,9.2,69.2,62.8
Melilla,2014,15999,10914.0,71807.0,9.9,12.8,16.4,180730.0,134220.0,24.9,57.4,10.1,46.3,54.7
Andalucía,2015,17458,11688.0,7762838.0,8.8,5.6,13.8,118620.0,100910.0,45.4,76.89999999999999,7.0,55.1,40.2
Aragón,2015,25185,15511.0,1177664.0,6.4,1.2,8.1,183950.0,162670.0,20.3,47.3,5.4,27.9,29.1
Asturias,2015,20497,14955.0,1009889.0,8.7,1.2,6.5,162270.0,14880.0,22.9,55.7,5.2,29.0,25.9
Balears,2015,25732,15418.0,911961.0,20.5,6.4,21.7,158940.0,149540.0,28.6,57.199999999999996,9.1,40.2,59.9
Canarias,2015,18881,12458.0,1847199.0,13.0,14.9,18.9,129320.0,118390.0,37.8,83.6,10.1,67.0,42.7
Cantabria,2015,21329,14449.0,553471.0,7.1,3.1,6.3,151590.0,138260.0,22.0,57.4,4.3,29.1,28.7
Castilla Y León,2015,21600,14355.0,2336916.0,8.6,1.8,5.3,152840.0,136350.0,25.8,52.699999999999996,5.6,26.5,30.3
Castilla - La Mancha,2015,18499,12277.0,1881103.0,8.1,3.9,13.1,127250.0,111610.0,39.2,67.1,6.7,39.3,32.6
Cataluña,2015,27806,16904.0,6480037.0,11.6,7.8,11.9,182360.0,161120.0,18.5,62.3,6.1,38.0,56.0
Comunitat Valenciana,2015,20500,13183.0,4280478.0,11.5,4.6,15.1,133050.0,117690.0,36.5,73.3,6.4,41.6,47.5
Extremadura,2015,16993,11433.0,1058660.0,5.8,4.2,6.3,124210.0,103590.0,44.8,67.6,5.8,40.0,25.0
Galicia,2015,20934,13591.0,2641706.0,6.4,2.1,7.8,151330.0,134590.0,27.0,56.7,5.5,27.4,28.1
Madrid,2015,32275,18441.0,5625868.0,13.5,7.4,9.2,185930.0,16030.0,20.6,58.4,6.9,33.7,57.1
Murcia,2015,19901,12100.0,1258933.0,12.8,4.7,17.1,119930.0,103320.0,44.7,78.1,6.6,48.9,36.4
Navarra,2015,28761,17663.0,584583.0,5.7,1.1,5.9,197150.0,18710.0,12.0,47.199999999999996,4.8,23.0,37.5
País Vasco,2015,29962,18596.0,2051441.0,7.5,0.4,6.1,202640.0,186140.0,13.8,43.3,5.4,19.1,39.4
Rioja,2015,25594,15122.0,280237.0,8.2,1.0,16.2,162950.0,145070.0,23.3,49.0,5.5,25.4,27.2
Ceuta,2015,17757,12453.0,79114.0,7.7,25.1,37.2,133620.0,111680.0,37.6,69.5,7.1,63.2,58.8
Melilla,2015,16506,11374.0,72640.0,9.2,16.1,13.5,159370.0,129290.0,29.8,69.3,7.4,43.3,57.4
Andalucía,2016,17865,11831.0,7768101.0,9.4,6.9,13.2,12560.0,104590.0,43.6,78.1,7.2,52.8,39.5
Aragón,2016,26243,15998.0,1175750.0,5.0,1.5,8.2,171160.0,157510.0,22.5,43.3,5.1,26.8,29.0
Asturias,2016,20913,15091.0,1002290.0,6.5,1.4,5.3,172410.0,162770.0,19.8,43.4,5.1,22.7,25.2
Balears,2016,26922,16074.0,918324.0,11.5,10.5,12.6,178940.0,150070.0,20.8,53.3,6.1,32.7,60.7
Canarias,2016,19450,12830.0,1852510.0,11.1,14.7,16.7,129930.0,11010.0,43.1,76.3,8.8,61.3,42.1
Cantabria,2016,22072,14982.0,551755.0,10.1,7.1,5.9,154840.0,128680.0,23.4,47.7,4.8,34.8,29.2
Castilla Y León,2016,22369,14731.0,2318886.0,5.8,2.5,5.8,156450.0,139870.0,26.7,47.3,5.1,24.1,29.5
Castilla - La Mancha,2016,19149,12693.0,1873519.0,11.7,4.8,16.6,131060.0,114560.0,39.8,62.599999999999994,6.4,35.0,31.1
Cataluña,2016,28781,17249.0,6499198.0,11.1,5.3,9.9,188280.0,167570.0,16.7,63.3,5.6,37.2,54.2
Comunitat Valenciana,2016,21110,13460.0,4287589.0,11.1,5.6,12.8,135890.0,118610.0,34.8,69.3,6.0,43.8,46.6
