año,com_aut,pib,pob,sui,nat,paro,ing,pobr,fum,alc,obes,fyv,crim,homi,sati,pib_pc,renta_pc,poblacion,gasto_elevado_vivienda(%),falta_espacio_vivienda(%),retrasos_pagos(%),renta_media,renta_mediana,riesgo_pobreza(%),dificultad_fin_mes(%),desigualdad_ing(S80/S20),inc_gastos_imprevistos(%),tasa_criminalidad,precio_medio_anual_eur_m2_venta,precio_medio_anual_eur_m2_alquiler
2018,Castilla - La Mancha,42290925.0,2032.1,7.47,7.8,20.77,9405.0,33.9,,,,,33.6,0.39,75.5,20811.0,13517.0,1862987.0,10.2,0.9,9.1,143050.0,126460.0,34.1,50.900000000000006,6.6,39.9,33.6,875.33,5.02
2019,Castilla - La Mancha,43393303.0,2040.7,6.1,7.51,18.16,9837.0,32.6,,,,,34.5,0.54,,21264.0,14035.0,1860767.0,7.4,1.9,6.2,145050.0,133840.0,31.9,47.400000000000006,5.5,39.3,34.5,878.17,5.29
2020,Castilla - La Mancha,40254360.0,2045.9,7.24,7.21,16.21,10061.0,30.4,,,,,30.3,0.83,,19675.0,14059.0,1858267.0,6.9,1.6,8.4,158020.0,144460.0,26.9,39.2,4.8,33.1,30.3,864.42,5.53
2021,Castilla - La Mancha,44123986.0,2050.9,8.43,7.1,17.68,10797.0,31.3,,,,,32.9,0.49,69.1,21515.0,14646.0,1859995.0,7.8,2.1,14.2,15350.0,140540.0,29.0,44.6,5.7,35.6,32.9,870.92,5.82
2022,Castilla - La Mancha,50022532.0,2071.2,7.77,7.01,15.67,10700.0,32.2,,,,,39.1,0.91,66.9,24152.0,15484.0,1859853.0,5.9,4.1,14.5,164040.0,14860.0,26.3,49.8,4.9,36.6,39.1,886.5,6.1
2009,Castilla Y León,54452146.0,2547.6,7.87,8.01,9.62,10852.0,,18.98,3.59,16.82,83.8,,,,21374.0,14353.0,2395880.0,5.8,3.2,7.2,164150.0,146580.0,18.7,55.4,5.1,24.3,,1373.17,5.29
2010,Castilla Y León,54692531.0,2545.4,8.07,8.05,13.98,11590.0,,19.0,2.32,15.9,77.12,,,,21487.0,14316.0,2390017.0,5.5,3.3,9.2,1610.0,147360.0,19.0,54.2,5.2,31.4,33.2,1402.33,5.26
2011,Castilla Y León,54328993.0,2541.4,7.68,7.82,15.8,11355.0,,,4.73,,,,,,21378.0,14380.0,2385647.0,4.7,2.2,7.7,159180.0,144770.0,21.3,49.3,4.9,25.1,33.0,1465.42,5.58
2012,Castilla Y León,52589720.0,2525.5,6.49,7.54,16.86,11221.0,,,2.31,,,,,,20823.0,13878.0,2372569.0,6.9,0.6,6.6,159090.0,143540.0,20.9,48.6,5.0,28.4,33.4,1395.0,5.59
2013,Castilla Y León,51280425.0,2504.7,7.32,7.11,19.8,11230.0,,,2.12,,,,,50.1,20474.0,13764.0,2355095.0,7.0,1.0,3.2,157430.0,141620.0,24.2,57.0,5.2,25.3,31.9,1294.0,5.28
2014,Castilla Y León,51383670.0,2483.0,7.58,7.2,21.75,11123.0,,,,,,,,,20694.0,13771.0,2347972.0,9.4,2.7,4.7,15080.0,137910.0,29.6,55.2,6.2,29.2,31.0,1215.83,5.15
2015,Castilla Y León,53183396.0,2462.2,8.76,7.06,20.77,10807.0,25.1,,,,,,,,21600.0,14355.0,2336916.0,8.6,1.8,5.3,152840.0,136350.0,25.8,52.7,5.6,26.5,30.3,1172.33,5.22
2016,Castilla Y León,54630532.0,2442.3,7.82,6.82,18.26,10998.0,22.3,,,,,,,,22369.0,14731.0,2318886.0,5.8,2.5,5.8,156450.0,139870.0,26.7,47.3,5.1,24.1,29.5,1147.83,5.38
2017,Castilla Y León,55879293.0,2421.6,7.73,6.4,15.82,11218.0,21.4,,,,,,,,23076.0,15126.0,2303523.0,5.6,1.9,2.4,1630.0,150080.0,22.3,39.0,4.7,23.9,29.7,1148.42,5.69
2018,Castilla Y León,58326859.0,2408.6,7.97,6.24,14.08,11697.0,18.2,,,,,,,75.5,24216.0,15761.0,2285589.0,4.4,0.8,3.2,172640.0,152830.0,20.1,43.1,4.8,23.6,31.1,1159.75,6.02
2019,Castilla Y León,59649198.0,2400.5,7.76,5.96,12.1,12474.0,18.7,,,,,,,,24849.0,16378.0,2269754.0,3.9,1.0,3.1,172330.0,153490.0,17.0,35.599999999999994,4.5,23.9,31.8,1153.58,6.36
2020,Castilla Y León,54794589.0,2389.2,7.92,5.71,11.63,12530.0,16.2,,,,,,,,22934.0,16292.0,2253761.0,4.3,1.6,6.9,182840.0,16640.0,15.6,34.0,4.5,24.7,27.2,1130.83,6.67
2021,Castilla Y León,59465900.0,2376.7,8.19,5.5,12.06,13236.0,18.4,,,,,,,72.1,25020.0,16838.0,2239029.0,6.7,2.3,10.0,181810.0,166880.0,19.6,35.2,5.1,24.1,31.1,1135.33,6.85
2022,Castilla Y León,65461058.0,2379.6,8.81,5.52,11.61,13258.0,21.9,,,,,,,70.5,27509.0,17596.0,2225985.0,6.9,2.1,10.4,191170.0,173370.0,17.8,39.900000000000006,4.9,27.1,36.5,1137.92,7.08
2009,Cataluña,200745296.0,7447.3,5.84,11.44,8.89,13048.0,,20.91,1.09,14.2,77.65,,,,26956.0,16813.0,6286141.0,14.0,6.6,9.0,189780.0,168180.0,14.6,65.5,5.8,38.6,,2316.08,9.77
2010,Cataluña,202602183.0,7477.3,5.94,11.28,16.22,13425.0,,13.8,1.41,13.77,63.94,62.2,1.3,,27096.0,16934.0,6313843.0,13.3,6.6,12.1,192390.0,164810.0,14.7,62.5,6.1,32.3,62.2,2314.75,9.73
2011,Cataluña,199939125.0,7504.0,5.69,10.83,17.66,13586.0,,,1.59,,,60.6,1.01,,26644.0,16837.0,6353766.0,12.0,11.1,6.5,18170.0,157920.0,16.5,56.3,5.6,34.4,60.6,2315.75,9.78
2012,Cataluña,194512765.0,7499.4,6.36,10.33,19.16,12881.0,,,0.99,,,60.4,0.99,,25937.0,15978.0,6384129.0,13.3,8.2,13.0,181360.0,15870.0,19.8,64.0,6.2,42.0,60.4,2087.92,9.43
2013,Cataluña,193328965.0,7456.3,7.16,9.62,22.51,12862.0,,,1.43,,,57.9,0.58,67.1,25928.0,15997.0,6395178.0,11.0,5.8,10.6,178830.0,157040.0,19.4,65.1,5.7,40.0,57.9,1909.25,8.76
2014,Cataluña,196999531.0,7419.6,7.35,9.67,23.12,12759.0,,,,,,57.0,0.77,,26551.0,16219.0,6429689.0,12.9,7.5,10.5,181040.0,162790.0,20.5,67.2,6.5,41.1,57.0,1819.33,8.74
2015,Cataluña,206434270.0,7424.0,7.11,9.53,20.33,12797.0,23.5,,,,,56.0,0.57,,27806.0,16904.0,6480037.0,11.6,7.8,11.9,182360.0,161120.0,18.5,62.3,6.1,38.0,56.0,1821.92,9.59
2016,Cataluña,214502547.0,7452.8,6.62,9.29,18.6,12887.0,18.3,,,,,54.2,0.72,,28781.0,17249.0,6499198.0,11.1,5.3,9.9,188280.0,167570.0,16.7,63.3,5.6,37.2,54.2,1794.33,10.81
2017,Cataluña,223139777.0,7495.6,6.75,8.97,15.72,13214.0,18.7,,,,,56.3,0.87,,29770.0,17529.0,6514468.0,10.7,6.8,8.3,189570.0,168280.0,18.6,49.6,5.7,31.9,56.3,1875.92,12.54
2018,Cataluña,231101287.0,7571.0,6.62,8.46,13.41,13272.0,19.1,,,,,62.3,0.59,80.3,30525.0,17729.0,6517966.0,9.9,5.2,8.7,197910.0,183020.0,16.7,52.7,5.2,28.3,62.3,2055.75,13.27
2019,Cataluña,240165818.0,7673.0,6.75,8.09,11.49,13941.0,17.7,,,,,63.8,0.76,,31300.0,18458.0,6515790.0,10.3,7.3,8.1,200490.0,17790.0,16.1,50.8,5.6,26.1,63.8,2176.75,13.55
2020,Cataluña,214857435.0,7729.9,6.81,7.64,11.03,14268.0,17.3,,,,,45.7,0.62,,27796.0,17749.0,6519860.0,10.1,11.9,14.3,208720.0,189430.0,17.2,45.0,6.2,33.4,45.7,2199.33,13.88
2021,Cataluña,234820402.0,7734.5,7.05,7.52,12.63,14990.0,21.4,,,,,50.5,0.74,74.4,30360.0,18688.0,6512697.0,10.4,8.3,14.2,209270.0,188280.0,15.4,42.5,5.5,32.9,50.5,2259.83,13.01
2022,Cataluña,258786739.0,7831.9,7.18,7.19,11.69,14943.0,20.9,,,,,60.7,0.79,71.7,33043.0,19147.0,6520801.0,10.7,9.0,14.8,216370.0,197340.0,14.5,48.6,5.2,34.8,60.7,2289.58,13.7
2009,Ceuta,1484372.0,77.8,2.45,14.81,17.43,8537.0,,20.09,2.0,13.5,59.25,,,,19077.0,13428.0,75124.0,9.8,21.6,5.4,142610.0,115740.0,36.4,77.8,15.0,44.8,,,
2010,Ceuta,1494058.0,80.6,10.79,14.79,18.55,9367.0,,9.89,1.38,15.72,72.98,74.1,1.24,,18532.0,13004.0,76584.0,5.0,19.4,13.6,153320.0,132510.0,31.3,78.0,8.3,58.7,74.1,,
2011,Ceuta,1491191.0,82.9,6.86,14.06,23.92,10696.0,,,0.0,,,75.9,4.82,,17986.0,12824.0,77448.0,5.8,33.9,23.3,162080.0,129110.0,27.4,68.5,8.1,48.0,75.9,2162.17,10.95
2012,Ceuta,1438908.0,84.2,1.14,13.4,27.71,10882.0,,,0.0,,,83.8,0.0,,17094.0,11751.0,78206.0,9.2,32.8,24.9,155110.0,127790.0,32.6,81.0,10.8,66.4,83.8,2150.08,10.79
2013,Ceuta,1454750.0,84.4,3.76,12.85,37.02,10852.0,,,0.99,,,69.3,2.37,65.3,17229.0,11963.0,78512.0,6.6,33.0,28.7,146860.0,107210.0,43.5,82.4,10.9,69.6,69.3,2133.92,10.19
2014,Ceuta,1446625.0,84.5,4.54,14.2,34.84,10091.0,,,,,,62.8,7.1,,17123.0,11898.0,79427.0,5.2,29.0,29.2,137580.0,94920.0,50.4,79.0,9.2,69.2,62.8,2052.83,9.59
2015,Ceuta,1498459.0,84.4,6.51,12.97,31.85,9493.0,50.2,,,,,58.8,1.18,,17757.0,12453.0,79114.0,7.7,25.1,37.2,133620.0,111680.0,37.6,69.5,7.1,63.2,58.8,2046.17,9.67
2016,Ceuta,1537398.0,84.7,4.25,12.51,27.63,9430.0,35.0,,,,,54.7,4.72,,18155.0,12738.0,79086.0,9.5,24.3,21.5,148580.0,123580.0,39.4,64.7,6.3,63.7,54.7,2094.67,9.4
2017,Ceuta,1553567.0,85.1,5.52,12.29,24.92,10232.0,36.6,,,,,52.9,1.18,,18262.0,12680.0,79316.0,7.3,17.9,17.7,150750.0,122810.0,35.6,60.5,11.5,42.4,52.9,2065.83,9.65
2018,Ceuta,1611648.0,85.2,3.35,11.44,22.45,10235.0,45.9,,,,,55.4,1.17,58.9,18923.0,13245.0,79302.0,7.8,20.8,27.0,149910.0,103390.0,46.3,64.0,10.3,64.6,55.4,2103.17,9.72
2019,Ceuta,1659979.0,84.8,1.11,9.96,29.01,10637.0,46.1,,,,,56.0,4.72,,19577.0,13958.0,78985.0,12.4,21.2,14.5,160590.0,120580.0,44.0,51.8,11.5,50.6,56.0,2095.58,8.7
2020,Ceuta,1535718.0,84.5,4.59,10.04,25.84,10724.0,49.1,,,,,43.2,2.37,,18184.0,13880.0,78497.0,12.0,17.8,28.2,150580.0,124550.0,36.3,42.6,10.7,55.9,43.2,,
2021,Ceuta,1634006.0,83.1,5.12,8.68,24.53,10750.0,35.9,,,,,47.1,2.41,64.0,19661.0,14848.0,78150.0,14.1,7.0,29.4,161590.0,123320.0,35.7,53.9,9.5,54.9,47.1,,
2022,Ceuta,1768941.0,83.1,5.55,8.77,30.85,11305.0,40.5,,,,,43.9,4.82,68.7,21299.0,15590.0,78207.0,9.5,16.9,24.1,188640.0,14750.0,34.8,60.3,11.0,47.0,43.9,,
2009,Comunitat Valenciana,101989994.0,4984.4,7.65,10.51,11.99,10310.0,,19.88,2.06,16.66,80.6,,,,20462.0,13165.0,4205335.0,12.1,3.7,18.7,157030.0,140040.0,20.4,64.7,5.3,39.3,,1640.5,6.52
2010,Comunitat Valenciana,101870024.0,4988.9,7.83,10.36,20.76,11018.0,,21.16,1.71,14.64,39.69,57.6,0.92,,20419.0,13220.0,4217947.0,9.1,3.0,16.3,15780.0,136450.0,22.4,63.8,6.2,40.8,57.6,1554.08,6.08
2011,Comunitat Valenciana,100387555.0,5002.1,8.03,9.89,22.86,11077.0,,,0.66,,,56.9,0.92,,20069.0,13332.0,4236408.0,9.2,4.6,8.7,153440.0,13280.0,26.0,59.7,6.0,40.6,56.9,1504.83,5.72
2012,Comunitat Valenciana,95835883.0,4999.1,6.56,9.52,23.99,10682.0,,,2.16,,,55.6,1.02,,19171.0,12519.0,4246254.0,11.5,3.9,15.0,148640.0,13010.0,29.7,66.5,6.7,47.4,55.6,1387.67,5.6
2013,Comunitat Valenciana,95110090.0,4970.0,7.98,8.9,27.19,10451.0,,,0.5,,,52.4,0.64,69.5,19137.0,12501.0,4249924.0,11.0,4.0,15.5,138810.0,12130.0,33.1,71.3,6.5,42.8,52.4,1257.75,5.28
2014,Comunitat Valenciana,97256083.0,4951.7,7.89,8.96,28.05,9840.0,,,,,,50.0,0.65,,19641.0,12631.0,4265214.0,9.4,2.8,19.5,134460.0,117170.0,36.0,77.5,5.8,47.9,50.0,1201.5,5.16
2015,Comunitat Valenciana,101214206.0,4937.2,7.43,8.81,25.82,9556.0,32.6,,,,,47.5,0.97,,20500.0,13183.0,4280478.0,11.5,4.6,15.1,133050.0,117690.0,36.5,73.3,6.4,41.6,47.5,1201.58,5.25
2016,Comunitat Valenciana,104205396.0,4936.3,6.79,8.52,22.78,9549.0,32.7,,,,,46.6,0.61,,21110.0,13460.0,4287589.0,11.1,5.6,12.8,135890.0,118610.0,34.8,69.3,6.0,43.8,46.6,1194.42,5.64
2017,Comunitat Valenciana,108666712.0,4940.3,6.68,8.18,20.61,9723.0,30.6,,,,,46.0,0.83,,21996.0,13857.0,4299129.0,11.2,4.7,14.6,143650.0,130940.0,31.9,63.400000000000006,6.6,49.4,46.0,1218.5,6.06
2018,Comunitat Valenciana,112749574.0,4962.0,7.73,7.68,18.17,10288.0,30.8,,,,,46.7,0.5,77.9,22723.0,14219.0,4298782.0,9.3,4.2,7.6,150380.0,137480.0,30.9,58.2,5.6,39.9,46.7,1307.08,6.69
2019,Comunitat Valenciana,116588528.0,5015.1,7.72,7.47,15.59,10761.0,29.5,,,,,46.4,0.8,,23248.0,14828.0,4300356.0,7.0,4.0,9.4,155820.0,139940.0,28.5,50.6,5.6,35.3,46.4,1375.75,7.16
2020,Comunitat Valenciana,106067171.0,5055.7,8.55,7.1,14.11,11132.0,27.2,,,,,38.2,0.73,,20980.0,14535.0,4305222.0,10.6,2.9,14.4,165180.0,15180.0,25.7,47.8,6.6,36.8,38.2,1392.75,7.58
2021,Comunitat Valenciana,116386906.0,5072.7,8.34,7.06,16.19,11926.0,28.8,,,,,44.4,0.69,71.9,22944.0,15142.0,4306522.0,9.6,4.0,13.5,164740.0,152730.0,26.9,47.8,6.2,32.3,44.4,1457.83,7.56
2022,Comunitat Valenciana,127671811.0,5162.2,7.5,6.9,16.08,11803.0,29.2,,,,,51.0,0.72,71.1,24732.0,15436.0,4313498.0,7.4,3.8,12.2,174440.0,155250.0,22.3,48.2,5.2,34.6,51.0,1549.17,8.31
2009,Extremadura,18370208.0,1097.1,7.19,9.4,15.35,8407.0,,25.32,0.84,12.82,57.88,,,,16744.0,11096.0,1065187.0,3.9,3.0,1.8,138330.0,120240.0,29.7,66.7,5.6,30.1,,1148.08,5.32
2010,Extremadura,18652452.0,1100.4,6.87,9.2,20.63,9481.0,,21.48,2.24,16.28,57.29,27.3,0.27,,16950.0,11348.0,1067864.0,4.9,1.5,9.2,135090.0,109430.0,35.3,66.9,5.6,46.1,27.3,1130.92,4.92
2011,Extremadura,18273867.0,1103.5,7.39,9.01,22.97,9414.0,,,1.83,,,26.7,0.91,,16560.0,11341.0,1067648.0,4.6,2.8,5.2,131510.0,108520.0,36.6,56.9,5.5,44.5,26.7,1180.25,4.82
2012,Extremadura,17579526.0,1101.9,6.1,8.55,25.08,9176.0,,,1.59,,,26.7,1.18,,15953.0,10832.0,1065589.0,7.0,3.2,7.3,122810.0,10490.0,38.9,61.2,6.3,47.1,26.7,1100.17,4.81
2013,Extremadura,17606422.0,1098.5,6.63,8.09,33.08,8597.0,,,1.56,,,26.7,0.64,59.1,16028.0,10956.0,1062327.0,5.4,1.5,9.2,121390.0,102130.0,43.4,73.9,5.7,46.9,26.7,1023.92,4.52
2014,Extremadura,17564650.0,1094.2,6.42,8.38,33.87,8675.0,,,,,,25.8,0.37,,16053.0,10964.0,1061916.0,7.5,3.6,7.8,113450.0,99050.0,46.8,72.8,5.7,41.9,25.8,980.08,4.34
2015,Extremadura,18494971.0,1088.4,5.65,8.18,29.79,8101.0,38.2,,,,,25.0,0.09,,16993.0,11433.0,1058660.0,5.8,4.2,6.3,124210.0,103590.0,44.8,67.6,5.8,40.0,25.0,951.0,4.27
2016,Extremadura,19069471.0,1082.5,5.12,8.12,29.09,8947.0,34.7,,,,,24.3,0.65,,17616.0,11857.0,1054071.0,3.6,2.6,6.1,127750.0,106730.0,42.2,65.4,5.4,43.4,24.3,927.0,4.38
2017,Extremadura,20169546.0,1075.1,7.1,7.92,27.52,9078.0,35.2,,,,,24.6,0.74,,18761.0,12399.0,1048303.0,5.8,2.8,11.3,120060.0,96440.0,46.8,61.900000000000006,5.9,50.8,24.6,921.75,4.62
2018,Extremadura,20713254.0,1069.4,6.6,7.33,26.22,8683.0,42.8,,,,,25.1,0.37,83.8,19368.0,12647.0,1041216.0,5.2,1.6,9.9,123760.0,102650.0,45.7,66.6,4.8,44.4,25.1,912.42,4.74
2019,Extremadura,21166132.0,1065.6,6.15,7.2,23.64,8917.0,43.3,,,,,25.9,0.47,,19863.0,13151.0,1035087.0,6.4,1.6,10.1,128160.0,108820.0,39.6,57.8,4.8,44.7,25.9,903.08,5.0
2020,Extremadura,19497343.0,1062.5,7.05,6.97,21.53,9150.0,36.3,,,,,23.6,0.85,,18351.0,13246.0,1029320.0,3.7,4.1,13.7,132970.0,120060.0,33.9,55.3,4.5,46.8,23.6,902.33,5.12
2021,Extremadura,21551517.0,1058.4,8.16,6.87,21.8,9575.0,37.7,,,,,25.8,0.38,75.2,20363.0,13931.0,1024615.0,5.6,2.3,11.8,139080.0,120960.0,33.4,49.2,5.1,39.3,25.8,930.42,5.38
2022,Extremadura,23479961.0,1055.6,7.02,6.46,20.16,9865.0,38.1,,,,,30.4,0.28,68.0,22244.0,14416.0,1019638.0,4.4,1.8,12.4,148430.0,127540.0,30.2,55.7,4.6,42.3,30.4,936.5,5.63
2009,Galicia,56253055.0,2769.1,9.95,8.14,8.64,9764.0,,17.71,0.93,16.49,69.25,,,,20314.0,13511.0,2689452.0,4.5,1.9,6.7,151130.0,136070.0,19.2,60.400000000000006,4.6,33.6,,1543.83,7.56
2010,Galicia,56787248.0,2771.8,11.37,7.95,12.44,10307.0,,14.91,1.08,17.88,60.69,28.0,0.61,,20488.0,13375.0,2687983.0,4.7,2.5,7.0,157640.0,139350.0,18.0,60.7,5.0,36.8,28.0,1588.33,6.78
2011,Galicia,55816965.0,2771.7,9.16,7.79,15.32,10825.0,,,0.59,,,29.5,0.51,,20139.0,13485.0,2684954.0,5.8,3.6,5.6,15450.0,137910.0,19.2,62.0,5.0,30.0,29.5,1728.83,6.34
2012,Galicia,54021344.0,2764.6,10.02,7.63,17.26,10746.0,,,0.87,,,30.1,0.58,,19541.0,12897.0,2669315.0,6.7,0.7,7.6,153330.0,135150.0,23.6,63.0,5.4,35.2,30.1,1658.75,6.15
2013,Galicia,54038718.0,2752.1,10.97,7.17,20.53,10598.0,,,1.34,,,29.5,0.55,45.3,19636.0,12918.0,2655978.0,7.0,1.3,5.9,150370.0,131050.0,24.5,72.30000000000001,4.8,36.6,29.5,1522.42,5.64
2014,Galicia,54411393.0,2737.6,11.07,7.17,22.04,10464.0,,,,,,28.6,0.73,,19876.0,13111.0,2650450.0,4.5,1.4,7.4,152730.0,13330.0,26.7,65.9,5.0,36.5,28.6,1450.67,5.56
2015,Galicia,57010602.0,2723.4,12.19,7.13,21.65,10525.0,24.1,,,,,28.1,0.7,,20934.0,13591.0,2641706.0,6.4,2.1,7.8,151330.0,134590.0,27.0,56.7,5.5,27.4,28.1,1401.33,5.48
2016,Galicia,58564023.0,2712.1,10.47,7.03,19.31,10484.0,24.7,,,,,27.4,0.44,,21594.0,13984.0,2630559.0,6.6,0.9,6.4,154280.0,13250.0,26.1,56.0,5.5,28.9,27.4,1382.92,5.46
2017,Galicia,60630852.0,2702.7,11.07,6.82,17.15,10789.0,25.3,,,,,27.4,0.48,,22433.0,14438.0,2621150.0,6.3,2.5,4.5,15880.0,147560.0,22.5,42.9,5.8,21.6,27.4,1387.0,5.61
2018,Galicia,62649363.0,2699.0,10.61,6.14,15.67,11108.0,22.3,,,,,29.1,0.3,64.4,23212.0,14876.0,2609185.0,4.6,1.5,3.9,167580.0,150530.0,22.6,45.5,5.4,20.3,29.1,1367.75,5.94
2019,Galicia,64502005.0,2698.7,8.86,5.82,13.34,11438.0,24.8,,,,,29.7,0.59,,23901.0,15488.0,2598631.0,5.1,2.0,5.6,166210.0,149670.0,24.3,39.3,5.2,24.4,29.7,1341.5,6.39
2020,Galicia,59007178.0,2698.8,9.57,5.65,11.76,11497.0,24.2,,,,,27.2,0.41,,21864.0,15290.0,2589181.0,5.3,1.8,8.5,167570.0,154110.0,22.5,36.9,5.3,28.1,27.2,1321.67,6.83
2021,Galicia,64387386.0,2691.0,9.91,5.5,12.02,11863.0,24.8,,,,,32.8,0.67,69.0,23927.0,15922.0,2581111.0,5.4,2.4,9.0,167850.0,154090.0,21.8,41.400000000000006,5.1,24.7,32.8,1327.58,7.1
2022,Galicia,71637767.0,2696.1,10.93,5.38,11.54,11835.0,24.1,,,,,35.2,0.26,64.8,26571.0,16877.0,2571724.0,4.8,3.2,9.4,180930.0,166750.0,18.1,44.0,4.5,29.3,35.2,1325.17,7.38
2009,Madrid,199290149.0,6354.1,2.95,11.95,8.61,13089.0,,17.74,1.26,13.42,79.07,,,,31364.0,18183.0,5323129.0,15.4,7.5,12.3,205970.0,183490.0,15.4,56.5,6.3,32.5,,2600.58,11.03
2010,Madrid,198289849.0,6384.4,2.51,11.57,13.86,14100.0,,13.3,0.94,10.3,74.05,62.9,0.8,,31059.0,18208.0,5378740.0,13.2,8.5,12.6,201280.0,180640.0,14.3,56.0,5.9,36.8,62.9,2589.0,10.99
2011,Madrid,199623724.0,6409.1,1.95,11.24,15.84,14089.0,,,1.42,,,61.3,0.72,,31147.0,18411.0,5422095.0,12.6,7.3,6.6,199840.0,171140.0,15.4,60.5,6.1,36.7,61.3,2610.58,10.98
2012,Madrid,196359670.0,6424.0,2.17,10.8,16.33,13695.0,,,1.4,,,61.3,0.75,,30566.0,17348.0,5483506.0,13.4,7.4,7.6,199020.0,171320.0,17.3,64.1,6.5,39.7,61.3,2425.42,10.52
2013,Madrid,193344523.0,6388.7,1.46,10.22,18.53,13636.0,,,1.39,,,59.3,0.58,67.2,30264.0,17450.0,5535430.0,14.5,7.4,11.1,191240.0,168560.0,19.8,63.0,6.1,39.2,59.3,2253.42,9.89
2014,Madrid,196018105.0,6369.1,5.19,10.27,19.76,13506.0,,,,,,57.4,0.64,,30776.0,17683.0,5574487.0,14.5,6.5,10.3,187890.0,164980.0,21.1,63.7,6.5,37.7,57.4,2181.58,9.95
2015,Madrid,206231525.0,6389.8,5.34,10.14,18.74,13221.0,18.8,,,,,57.1,0.47,,32275.0,18441.0,5625868.0,13.5,7.4,9.2,185930.0,16030.0,20.6,58.4,6.9,33.7,57.1,2162.67,10.39
2016,Madrid,214469101.0,6430.9,5.06,9.79,17.06,13182.0,20.0,,,,,58.1,0.51,,33350.0,19064.0,5674369.0,15.6,6.2,8.7,187090.0,164640.0,22.4,58.5,7.2,33.6,58.1,2145.92,11.1
2017,Madrid,224373156.0,6486.3,4.73,9.31,15.72,13319.0,21.6,,,,,58.8,0.6,,34592.0,19532.0,5711913.0,15.1,6.5,6.9,193140.0,172940.0,20.3,47.1,7.7,34.0,58.8,2175.58,12.26
2018,Madrid,233735808.0,6565.5,5.16,8.74,13.34,13855.0,20.3,,,,,59.4,0.55,77.1,35601.0,19703.0,5751623.0,13.5,6.0,8.7,196480.0,168920.0,18.5,51.9,6.3,31.8,59.4,2473.92,13.55
2019,Madrid,243889359.0,6661.4,5.1,8.34,12.22,13863.0,20.1,,,,,61.2,0.48,,36613.0,20638.0,5781575.0,13.0,6.1,7.2,21030.0,176810.0,18.4,43.2,6.5,31.2,61.2,2720.42,14.14
2020,Madrid,221061932.0,6728.8,5.18,7.75,10.62,14806.0,19.1,,,,,46.1,0.56,,32853.0,19755.0,5824174.0,10.1,11.9,11.5,214290.0,181540.0,16.2,42.2,5.8,30.1,46.1,2724.17,14.41
2021,Madrid,239837609.0,6717.7,5.36,7.62,12.49,15365.0,20.0,,,,,51.5,0.55,73.1,35703.0,20654.0,5796129.0,13.4,9.0,13.2,21990.0,192060.0,16.0,40.7,6.3,30.6,51.5,2857.17,13.52
2022,Madrid,267385856.0,6807.6,5.01,7.49,11.69,15504.0,21.2,,,,,58.9,0.66,73.2,39278.0,21261.0,5800367.0,12.2,8.5,11.9,233380.0,202840.0,14.8,43.3,5.7,31.3,58.9,3010.42,14.11
2009,Melilla,1361870.0,74.5,10.48,17.09,19.99,12113.0,,15.18,0.0,6.81,32.44,,,,18284.0,12476.0,65863.0,7.4,14.9,13.1,17120.0,186340.0,30.0,67.5,9.9,52.2,,,
2010,Melilla,1367400.0,77.4,8.2,17.55,23.49,12370.0,,11.24,0.38,9.27,51.39,60.1,0.0,,17661.0,12165.0,67161.0,7.2,18.6,22.8,182590.0,171980.0,25.8,69.30000000000001,7.6,53.2,60.1,,
2011,Melilla,1374489.0,80.2,0.97,18.15,22.78,12474.0,,,0.23,,,61.6,0.0,,17144.0,11997.0,68443.0,11.8,27.1,18.8,182780.0,14320.0,27.2,81.4,10.7,52.0,61.6,,
2012,Melilla,1325903.0,82.7,6.61,18.34,22.39,13274.0,,,0.28,,,56.1,4.84,,16035.0,10898.0,69538.0,4.2,8.0,4.3,190110.0,148470.0,12.0,60.3,5.4,55.5,56.1,,
2013,Melilla,1339497.0,83.8,11.11,18.04,26.92,12897.0,,,0.13,,,56.0,1.19,71.3,15981.0,10895.0,71068.0,8.2,16.4,17.8,178980.0,132880.0,33.3,60.2,10.1,45.9,56.0,1807.92,9.2
2014,Melilla,1350573.0,84.4,1.25,19.33,32.52,12635.0,,,,,,54.7,3.55,,15999.0,10914.0,71807.0,9.9,12.8,16.4,180730.0,134220.0,24.9,57.4,10.1,46.3,54.7,1748.08,8.49
2015,Melilla,1407605.0,85.3,7.09,17.83,28.39,13200.0,26.6,,,,,57.4,1.17,,16506.0,11374.0,72640.0,9.2,16.1,13.5,159370.0,129290.0,29.8,69.3,7.4,43.3,57.4,1735.58,8.41
2016,Melilla,1452752.0,85.6,6.03,17.19,33.96,11255.0,27.5,,,,,56.5,1.17,,16979.0,11642.0,72706.0,10.0,18.9,12.5,173490.0,169990.0,24.6,59.8,8.2,47.1,56.5,1701.67,8.25
2017,Melilla,1466610.0,86.0,2.45,15.82,30.75,12183.0,26.2,,,,,55.2,0.0,,17051.0,11722.0,72765.0,8.8,21.4,9.9,164530.0,148430.0,28.3,54.4,7.1,30.6,55.2,1706.75,8.33
2018,Melilla,1510904.0,86.2,3.53,15.83,27.59,11381.0,27.8,,,,,63.7,0.0,86.1,17531.0,12141.0,72883.0,9.2,17.9,9.3,1950.0,16840.0,22.4,51.900000000000006,9.1,40.3,63.7,1749.25,8.23
