,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
103,Abril 2017,"6,8 €/m2","- 0,8 %","+ 2,5 %","+ 3,7 %",Navarra
104,Marzo 2017,"6,8 €/m2","+ 1,4 %","+ 4,0 %","+ 4,0 %",Navarra
105,Febrero 2017,"6,7 €/m2","+ 1,9 %","+ 2,7 %","+ 3,9 %",Navarra
106,Enero 2017,"6,6 €/m2","+ 0,6 %","- 0,8 %","+ 3,1 %",Navarra
107,Diciembre 2016,"6,6 €/m2","+ 0,1 %","- 0,9 %","+ 3,3 %",Navarra
108,Noviembre 2016,"6,5 €/m2","- 1,5 %","- 0,5 %","+ 2,7 %",Navarra
109,Octubre 2016,"6,6 €/m2","+ 0,5 %","- 0,3 %","+ 3,8 %",Navarra
110,Septiembre 2016,"6,6 €/m2","+ 0,6 %","- 0,9 %","+ 3,7 %",Navarra
111,Agosto 2016,"6,6 €/m2","- 1,4 %","- 0,2 %","+ 2,6 %",Navarra
112,Julio 2016,"6,7 €/m2","- 0,1 %","+ 2,3 %","+ 4,1 %",Navarra
113,Junio 2016,"6,7 €/m2","+ 1,3 %","+ 1,9 %","+ 4,8 %",Navarra
114,Mayo 2016,"6,6 €/m2","+ 1,2 %","+ 2,0 %","+ 4,0 %",Navarra
115,Abril 2016,"6,5 €/m2","- 0,5 %","+ 1,9 %","+ 2,9 %",Navarra
116,Marzo 2016,"6,6 €/m2","+ 1,4 %","+ 3,3 %","+ 5,0 %",Navarra
117,Febrero 2016,"6,5 €/m2","+ 1,1 %","+ 1,5 %","+ 3,0 %",Navarra
118,Enero 2016,"6,4 €/m2","+ 0,8 %","- 0,2 %","+ 2,0 %",Navarra
119,Diciembre 2015,"6,3 €/m2","- 0,5 %","- 0,6 %","+ 1,3 %",Navarra
120,Noviembre 2015,"6,4 €/m2","- 0,5 %","- 0,6 %","+ 1,4 %",Navarra
121,Octubre 2015,"6,4 €/m2","+ 0,4 %","0,0 %","+ 1,1 %",Navarra
122,Septiembre 2015,"6,4 €/m2","- 0,5 %","+ 0,1 %","+ 0,6 %",Navarra
123,Agosto 2015,"6,4 €/m2","0,0 %","+ 1,0 %","+ 0,6 %",Navarra
124,Julio 2015,"6,4 €/m2","+ 0,6 %","+ 1,2 %","+ 0,2 %",Navarra
125,Junio 2015,"6,4 €/m2","+ 0,5 %","+ 2,2 %","+ 0,7 %",Navarra
126,Mayo 2015,"6,3 €/m2","+ 0,1 %","+ 1,1 %","+ 1,0 %",Navarra
127,Abril 2015,"6,3 €/m2","+ 1,6 %","+ 1,1 %","+ 0,9 %",Navarra
128,Marzo 2015,"6,2 €/m2","- 0,6 %","- 0,4 %","- 1,1 %",Navarra
129,Febrero 2015,"6,3 €/m2","+ 0,1 %","- 0,2 %","- 0,7 %",Navarra
130,Enero 2015,"6,3 €/m2","+ 0,1 %","- 1,1 %","- 0,9 %",Navarra
131,Diciembre 2014,"6,3 €/m2","- 0,4 %","- 1,2 %","- 0,9 %",Navarra
132,Noviembre 2014,"6,3 €/m2","- 0,8 %","- 1,3 %","- 1,4 %",Navarra
133,Octubre 2014,"6,3 €/m2","- 0,1 %","- 0,9 %","- 0,7 %",Navarra
134,Septiembre 2014,"6,3 €/m2","- 0,4 %","+ 0,2 %","- 1,3 %",Navarra
135,Agosto 2014,"6,4 €/m2","- 0,5 %","+ 1,4 %","- 0,9 %",Navarra
136,Julio 2014,"6,4 €/m2","+ 1,1 %","+ 1,9 %","- 1,3 %",Navarra
137,Junio 2014,"6,3 €/m2","+ 0,7 %","+ 0,3 %","- 3,1 %",Navarra
138,Mayo 2014,"6,3 €/m2","0,0 %","- 0,6 %","- 4,3 %",Navarra
139,Abril 2014,"6,3 €/m2","- 0,4 %","- 0,7 %","- 4,1 %",Navarra
140,Marzo 2014,"6,3 €/m2","- 0,2 %","- 0,2 %","- 4,9 %",Navarra
141,Febrero 2014,"6,3 €/m2","- 0,1 %","- 0,8 %","- 5,5 %",Navarra
142,Enero 2014,"6,3 €/m2","0,0 %","- 1,0 %","- 5,6 %",Navarra
143,Diciembre 2013,"6,3 €/m2","- 0,8 %","- 1,6 %","- 6,8 %",Navarra
144,Noviembre 2013,"6,4 €/m2","- 0,2 %","- 0,8 %","- 7,9 %",Navarra
145,Octubre 2013,"6,4 €/m2","- 0,6 %","- 1,5 %","- 8,8 %",Navarra
146,Septiembre 2013,"6,4 €/m2","0,0 %","- 1,6 %","- 9,1 %",Navarra
147,Agosto 2013,"6,4 €/m2","- 0,9 %","- 2,1 %","- 10,0 %",Navarra
148,Julio 2013,"6,5 €/m2","- 0,7 %","- 1,0 %","- 11,4 %",Navarra
149,Junio 2013,"6,5 €/m2","- 0,5 %","- 1,6 %","- 11,0 %",Navarra
150,Mayo 2013,"6,6 €/m2","+ 0,2 %","- 1,9 %","- 12,1 %",Navarra
151,Abril 2013,"6,5 €/m2","- 1,3 %","- 2,2 %","- 13,3 %",Navarra
152,Marzo 2013,"6,6 €/m2","- 0,8 %","- 2,2 %","- 12,4 %",Navarra
153,Febrero 2013,"6,7 €/m2","- 0,1 %","- 3,3 %","- 10,3 %",Navarra
154,Enero 2013,"6,7 €/m2","- 1,3 %","- 4,4 %","- 9,5 %",Navarra
155,Diciembre 2012,"6,8 €/m2","- 2,0 %","- 4,0 %","- 7,4 %",Navarra
156,Noviembre 2012,"6,9 €/m2","- 1,2 %","- 3,1 %","- 5,6 %",Navarra
157,Octubre 2012,"7,0 €/m2","- 0,8 %","- 4,2 %","- 4,7 %",Navarra
158,Septiembre 2012,"7,1 €/m2","- 1,1 %","- 3,7 %","- 4,7 %",Navarra
159,Agosto 2012,"7,1 €/m2","- 2,3 %","- 4,3 %","- 3,1 %",Navarra
160,Julio 2012,"7,3 €/m2","- 0,3 %","- 3,2 %","- 0,1 %",Navarra
161,Junio 2012,"7,3 €/m2","- 1,7 %","- 3,1 %","+ 3,9 %",Navarra
162,Mayo 2012,"7,5 €/m2","- 1,2 %","0,0 %","+ 10,7 %",Navarra
163,Abril 2012,"7,6 €/m2","- 0,2 %","+ 2,1 %","+ 13,4 %",Navarra
164,Marzo 2012,"7,6 €/m2","+ 1,5 %","+ 3,3 %","+ 11,1 %",Navarra
165,Febrero 2012,"7,5 €/m2","+ 0,8 %","+ 1,8 %","+ 13,8 %",Navarra
166,Enero 2012,"7,4 €/m2","+ 1,0 %","+ 0,7 %","+ 10,8 %",Navarra
167,Diciembre 2011,"7,3 €/m2","0,0 %","- 1,2 %","+ 11,2 %",Navarra
168,Noviembre 2011,"7,3 €/m2","- 0,3 %","- 0,6 %","+ 11,9 %",Navarra
169,Octubre 2011,"7,3 €/m2","- 0,9 %","+ 0,4 %","+ 13,3 %",Navarra
170,Septiembre 2011,"7,4 €/m2","+ 0,6 %","+ 5,0 %","+ 12,0 %",Navarra
171,Agosto 2011,"7,4 €/m2","+ 0,7 %","+ 9,3 %","+ 12,4 %",Navarra
172,Julio 2011,"7,3 €/m2","+ 3,6 %","+ 9,8 %","+ 7,1 %",Navarra
173,Junio 2011,"7,1 €/m2","+ 4,7 %","+ 3,6 %","+ 10,9 %",Navarra
174,Mayo 2011,"6,7 €/m2","+ 1,2 %","+ 2,9 %",n.d.,Navarra
175,Abril 2011,"6,7 €/m2","- 2,3 %","- 0,2 %",n.d.,Navarra
176,Marzo 2011,"6,8 €/m2","+ 4,0 %","+ 3,4 %",n.d.,Navarra
177,Febrero 2011,"6,6 €/m2","- 1,8 %","+ 0,2 %",n.d.,Navarra
178,Enero 2011,"6,7 €/m2","+ 1,3 %","+ 3,0 %",n.d.,Navarra
179,Diciembre 2010,"6,6 €/m2","+ 0,7 %","- 0,4 %",n.d.,Navarra
180,Noviembre 2010,"6,5 €/m2","+ 0,9 %","- 0,2 %",n.d.,Navarra
181,Octubre 2010,"6,5 €/m2","- 2,0 %","- 5,1 %",n.d.,Navarra
182,Septiembre 2010,"6,6 €/m2","+ 0,9 %","+ 4,0 %",n.d.,Navarra
183,Agosto 2010,"6,6 €/m2","- 4,1 %",n.d.,n.d.,Navarra
184,Julio 2010,"6,8 €/m2","+ 7,3 %",n.d.,n.d.,Navarra
185,Junio 2010,"6,4 €/m2",n.d.,n.d.,n.d.,Navarra
186,Mayo 2010,n.d.,n.d.,n.d.,n.d.,Navarra
187,Abril 2010,n.d.,n.d.,n.d.,n.d.,Navarra
188,Marzo 2010,n.d.,n.d.,n.d.,n.d.,Navarra
189,Febrero 2010,n.d.,n.d.,n.d.,n.d.,Navarra
190,Enero 2010,n.d.,n.d.,n.d.,n.d.,Navarra
191,Diciembre 2009,n.d.,n.d.,n.d.,n.d.,Navarra
192,Noviembre 2009,n.d.,n.d.,n.d.,n.d.,Navarra
193,Octubre 2009,n.d.,n.d.,n.d.,n.d.,Navarra
194,Septiembre 2009,n.d.,n.d.,n.d.,n.d.,Navarra
195,Agosto 2009,n.d.,n.d.,n.d.,n.d.,Navarra
196,Julio 2009,n.d.,n.d.,n.d.,n.d.,Navarra
197,Junio 2009,n.d.,n.d.,n.d.,n.d.,Navarra
198,Mayo 2009,n.d.,n.d.,n.d.,n.d.,Navarra
199,Abril 2009,n.d.,n.d.,n.d.,n.d.,Navarra
200,Marzo 2009,n.d.,n.d.,n.d.,n.d.,Navarra
201,Febrero 2009,n.d.,n.d.,n.d.,n.d.,Navarra
202,Enero 2009,n.d.,n.d.,n.d.,n.d.,Navarra
203,Diciembre 2008,n.d.,n.d.,n.d.,n.d.,Navarra
204,Noviembre 2008,n.d.,n.d.,n.d.,n.d.,Navarra
205,Octubre 2008,n.d.,n.d.,n.d.,n.d.,Navarra
206,Septiembre 2008,n.d.,n.d.,n.d.,n.d.,Navarra
207,Agosto 2008,n.d.,n.d.,n.d.,n.d.,Navarra
208,Julio 2008,n.d.,n.d.,n.d.,n.d.,Navarra
209,Junio 2008,n.d.,n.d.,n.d.,n.d.,Navarra
210,Mayo 2008,n.d.,n.d.,n.d.,n.d.,Navarra
211,Abril 2008,n.d.,n.d.,n.d.,n.d.,Navarra
212,Marzo 2008,n.d.,n.d.,n.d.,n.d.,Navarra
213,Febrero 2008,n.d.,n.d.,n.d.,n.d.,Navarra
214,Enero 2008,n.d.,n.d.,n.d.,n.d.,Navarra
215,Diciembre 2007,n.d.,n.d.,n.d.,n.d.,Navarra
216,Noviembre 2007,n.d.,n.d.,n.d.,n.d.,Navarra
217,Octubre 2007,n.d.,n.d.,n.d.,n.d.,Navarra
218,Septiembre 2007,n.d.,n.d.,n.d.,n.d.,Navarra
