,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
71,Diciembre 2019,"12,4 €/m2","+ 0,4 %","+ 1,7 %","+ 1,6 %",Baleares
72,Noviembre 2019,"12,3 €/m2","+ 1,0 %","- 0,8 %","+ 1,2 %",Baleares
73,Octubre 2019,"12,2 €/m2","+ 0,3 %","- 4,3 %","+ 1,3 %",Baleares
74,Septiembre 2019,"12,2 €/m2","- 2,0 %","- 5,8 %","+ 0,7 %",Baleares
75,Agosto 2019,"12,4 €/m2","- 2,6 %","- 3,0 %","+ 0,1 %",Baleares
76,Julio 2019,"12,8 €/m2","- 1,2 %","+ 3,5 %","- 1,8 %",Baleares
77,Junio 2019,"12,9 €/m2","+ 0,8 %","+ 6,0 %","- 2,6 %",Baleares
78,Mayo 2019,"12,8 €/m2","+ 3,9 %","+ 6,0 %","- 3,0 %",Baleares
79,Abril 2019,"12,3 €/m2","+ 1,2 %","+ 1,4 %","- 2,4 %",Baleares
80,Marzo 2019,"12,2 €/m2","+ 0,8 %","0,0 %","0,0 %",Baleares
81,Febrero 2019,"12,1 €/m2","- 0,6 %","- 0,7 %","+ 1,8 %",Baleares
82,Enero 2019,"12,2 €/m2","- 0,3 %","+ 0,9 %","+ 3,3 %",Baleares
83,Diciembre 2018,"12,2 €/m2","+ 0,1 %","+ 0,8 %","+ 3,2 %",Baleares
84,Noviembre 2018,"12,2 €/m2","+ 1,1 %","- 1,9 %","+ 3,9 %",Baleares
85,Octubre 2018,"12,1 €/m2","- 0,3 %","- 7,3 %","+ 2,0 %",Baleares
86,Septiembre 2018,"12,1 €/m2","- 2,6 %","- 8,8 %","- 0,2 %",Baleares
87,Agosto 2018,"12,4 €/m2","- 4,4 %","- 6,0 %","- 0,8 %",Baleares
88,Julio 2018,"13,0 €/m2","- 2,0 %","+ 2,8 %","- 0,3 %",Baleares
89,Junio 2018,"13,3 €/m2","+ 0,4 %","+ 8,8 %","- 0,4 %",Baleares
90,Mayo 2018,"13,2 €/m2","+ 4,5 %","+ 11,3 %","+ 3,2 %",Baleares
91,Abril 2018,"12,7 €/m2","+ 3,6 %","+ 7,4 %","+ 4,7 %",Baleares
92,Marzo 2018,"12,2 €/m2","+ 2,7 %","+ 3,2 %","+ 9,2 %",Baleares
93,Febrero 2018,"11,9 €/m2","+ 0,9 %","+ 1,3 %","+ 10,2 %",Baleares
94,Enero 2018,"11,8 €/m2","- 0,4 %","- 0,4 %","+ 13,6 %",Baleares
95,Diciembre 2017,"11,8 €/m2","+ 0,8 %","- 2,4 %","+ 16,2 %",Baleares
96,Noviembre 2017,"11,7 €/m2","- 0,8 %","- 6,4 %","+ 18,6 %",Baleares
97,Octubre 2017,"11,8 €/m2","- 2,4 %","- 9,4 %","+ 18,7 %",Baleares
98,Septiembre 2017,"12,1 €/m2","- 3,3 %","- 9,0 %","+ 18,6 %",Baleares
99,Agosto 2017,"12,5 €/m2","- 4,0 %","- 2,2 %","+ 17,1 %",Baleares
100,Julio 2017,"13,1 €/m2","- 2,1 %","+ 8,1 %","+ 19,4 %",Baleares
101,Junio 2017,"13,3 €/m2","+ 4,0 %","+ 19,3 %","+ 21,8 %",Baleares
102,Mayo 2017,"12,8 €/m2","+ 6,1 %","+ 18,8 %","+ 22,6 %",Baleares
103,Abril 2017,"12,1 €/m2","+ 8,1 %","+ 16,5 %","+ 23,4 %",Baleares
104,Marzo 2017,"11,2 €/m2","+ 3,6 %","+ 9,8 %","+ 22,2 %",Baleares
105,Febrero 2017,"10,8 €/m2","+ 4,0 %","+ 9,1 %","+ 22,8 %",Baleares
106,Enero 2017,"10,4 €/m2","+ 1,9 %","+ 4,0 %","+ 23,1 %",Baleares
107,Diciembre 2016,"10,2 €/m2","+ 2,9 %","- 0,5 %","+ 23,7 %",Baleares
108,Noviembre 2016,"9,9 €/m2","- 0,8 %","- 7,6 %","+ 19,7 %",Baleares
109,Octubre 2016,"10,0 €/m2","- 2,5 %","- 8,8 %","+ 21,3 %",Baleares
110,Septiembre 2016,"10,2 €/m2","- 4,5 %","- 6,5 %","+ 18,8 %",Baleares
111,Agosto 2016,"10,7 €/m2","- 2,0 %","+ 2,5 %","+ 23,7 %",Baleares
112,Julio 2016,"10,9 €/m2","- 0,1 %","+ 11,6 %","+ 23,5 %",Baleares
113,Junio 2016,"10,9 €/m2","+ 4,7 %","+ 19,6 %","+ 25,3 %",Baleares
114,Mayo 2016,"10,4 €/m2","+ 6,7 %","+ 19,0 %","+ 20,9 %",Baleares
115,Abril 2016,"9,8 €/m2","+ 7,0 %","+ 16,3 %","+ 15,7 %",Baleares
116,Marzo 2016,"9,1 €/m2","+ 4,2 %","+ 11,2 %","+ 12,9 %",Baleares
117,Febrero 2016,"8,8 €/m2","+ 4,3 %","+ 6,2 %","+ 9,9 %",Baleares
118,Enero 2016,"8,4 €/m2","+ 2,4 %","+ 2,4 %","+ 5,7 %",Baleares
119,Diciembre 2015,"8,2 €/m2","- 0,4 %","- 4,4 %","+ 4,1 %",Baleares
120,Noviembre 2015,"8,3 €/m2","+ 0,5 %","- 4,5 %","+ 7,5 %",Baleares
121,Octubre 2015,"8,2 €/m2","- 4,5 %","- 7,1 %","+ 6,8 %",Baleares
122,Septiembre 2015,"8,6 €/m2","- 0,6 %","- 1,5 %","+ 9,9 %",Baleares
123,Agosto 2015,"8,7 €/m2","- 2,2 %","+ 0,1 %","+ 10,5 %",Baleares
124,Julio 2015,"8,8 €/m2","+ 1,3 %","+ 4,6 %","+ 12,2 %",Baleares
125,Junio 2015,"8,7 €/m2","+ 1,0 %","+ 7,8 %","+ 10,8 %",Baleares
126,Mayo 2015,"8,6 €/m2","+ 2,2 %","+ 8,1 %","+ 11,4 %",Baleares
127,Abril 2015,"8,5 €/m2","+ 4,4 %","+ 6,2 %","+ 11,4 %",Baleares
128,Marzo 2015,"8,1 €/m2","+ 1,4 %","+ 2,5 %","+ 7,3 %",Baleares
129,Febrero 2015,"8,0 €/m2","+ 0,3 %","+ 3,9 %","+ 6,1 %",Baleares
130,Enero 2015,"8,0 €/m2","+ 0,8 %","+ 3,5 %","+ 5,6 %",Baleares
131,Diciembre 2014,"7,9 €/m2","+ 2,8 %","+ 1,0 %","+ 4,5 %",Baleares
132,Noviembre 2014,"7,7 €/m2","- 0,1 %","- 1,8 %","+ 1,9 %",Baleares
133,Octubre 2014,"7,7 €/m2","- 1,6 %","- 2,4 %","+ 1,7 %",Baleares
134,Septiembre 2014,"7,8 €/m2","- 0,1 %","- 0,7 %","+ 2,9 %",Baleares
135,Agosto 2014,"7,8 €/m2","- 0,7 %","+ 1,0 %","+ 2,0 %",Baleares
136,Julio 2014,"7,9 €/m2","+ 0,1 %","+ 3,8 %","+ 1,8 %",Baleares
137,Junio 2014,"7,9 €/m2","+ 1,6 %","+ 4,3 %","+ 2,2 %",Baleares
138,Mayo 2014,"7,8 €/m2","+ 2,1 %","+ 3,0 %","+ 2,4 %",Baleares
139,Abril 2014,"7,6 €/m2","+ 0,6 %","+ 0,7 %","+ 1,3 %",Baleares
140,Marzo 2014,"7,6 €/m2","+ 0,3 %","- 0,2 %","+ 1,5 %",Baleares
141,Febrero 2014,"7,5 €/m2","- 0,1 %","- 0,2 %","+ 0,1 %",Baleares
142,Enero 2014,"7,5 €/m2","- 0,3 %","- 0,4 %","+ 0,2 %",Baleares
143,Diciembre 2013,"7,6 €/m2","+ 0,3 %","- 0,5 %","- 3,6 %",Baleares
144,Noviembre 2013,"7,5 €/m2","- 0,3 %","- 1,8 %","- 4,6 %",Baleares
145,Octubre 2013,"7,6 €/m2","- 0,5 %","- 2,2 %","- 5,2 %",Baleares
146,Septiembre 2013,"7,6 €/m2","- 1,0 %","- 1,3 %","- 6,3 %",Baleares
147,Agosto 2013,"7,7 €/m2","- 0,8 %","+ 1,4 %","- 6,0 %",Baleares
148,Julio 2013,"7,7 €/m2","+ 0,5 %","+ 3,2 %","- 6,3 %",Baleares
149,Junio 2013,"7,7 €/m2","+ 1,7 %","+ 3,6 %","- 6,4 %",Baleares
150,Mayo 2013,"7,6 €/m2","+ 1,0 %","+ 0,7 %","- 6,9 %",Baleares
151,Abril 2013,"7,5 €/m2","+ 0,8 %","- 0,4 %","- 7,4 %",Baleares
152,Marzo 2013,"7,4 €/m2","- 1,1 %","- 5,2 %","- 8,9 %",Baleares
153,Febrero 2013,"7,5 €/m2","- 0,1 %","- 4,9 %","- 7,5 %",Baleares
154,Enero 2013,"7,5 €/m2","- 4,1 %","- 5,7 %","- 9,0 %",Baleares
155,Diciembre 2012,"7,8 €/m2","- 0,8 %","- 3,3 %","- 4,8 %",Baleares
156,Noviembre 2012,"7,9 €/m2","- 1,0 %","- 3,2 %","- 4,5 %",Baleares
157,Octubre 2012,"8,0 €/m2","- 1,7 %","- 3,4 %","- 4,0 %",Baleares
158,Septiembre 2012,"8,1 €/m2","- 0,6 %","- 1,4 %","- 4,6 %",Baleares
159,Agosto 2012,"8,2 €/m2","- 1,2 %","+ 0,4 %","- 4,4 %",Baleares
160,Julio 2012,"8,3 €/m2","+ 0,4 %","+ 2,0 %","- 4,6 %",Baleares
161,Junio 2012,"8,2 €/m2","+ 1,2 %","+ 0,9 %","- 7,3 %",Baleares
162,Mayo 2012,"8,1 €/m2","+ 0,5 %","+ 0,1 %","- 9,5 %",Baleares
163,Abril 2012,"8,1 €/m2","- 0,8 %","- 2,0 %","- 10,6 %",Baleares
164,Marzo 2012,"8,2 €/m2","+ 0,5 %","- 1,0 %","- 9,1 %",Baleares
165,Febrero 2012,"8,1 €/m2","- 1,7 %","- 1,9 %","- 9,7 %",Baleares
166,Enero 2012,"8,3 €/m2","+ 0,3 %","- 0,6 %","- 9,6 %",Baleares
167,Diciembre 2011,"8,2 €/m2","- 0,5 %","- 3,1 %","- 11,3 %",Baleares
168,Noviembre 2011,"8,3 €/m2","- 0,4 %","- 3,1 %","- 11,2 %",Baleares
169,Octubre 2011,"8,3 €/m2","- 2,3 %","- 4,0 %","- 11,1 %",Baleares
170,Septiembre 2011,"8,5 €/m2","- 0,4 %","- 4,3 %","- 10,4 %",Baleares
171,Agosto 2011,"8,5 €/m2","- 1,4 %","- 5,0 %","- 12,3 %",Baleares
172,Julio 2011,"8,7 €/m2","- 2,5 %","- 4,4 %","- 12,4 %",Baleares
173,Junio 2011,"8,9 €/m2","- 1,1 %","- 1,0 %","- 8,8 %",Baleares
174,Mayo 2011,"9,0 €/m2","- 0,8 %","- 0,2 %","- 7,4 %",Baleares
175,Abril 2011,"9,1 €/m2","+ 0,9 %","- 1,0 %","- 6,9 %",Baleares
176,Marzo 2011,"9,0 €/m2","- 0,3 %","- 3,4 %","- 10,4 %",Baleares
177,Febrero 2011,"9,0 €/m2","- 1,6 %","- 3,5 %","- 11,6 %",Baleares
178,Enero 2011,"9,2 €/m2","- 1,6 %","- 2,2 %","- 10,9 %",Baleares
179,Diciembre 2010,"9,3 €/m2","- 0,4 %","- 2,1 %","- 9,1 %",Baleares
180,Noviembre 2010,"9,3 €/m2","- 0,3 %","- 4,2 %","- 9,5 %",Baleares
181,Octubre 2010,"9,4 €/m2","- 1,5 %","- 5,4 %","- 12,1 %",Baleares
182,Septiembre 2010,"9,5 €/m2","- 2,5 %","- 2,5 %","- 11,2 %",Baleares
183,Agosto 2010,"9,7 €/m2","- 1,5 %","+ 0,4 %","- 9,0 %",Baleares
184,Julio 2010,"9,9 €/m2","+ 1,5 %","+ 1,5 %","- 8,5 %",Baleares
185,Junio 2010,"9,7 €/m2","+ 0,4 %","- 2,8 %","- 10,4 %",Baleares
186,Mayo 2010,"9,7 €/m2","- 0,4 %","- 4,7 %","- 12,0 %",Baleares
187,Abril 2010,"9,7 €/m2","- 2,9 %","- 5,2 %","- 8,4 %",Baleares
188,Marzo 2010,"10,0 €/m2","- 1,5 %","- 1,9 %","- 6,8 %",Baleares
189,Febrero 2010,"10,2 €/m2","- 0,9 %","- 1,3 %","- 2,4 %",Baleares
190,Enero 2010,"10,3 €/m2","+ 0,5 %","- 3,5 %","- 4,7 %",Baleares
191,Diciembre 2009,"10,2 €/m2","- 0,9 %","- 4,4 %","- 8,0 %",Baleares
192,Noviembre 2009,"10,3 €/m2","- 3,1 %","- 3,6 %","- 8,6 %",Baleares
