,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
61,Octubre 2020,2.727 €/m2,"+ 0,5 %","+ 0,3 %","+ 0,6 %",Madrid
62,Septiembre 2020,2.714 €/m2,"- 0,2 %","+ 0,7 %","+ 0,5 %",Madrid
63,Agosto 2020,2.720 €/m2,"0,0 %","+ 0,2 %","- 0,5 %",Madrid
64,Julio 2020,2.719 €/m2,"+ 0,9 %","- 0,1 %","- 0,8 %",Madrid
65,Junio 2020,2.695 €/m2,"- 0,8 %","- 1,0 %","- 1,4 %",Madrid
66,Mayo 2020,2.715 €/m2,"- 0,2 %","0,0 %","- 0,7 %",Madrid
67,Abril 2020,2.721 €/m2,"0,0 %","+ 0,4 %","- 0,4 %",Madrid
68,Marzo 2020,2.723 €/m2,"+ 0,3 %","0,0 %","0,0 %",Madrid
69,Febrero 2020,2.715 €/m2,"+ 0,2 %","- 0,4 %","+ 0,4 %",Madrid
70,Enero 2020,2.710 €/m2,"- 0,5 %","0,0 %","+ 1,2 %",Madrid
71,Diciembre 2019,2.723 €/m2,"- 0,1 %","+ 0,8 %","+ 2,5 %",Madrid
72,Noviembre 2019,2.726 €/m2,"+ 0,6 %","- 0,3 %","+ 3,5 %",Madrid
73,Octubre 2019,2.711 €/m2,"+ 0,4 %","- 1,1 %","+ 5,2 %",Madrid
74,Septiembre 2019,2.701 €/m2,"- 1,2 %","- 1,2 %","+ 6,1 %",Madrid
75,Agosto 2019,2.734 €/m2,"- 0,3 %","- 0,1 %","+ 7,5 %",Madrid
76,Julio 2019,2.742 €/m2,"+ 0,3 %","+ 0,3 %","+ 9,2 %",Madrid
77,Junio 2019,2.734 €/m2,"- 0,1 %","+ 0,4 %","+ 10,8 %",Madrid
78,Mayo 2019,2.736 €/m2,"+ 0,1 %","+ 1,2 %","+ 12,6 %",Madrid
79,Abril 2019,2.733 €/m2,"+ 0,4 %","+ 2,1 %","+ 14,2 %",Madrid
80,Marzo 2019,2.723 €/m2,"+ 0,7 %","+ 2,4 %","+ 15,6 %",Madrid
81,Febrero 2019,2.705 €/m2,"+ 1,0 %","+ 2,7 %","+ 17,0 %",Madrid
82,Enero 2019,2.677 €/m2,"+ 0,7 %","+ 3,9 %","+ 18,1 %",Madrid
83,Diciembre 2018,2.658 €/m2,"+ 0,9 %","+ 4,4 %","+ 18,4 %",Madrid
84,Noviembre 2018,2.633 €/m2,"+ 2,2 %","+ 3,6 %","+ 18,4 %",Madrid
85,Octubre 2018,2.577 €/m2,"+ 1,2 %","+ 2,6 %","+ 17,2 %",Madrid
86,Septiembre 2018,2.546 €/m2,"+ 0,1 %","+ 3,2 %","+ 16,8 %",Madrid
87,Agosto 2018,2.542 €/m2,"+ 1,2 %","+ 4,7 %","+ 16,8 %",Madrid
