,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
62,Septiembre 2020,1.351 €/m2,"+ 0,5 %","+ 2,1 %","+ 0,3 %",Asturias
63,Agosto 2020,1.345 €/m2,"+ 0,5 %","+ 1,0 %","- 0,3 %",Asturias
64,Julio 2020,1.338 €/m2,"+ 1,1 %","- 0,1 %","- 0,7 %",Asturias
65,Junio 2020,1.324 €/m2,"- 0,6 %","- 1,5 %","- 1,9 %",Asturias
66,Mayo 2020,1.332 €/m2,"- 0,6 %","- 0,2 %","- 0,8 %",Asturias
67,Abril 2020,1.339 €/m2,"- 0,3 %","+ 0,3 %","- 0,7 %",Asturias
68,Marzo 2020,1.344 €/m2,"+ 0,7 %","+ 0,4 %","- 1,0 %",Asturias
69,Febrero 2020,1.334 €/m2,"- 0,1 %","- 0,7 %","- 1,6 %",Asturias
70,Enero 2020,1.336 €/m2,"- 0,1 %","- 0,9 %","- 1,0 %",Asturias
71,Diciembre 2019,1.337 €/m2,"- 0,4 %","- 0,7 %","- 0,8 %",Asturias
72,Noviembre 2019,1.343 €/m2,"- 0,3 %","- 0,5 %","- 0,7 %",Asturias
73,Octubre 2019,1.348 €/m2,"0,0 %","+ 0,1 %","- 0,8 %",Asturias
74,Septiembre 2019,1.348 €/m2,"- 0,2 %","- 0,1 %","- 1,2 %",Asturias
75,Agosto 2019,1.350 €/m2,"+ 0,2 %","+ 0,5 %","- 0,6 %",Asturias
76,Julio 2019,1.347 €/m2,"- 0,2 %","- 0,1 %","- 0,9 %",Asturias
77,Junio 2019,1.350 €/m2,"+ 0,5 %","- 0,6 %","- 0,1 %",Asturias
78,Mayo 2019,1.343 €/m2,"- 0,4 %","- 0,9 %","- 0,5 %",Asturias
79,Abril 2019,1.349 €/m2,"- 0,6 %","0,0 %","- 0,6 %",Asturias
80,Marzo 2019,1.357 €/m2,"+ 0,1 %","+ 0,7 %","- 0,5 %",Asturias
81,Febrero 2019,1.355 €/m2,"+ 0,5 %","+ 0,2 %","- 0,5 %",Asturias
82,Enero 2019,1.349 €/m2,"+ 0,1 %","- 0,7 %","- 1,1 %",Asturias
83,Diciembre 2018,1.348 €/m2,"- 0,3 %","- 1,2 %","- 0,9 %",Asturias
84,Noviembre 2018,1.353 €/m2,"- 0,4 %","- 0,4 %","- 0,1 %",Asturias
85,Octubre 2018,1.358 €/m2,"- 0,4 %","0,0 %","+ 0,1 %",Asturias
