,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Comunidad Autonoma
60,Noviembre 2020,2.228 €/m2,"+ 1,2 %","+ 1,9 %","+ 1,2 %",Cataluña
61,Octubre 2020,2.201 €/m2,"+ 0,7 %","+ 1,6 %","+ 0,8 %",Cataluña
62,Septiembre 2020,2.187 €/m2,"0,0 %","+ 2,4 %","- 0,1 %",Cataluña
63,Agosto 2020,2.186 €/m2,"+ 1,0 %","- 0,2 %","- 0,8 %",Cataluña
64,Julio 2020,2.166 €/m2,"+ 1,4 %","- 2,2 %","- 1,4 %",Cataluña
65,Junio 2020,2.135 €/m2,"- 2,5 %","- 3,7 %","- 2,3 %",Cataluña
66,Mayo 2020,2.190 €/m2,"- 1,0 %","- 0,7 %","+ 1,5 %",Cataluña
67,Abril 2020,2.213 €/m2,"- 0,2 %","- 0,2 %","+ 2,8 %",Cataluña
68,Marzo 2020,2.218 €/m2,"+ 0,5 %","+ 0,3 %","+ 3,1 %",Cataluña
69,Febrero 2020,2.207 €/m2,"- 0,5 %","+ 0,2 %","+ 2,6 %",Cataluña
70,Enero 2020,2.217 €/m2,"+ 0,2 %","+ 1,5 %","+ 3,9 %",Cataluña
71,Diciembre 2019,2.212 €/m2,"+ 0,4 %","+ 1,1 %","+ 4,2 %",Cataluña
72,Noviembre 2019,2.202 €/m2,"+ 0,8 %","- 0,1 %","+ 3,9 %",Cataluña
73,Octubre 2019,2.185 €/m2,"- 0,2 %","- 0,5 %","+ 4,7 %",Cataluña
74,Septiembre 2019,2.189 €/m2,"- 0,7 %","+ 0,1 %","+ 5,5 %",Cataluña
75,Agosto 2019,2.204 €/m2,"+ 0,3 %","+ 2,1 %","+ 5,7 %",Cataluña
76,Julio 2019,2.196 €/m2,"+ 0,5 %","+ 2,0 %","+ 6,2 %",Cataluña
77,Junio 2019,2.186 €/m2,"+ 1,3 %","+ 1,6 %","+ 5,7 %",Cataluña
78,Mayo 2019,2.158 €/m2,"+ 0,2 %","+ 0,4 %","+ 5,7 %",Cataluña
79,Abril 2019,2.153 €/m2,"0,0 %","+ 0,9 %","+ 6,2 %",Cataluña
80,Marzo 2019,2.152 €/m2,"+ 0,1 %","+ 1,4 %","+ 6,6 %",Cataluña
81,Febrero 2019,2.150 €/m2,"+ 0,8 %","+ 1,5 %","+ 7,5 %",Cataluña
82,Enero 2019,2.134 €/m2,"+ 0,5 %","+ 2,3 %","+ 9,1 %",Cataluña
83,Diciembre 2018,2.123 €/m2,"+ 0,2 %","+ 2,4 %","+ 9,6 %",Cataluña
84,Noviembre 2018,2.119 €/m2,"+ 1,6 %","+ 1,6 %","+ 10,8 %",Cataluña
85,Octubre 2018,2.086 €/m2,"+ 0,6 %","+ 0,9 %","+ 9,9 %",Cataluña
86,Septiembre 2018,2.074 €/m2,"- 0,6 %","+ 0,3 %","+ 8,9 %",Cataluña
87,Agosto 2018,2.086 €/m2,"+ 0,9 %","+ 2,2 %","+ 9,5 %",Cataluña
88,Julio 2018,2.068 €/m2,"0,0 %","+ 2,0 %","+ 8,5 %",Cataluña
89,Junio 2018,2.068 €/m2,"+ 1,3 %","+ 2,4 %","+ 11,1 %",Cataluña
90,Mayo 2018,2.042 €/m2,"+ 0,7 %","+ 2,1 %","+ 10,5 %",Cataluña
91,Abril 2018,2.028 €/m2,"+ 0,4 %","+ 3,7 %","+ 9,3 %",Cataluña
92,Marzo 2018,2.019 €/m2,"+ 0,9 %","+ 4,3 %","+ 9,6 %",Cataluña
93,Febrero 2018,2.000 €/m2,"+ 2,3 %","+ 4,6 %","+ 9,8 %",Cataluña
94,Enero 2018,1.956 €/m2,"+ 1,0 %","+ 3,0 %","+ 7,2 %",Cataluña
95,Diciembre 2017,1.936 €/m2,"+ 1,2 %","+ 1,7 %","+ 6,5 %",Cataluña
96,Noviembre 2017,1.912 €/m2,"+ 0,7 %","+ 0,4 %","+ 6,4 %",Cataluña
97,Octubre 2017,1.898 €/m2,"- 0,3 %","- 0,4 %","+ 7,3 %",Cataluña
98,Septiembre 2017,1.904 €/m2,"0,0 %","+ 2,3 %","+ 8,6 %",Cataluña
99,Agosto 2017,1.904 €/m2,"- 0,1 %","+ 3,0 %","+ 6,5 %",Cataluña
100,Julio 2017,1.906 €/m2,"+ 2,4 %","+ 2,7 %","+ 6,0 %",Cataluña
101,Junio 2017,1.861 €/m2,"+ 0,7 %","+ 1,1 %","+ 3,4 %",Cataluña
102,Mayo 2017,1.848 €/m2,"- 0,4 %","+ 1,4 %","+ 2,6 %",Cataluña
103,Abril 2017,1.855 €/m2,"+ 0,7 %","+ 1,7 %","+ 2,6 %",Cataluña
104,Marzo 2017,1.841 €/m2,"+ 1,1 %","+ 1,3 %","+ 2,4 %",Cataluña
105,Febrero 2017,1.822 €/m2,"- 0,1 %","+ 1,4 %","+ 1,3 %",Cataluña
106,Enero 2017,1.824 €/m2,"+ 0,3 %","+ 3,1 %","+ 1,2 %",Cataluña
107,Diciembre 2016,1.819 €/m2,"+ 1,2 %","+ 3,7 %","+ 0,7 %",Cataluña
108,Noviembre 2016,1.796 €/m2,"+ 1,5 %","+ 0,4 %","+ 0,4 %",Cataluña
109,Octubre 2016,1.769 €/m2,"+ 0,8 %","- 1,6 %","- 1,3 %",Cataluña
110,Septiembre 2016,1.754 €/m2,"- 1,9 %","- 2,5 %","- 2,8 %",Cataluña
111,Agosto 2016,1.789 €/m2,"- 0,5 %","- 0,7 %","- 1,5 %",Cataluña
112,Julio 2016,1.797 €/m2,"- 0,1 %","- 0,6 %","- 1,7 %",Cataluña
113,Junio 2016,1.799 €/m2,"- 0,1 %","+ 0,1 %","- 1,8 %",Cataluña
114,Mayo 2016,1.801 €/m2,"- 0,4 %","+ 0,1 %","- 2,7 %",Cataluña
115,Abril 2016,1.808 €/m2,"+ 0,6 %","+ 0,3 %","- 1,8 %",Cataluña
116,Marzo 2016,1.798 €/m2,"- 0,1 %","- 0,5 %","- 2,0 %",Cataluña
117,Febrero 2016,1.799 €/m2,"- 0,2 %","+ 0,5 %","- 1,7 %",Cataluña
118,Enero 2016,1.803 €/m2,"- 0,2 %","+ 0,6 %","- 1,7 %",Cataluña
119,Diciembre 2015,1.806 €/m2,"+ 0,9 %","+ 0,1 %","- 1,0 %",Cataluña
120,Noviembre 2015,1.790 €/m2,"- 0,1 %","- 1,4 %","- 1,7 %",Cataluña
121,Octubre 2015,1.792 €/m2,"- 0,7 %","- 2,0 %","- 0,5 %",Cataluña
122,Septiembre 2015,1.805 €/m2,"- 0,6 %","- 1,5 %","+ 0,4 %",Cataluña
123,Agosto 2015,1.816 €/m2,"- 0,7 %","- 1,9 %","+ 0,5 %",Cataluña
124,Julio 2015,1.829 €/m2,"- 0,2 %","- 0,7 %","+ 0,7 %",Cataluña
125,Junio 2015,1.833 €/m2,"- 1,0 %","- 0,1 %","+ 1,4 %",Cataluña
126,Mayo 2015,1.852 €/m2,"+ 0,6 %","+ 1,2 %","+ 2,2 %",Cataluña
127,Abril 2015,1.841 €/m2,"+ 0,4 %","+ 0,4 %","+ 1,9 %",Cataluña
128,Marzo 2015,1.834 €/m2,"+ 0,2 %","+ 0,5 %","+ 0,2 %",Cataluña
129,Febrero 2015,1.831 €/m2,"- 0,2 %","+ 0,6 %","- 1,4 %",Cataluña
130,Enero 2015,1.834 €/m2,"+ 0,5 %","+ 1,8 %","- 1,1 %",Cataluña
131,Diciembre 2014,1.825 €/m2,"+ 0,3 %","+ 1,5 %","- 2,0 %",Cataluña
132,Noviembre 2014,1.820 €/m2,"+ 1,0 %","+ 0,8 %","- 3,3 %",Cataluña
133,Octubre 2014,1.801 €/m2,"+ 0,2 %","- 0,8 %","- 4,5 %",Cataluña
134,Septiembre 2014,1.797 €/m2,"- 0,5 %","- 0,5 %","- 5,7 %",Cataluña
135,Agosto 2014,1.806 €/m2,"- 0,5 %","- 0,3 %","- 5,7 %",Cataluña
136,Julio 2014,1.815 €/m2,"+ 0,5 %","+ 0,5 %","- 5,0 %",Cataluña
137,Junio 2014,1.807 €/m2,"- 0,3 %","- 1,3 %","- 5,0 %",Cataluña
