Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta mediana por unidad de consumo;07 Castilla y León;2019;15.349
Renta mediana por unidad de consumo;07 Castilla y León;2018;15.283
Renta mediana por unidad de consumo;07 Castilla y León;2017;15.008
Renta mediana por unidad de consumo;07 Castilla y León;2016;13.987
Renta mediana por unidad de consumo;07 Castilla y León;2015;13.635
Renta mediana por unidad de consumo;07 Castilla y León;2014;13.791
Renta mediana por unidad de consumo;07 Castilla y León;2013;14.162
Renta mediana por unidad de consumo;07 Castilla y León;2012;14.354
Renta mediana por unidad de consumo;07 Castilla y León;2011;14.477
Renta mediana por unidad de consumo;07 Castilla y León;2010;14.736
Renta mediana por unidad de consumo;07 Castilla y León;2009;14.658
Renta mediana por unidad de consumo;07 Castilla y León;2008;13.950
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2024;16.660
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2023;15.818
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2022;14.860
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2021;14.054
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2020;14.446
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2019;13.384
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2018;12.646
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2017;11.596
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2016;11.456
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2015;11.161
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2014;11.035
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2013;11.023
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2012;11.372
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2011;11.237
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2010;12.329
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2009;12.968
Renta mediana por unidad de consumo;08 Castilla - La Mancha;2008;11.857
Renta mediana por unidad de consumo;09 Cataluña;2024;22.185
Renta mediana por unidad de consumo;09 Cataluña;2023;20.940
Renta mediana por unidad de consumo;09 Cataluña;2022;19.734
Renta mediana por unidad de consumo;09 Cataluña;2021;18.828
Renta mediana por unidad de consumo;09 Cataluña;2020;18.943
Renta mediana por unidad de consumo;09 Cataluña;2019;17.790
Renta mediana por unidad de consumo;09 Cataluña;2018;18.302
Renta mediana por unidad de consumo;09 Cataluña;2017;16.828
Renta mediana por unidad de consumo;09 Cataluña;2016;16.757
Renta mediana por unidad de consumo;09 Cataluña;2015;16.112
Renta mediana por unidad de consumo;09 Cataluña;2014;16.279
Renta mediana por unidad de consumo;09 Cataluña;2013;15.704
Renta mediana por unidad de consumo;09 Cataluña;2012;15.870
Renta mediana por unidad de consumo;09 Cataluña;2011;15.792
Renta mediana por unidad de consumo;09 Cataluña;2010;16.481
Renta mediana por unidad de consumo;09 Cataluña;2009;16.818
Renta mediana por unidad de consumo;09 Cataluña;2008;16.188
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2024;17.559
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2023;16.767
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2022;15.525
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2021;15.273
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2020;15.180
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2019;13.994
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2018;13.748
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2017;13.094
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2016;11.861
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2015;11.769
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2014;11.717
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2013;12.130
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2012;13.010
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2011;13.280
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2010;13.645
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2009;14.004
Renta mediana por unidad de consumo;10 Comunitat Valenciana;2008;12.867
Renta mediana por unidad de consumo;11 Extremadura;2024;16.246
Renta mediana por unidad de consumo;11 Extremadura;2023;14.981
Renta mediana por unidad de consumo;11 Extremadura;2022;12.754
Renta mediana por unidad de consumo;11 Extremadura;2021;12.096
Renta mediana por unidad de consumo;11 Extremadura;2020;12.006
Renta mediana por unidad de consumo;11 Extremadura;2019;10.882
Renta mediana por unidad de consumo;11 Extremadura;2018;10.265
Renta mediana por unidad de consumo;11 Extremadura;2017;9.644
Renta mediana por unidad de consumo;11 Extremadura;2016;10.673
Renta mediana por unidad de consumo;11 Extremadura;2015;10.359
Renta mediana por unidad de consumo;11 Extremadura;2014;9.905
Renta mediana por unidad de consumo;11 Extremadura;2013;10.213
Renta mediana por unidad de consumo;11 Extremadura;2012;10.490
Renta mediana por unidad de consumo;11 Extremadura;2011;10.852
Renta mediana por unidad de consumo;11 Extremadura;2010;10.943
Renta mediana por unidad de consumo;11 Extremadura;2009;12.024
Renta mediana por unidad de consumo;11 Extremadura;2008;10.470
Renta mediana por unidad de consumo;12 Galicia;2024;19.678
Renta mediana por unidad de consumo;12 Galicia;2023;17.719
Renta mediana por unidad de consumo;12 Galicia;2022;16.675
Renta mediana por unidad de consumo;12 Galicia;2021;15.409
Renta mediana por unidad de consumo;12 Galicia;2020;15.411
Renta mediana por unidad de consumo;12 Galicia;2019;14.967
Renta mediana por unidad de consumo;12 Galicia;2018;15.053
Renta mediana por unidad de consumo;12 Galicia;2017;14.756
Renta mediana por unidad de consumo;12 Galicia;2016;13.250
Renta mediana por unidad de consumo;12 Galicia;2015;13.459
Renta mediana por unidad de consumo;12 Galicia;2014;13.330
Renta mediana por unidad de consumo;12 Galicia;2013;13.105
Renta mediana por unidad de consumo;12 Galicia;2012;13.515
Renta mediana por unidad de consumo;12 Galicia;2011;13.791
Renta mediana por unidad de consumo;12 Galicia;2010;13.935
Renta mediana por unidad de consumo;12 Galicia;2009;13.607
Renta mediana por unidad de consumo;12 Galicia;2008;12.505
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2024;22.565
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2023;21.226
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2022;20.284
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2021;19.206
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2020;18.154
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2019;17.681
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2018;16.892
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2017;17.294
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2016;16.464
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2015;16.030
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2014;16.498
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2013;16.856
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2012;17.132
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2011;17.114
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2010;18.064
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2009;18.349
Renta mediana por unidad de consumo;13 Madrid, Comunidad de;2008;16.612
Renta mediana por unidad de consumo;14 Murcia, Región de;2024;16.672
Renta mediana por unidad de consumo;14 Murcia, Región de;2023;15.369
Renta mediana por unidad de consumo;14 Murcia, Región de;2022;15.000
Renta mediana por unidad de consumo;14 Murcia, Región de;2021;13.994
Renta mediana por unidad de consumo;14 Murcia, Región de;2020;13.046
Renta mediana por unidad de consumo;14 Murcia, Región de;2019;12.281
Renta mediana por unidad de consumo;14 Murcia, Región de;2018;12.630
Renta mediana por unidad de consumo;14 Murcia, Región de;2017;11.999
Renta mediana por unidad de consumo;14 Murcia, Región de;2016;11.270
Renta mediana por unidad de consumo;14 Murcia, Región de;2015;10.332
Renta mediana por unidad de consumo;14 Murcia, Región de;2014;10.096
Renta mediana por unidad de consumo;14 Murcia, Región de;2013;11.148
Renta mediana por unidad de consumo;14 Murcia, Región de;2012;11.643
Renta mediana por unidad de consumo;14 Murcia, Región de;2011;11.283
Renta mediana por unidad de consumo;14 Murcia, Región de;2010;12.243
Renta mediana por unidad de consumo;14 Murcia, Región de;2009;12.489
Renta mediana por unidad de consumo;14 Murcia, Región de;2008;12.738
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2024;22.604
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2023;22.471
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2022;21.212
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2021;20.955
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2020;21.174
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2019;19.837
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2018;19.261
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2017;19.040
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2016;18.348
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2015;18.710
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2014;18.121
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2013;18.057
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2012;18.641
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2011;18.541
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2010;19.925
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2009;18.922
Renta mediana por unidad de consumo;15 Navarra, Comunidad Foral de;2008;17.977
Renta mediana por unidad de consumo;16 País Vasco;2024;25.051
Renta mediana por unidad de consumo;16 País Vasco;2023;23.264
Renta mediana por unidad de consumo;16 País Vasco;2022;21.638
Renta mediana por unidad de consumo;16 País Vasco;2021;21.114
Renta mediana por unidad de consumo;16 País Vasco;2020;21.701
Renta mediana por unidad de consumo;16 País Vasco;2019;21.020
Renta mediana por unidad de consumo;16 País Vasco;2018;19.586
Renta mediana por unidad de consumo;16 País Vasco;2017;19.229
Renta mediana por unidad de consumo;16 País Vasco;2016;19.275
Renta mediana por unidad de consumo;16 País Vasco;2015;18.614
Renta mediana por unidad de consumo;16 País Vasco;2014;19.469
Renta mediana por unidad de consumo;16 País Vasco;2013;19.252
Renta mediana por unidad de consumo;16 País Vasco;2012;18.683
Renta mediana por unidad de consumo;16 País Vasco;2011;18.665
Renta mediana por unidad de consumo;16 País Vasco;2010;19.730
Renta mediana por unidad de consumo;16 País Vasco;2009;19.940
Renta mediana por unidad de consumo;16 País Vasco;2008;18.852
Renta mediana por unidad de consumo;17 Rioja, La;2024;19.066
Renta mediana por unidad de consumo;17 Rioja, La;2023;18.839
Renta mediana por unidad de consumo;17 Rioja, La;2022;18.414
Renta mediana por unidad de consumo;17 Rioja, La;2021;17.420
Renta mediana por unidad de consumo;17 Rioja, La;2020;17.589
Renta mediana por unidad de consumo;17 Rioja, La;2019;16.577
Renta mediana por unidad de consumo;17 Rioja, La;2018;15.410
Renta mediana por unidad de consumo;17 Rioja, La;2017;15.792
Renta mediana por unidad de consumo;17 Rioja, La;2016;15.346
Renta mediana por unidad de consumo;17 Rioja, La;2015;14.507
Renta mediana por unidad de consumo;17 Rioja, La;2014;14.698
Renta mediana por unidad de consumo;17 Rioja, La;2013;14.344
Renta mediana por unidad de consumo;17 Rioja, La;2012;14.572
Renta mediana por unidad de consumo;17 Rioja, La;2011;14.505
Renta mediana por unidad de consumo;17 Rioja, La;2010;14.793
Renta mediana por unidad de consumo;17 Rioja, La;2009;14.132
Renta mediana por unidad de consumo;17 Rioja, La;2008;14.161
Renta mediana por unidad de consumo;18 Ceuta;2024;15.445
Renta mediana por unidad de consumo;18 Ceuta;2023;16.170
Renta mediana por unidad de consumo;18 Ceuta;2022;14.750
Renta mediana por unidad de consumo;18 Ceuta;2021;12.332
Renta mediana por unidad de consumo;18 Ceuta;2020;12.455
Renta mediana por unidad de consumo;18 Ceuta;2019;12.058
Renta mediana por unidad de consumo;18 Ceuta;2018;10.339
Renta mediana por unidad de consumo;18 Ceuta;2017;12.281
Renta mediana por unidad de consumo;18 Ceuta;2016;12.358
Renta mediana por unidad de consumo;18 Ceuta;2015;11.168
Renta mediana por unidad de consumo;18 Ceuta;2014;9.492
Renta mediana por unidad de consumo;18 Ceuta;2013;10.721
Renta mediana por unidad de consumo;18 Ceuta;2012;12.779
Renta mediana por unidad de consumo;18 Ceuta;2011;12.911
Renta mediana por unidad de consumo;18 Ceuta;2010;13.251
Renta mediana por unidad de consumo;18 Ceuta;2009;11.574
Renta mediana por unidad de consumo;18 Ceuta;2008;11.041
Renta mediana por unidad de consumo;19 Melilla;2024;12.862
Renta mediana por unidad de consumo;19 Melilla;2023;16.638
Renta mediana por unidad de consumo;19 Melilla;2022;16.253
Renta mediana por unidad de consumo;19 Melilla;2021;15.604
Renta mediana por unidad de consumo;19 Melilla;2020;14.922
Renta mediana por unidad de consumo;19 Melilla;2019;17.063
Renta mediana por unidad de consumo;19 Melilla;2018;16.840
Renta mediana por unidad de consumo;19 Melilla;2017;14.843
Renta mediana por unidad de consumo;19 Melilla;2016;16.999
Renta mediana por unidad de consumo;19 Melilla;2015;12.929
Renta mediana por unidad de consumo;19 Melilla;2014;13.422
Renta mediana por unidad de consumo;19 Melilla;2013;13.288
Renta mediana por unidad de consumo;19 Melilla;2012;14.847
Renta mediana por unidad de consumo;19 Melilla;2011;14.320
Renta mediana por unidad de consumo;19 Melilla;2010;17.198
Renta mediana por unidad de consumo;19 Melilla;2009;18.634
Renta mediana por unidad de consumo;19 Melilla;2008;17.877
