Renta media y mediana;Comunidad autónoma;Periodo;Total
Renta media por unidad de consumo;06 Cantabria;2015;15.159
Renta media por unidad de consumo;06 Cantabria;2014;14.137
Renta media por unidad de consumo;06 Cantabria;2013;14.426
Renta media por unidad de consumo;06 Cantabria;2012;15.211
Renta media por unidad de consumo;06 Cantabria;2011;15.447
Renta media por unidad de consumo;06 Cantabria;2010;16.456
Renta media por unidad de consumo;06 Cantabria;2009;18.108
Renta media por unidad de consumo;06 Cantabria;2008;16.727
Renta media por unidad de consumo;07 Castilla y León;2024;21.166
Renta media por unidad de consumo;07 Castilla y León;2023;20.109
Renta media por unidad de consumo;07 Castilla y León;2022;19.117
Renta media por unidad de consumo;07 Castilla y León;2021;18.181
Renta media por unidad de consumo;07 Castilla y León;2020;18.284
Renta media por unidad de consumo;07 Castilla y León;2019;17.233
Renta media por unidad de consumo;07 Castilla y León;2018;17.264
Renta media por unidad de consumo;07 Castilla y León;2017;16.300
Renta media por unidad de consumo;07 Castilla y León;2016;15.645
Renta media por unidad de consumo;07 Castilla y León;2015;15.284
Renta media por unidad de consumo;07 Castilla y León;2014;15.080
Renta media por unidad de consumo;07 Castilla y León;2013;15.743
Renta media por unidad de consumo;07 Castilla y León;2012;15.909
Renta media por unidad de consumo;07 Castilla y León;2011;15.918
Renta media por unidad de consumo;07 Castilla y León;2010;16.100
Renta media por unidad de consumo;07 Castilla y León;2009;16.415
Renta media por unidad de consumo;07 Castilla y León;2008;15.533
Renta media por unidad de consumo;08 Castilla - La Mancha;2024;18.219
Renta media por unidad de consumo;08 Castilla - La Mancha;2023;17.634
Renta media por unidad de consumo;08 Castilla - La Mancha;2022;16.404
Renta media por unidad de consumo;08 Castilla - La Mancha;2021;15.350
Renta media por unidad de consumo;08 Castilla - La Mancha;2020;15.802
Renta media por unidad de consumo;08 Castilla - La Mancha;2019;14.505
Renta media por unidad de consumo;08 Castilla - La Mancha;2018;14.305
Renta media por unidad de consumo;08 Castilla - La Mancha;2017;13.604
Renta media por unidad de consumo;08 Castilla - La Mancha;2016;13.106
Renta media por unidad de consumo;08 Castilla - La Mancha;2015;12.725
Renta media por unidad de consumo;08 Castilla - La Mancha;2014;12.824
Renta media por unidad de consumo;08 Castilla - La Mancha;2013;12.673
Renta media por unidad de consumo;08 Castilla - La Mancha;2012;13.307
Renta media por unidad de consumo;08 Castilla - La Mancha;2011;13.720
Renta media por unidad de consumo;08 Castilla - La Mancha;2010;15.130
Renta media por unidad de consumo;08 Castilla - La Mancha;2009;14.712
Renta media por unidad de consumo;08 Castilla - La Mancha;2008;13.898
Renta media por unidad de consumo;09 Cataluña;2024;24.412
Renta media por unidad de consumo;09 Cataluña;2023;23.269
Renta media por unidad de consumo;09 Cataluña;2022;21.637
Renta media por unidad de consumo;09 Cataluña;2021;20.927
Renta media por unidad de consumo;09 Cataluña;2020;20.872
Renta media por unidad de consumo;09 Cataluña;2019;20.049
Renta media por unidad de consumo;09 Cataluña;2018;19.791
Renta media por unidad de consumo;09 Cataluña;2017;18.957
Renta media por unidad de consumo;09 Cataluña;2016;18.828
Renta media por unidad de consumo;09 Cataluña;2015;18.236
Renta media por unidad de consumo;09 Cataluña;2014;18.104
Renta media por unidad de consumo;09 Cataluña;2013;17.883
Renta media por unidad de consumo;09 Cataluña;2012;18.136
Renta media por unidad de consumo;09 Cataluña;2011;18.170
Renta media por unidad de consumo;09 Cataluña;2010;19.239
Renta media por unidad de consumo;09 Cataluña;2009;18.978
Renta media por unidad de consumo;09 Cataluña;2008;18.566
Renta media por unidad de consumo;10 Comunitat Valenciana;2024;19.574
Renta media por unidad de consumo;10 Comunitat Valenciana;2023;18.752
Renta media por unidad de consumo;10 Comunitat Valenciana;2022;17.444
Renta media por unidad de consumo;10 Comunitat Valenciana;2021;16.474
Renta media por unidad de consumo;10 Comunitat Valenciana;2020;16.518
Renta media por unidad de consumo;10 Comunitat Valenciana;2019;15.582
Renta media por unidad de consumo;10 Comunitat Valenciana;2018;15.038
Renta media por unidad de consumo;10 Comunitat Valenciana;2017;14.365
Renta media por unidad de consumo;10 Comunitat Valenciana;2016;13.589
Renta media por unidad de consumo;10 Comunitat Valenciana;2015;13.305
Renta media por unidad de consumo;10 Comunitat Valenciana;2014;13.446
Renta media por unidad de consumo;10 Comunitat Valenciana;2013;13.881
Renta media por unidad de consumo;10 Comunitat Valenciana;2012;14.864
Renta media por unidad de consumo;10 Comunitat Valenciana;2011;15.344
Renta media por unidad de consumo;10 Comunitat Valenciana;2010;15.780
Renta media por unidad de consumo;10 Comunitat Valenciana;2009;15.703
Renta media por unidad de consumo;10 Comunitat Valenciana;2008;14.796
Renta media por unidad de consumo;11 Extremadura;2024;18.050
Renta media por unidad de consumo;11 Extremadura;2023;16.493
Renta media por unidad de consumo;11 Extremadura;2022;14.843
Renta media por unidad de consumo;11 Extremadura;2021;13.908
Renta media por unidad de consumo;11 Extremadura;2020;13.297
Renta media por unidad de consumo;11 Extremadura;2019;12.816
Renta media por unidad de consumo;11 Extremadura;2018;12.376
Renta media por unidad de consumo;11 Extremadura;2017;12.006
Renta media por unidad de consumo;11 Extremadura;2016;12.775
Renta media por unidad de consumo;11 Extremadura;2015;12.421
Renta media por unidad de consumo;11 Extremadura;2014;11.345
Renta media por unidad de consumo;11 Extremadura;2013;12.139
Renta media por unidad de consumo;11 Extremadura;2012;12.281
Renta media por unidad de consumo;11 Extremadura;2011;13.151
Renta media por unidad de consumo;11 Extremadura;2010;13.509
Renta media por unidad de consumo;11 Extremadura;2009;13.833
Renta media por unidad de consumo;11 Extremadura;2008;12.484
Renta media por unidad de consumo;12 Galicia;2024;21.360
Renta media por unidad de consumo;12 Galicia;2023;19.152
Renta media por unidad de consumo;12 Galicia;2022;18.093
Renta media por unidad de consumo;12 Galicia;2021;16.785
Renta media por unidad de consumo;12 Galicia;2020;16.757
Renta media por unidad de consumo;12 Galicia;2019;16.621
Renta media por unidad de consumo;12 Galicia;2018;16.758
Renta media por unidad de consumo;12 Galicia;2017;15.880
Renta media por unidad de consumo;12 Galicia;2016;15.428
Renta media por unidad de consumo;12 Galicia;2015;15.133
Renta media por unidad de consumo;12 Galicia;2014;15.273
Renta media por unidad de consumo;12 Galicia;2013;15.037
Renta media por unidad de consumo;12 Galicia;2012;15.333
