Comunidad autónoma;Periodo;Total
Total Nacional;2024;5,4
Total Nacional;2023;5,5
Total Nacional;2022;5,6
Total Nacional;2021;6,2
Total Nacional;2020;5,8
Total Nacional;2019;5,9
Total Nacional;2018;6
Total Nacional;2017;6,6
Total Nacional;2016;6,6
Total Nacional;2015;6,9
Total Nacional;2014;6,8
Total Nacional;2013;6,3
Total Nacional;2012;6,5
Total Nacional;2011;6,3
Total Nacional;2010;6,2
Total Nacional;2009;5,9
Total Nacional;2008;5,6
01 Andalucía;2024;5,5
01 Andalucía;2023;5,9
01 Andalucía;2022;6
01 Andalucía;2021;6,8
01 Andalucía;2020;5,3
01 Andalucía;2019;6,1
01 Andalucía;2018;6,5
01 Andalucía;2017;6,9
01 Andalucía;2016;7,2
01 Andalucía;2015;7
01 Andalucía;2014;7,1
01 Andalucía;2013;6,6
01 Andalucía;2012;6,2
01 Andalucía;2011;7,3
01 Andalucía;2010;6,2
01 Andalucía;2009;6
01 Andalucía;2008;6
02 Aragón;2024;4,4
02 Aragón;2023;4,3
02 Aragón;2022;4,4
02 Aragón;2021;4,9
02 Aragón;2020;4,7
02 Aragón;2019;4,7
02 Aragón;2018;4,3
02 Aragón;2017;4,6
02 Aragón;2016;5,1
02 Aragón;2015;5,4
02 Aragón;2014;6
02 Aragón;2013;5,6
02 Aragón;2012;5,3
02 Aragón;2011;5,3
02 Aragón;2010;4,2
02 Aragón;2009;4,4
02 Aragón;2008;4,7
03 Asturias, Principado de;2024;4,6
03 Asturias, Principado de;2023;5,4
03 Asturias, Principado de;2022;5,7
03 Asturias, Principado de;2021;6
03 Asturias, Principado de;2020;7,3
03 Asturias, Principado de;2019;7,8
03 Asturias, Principado de;2018;4,8
03 Asturias, Principado de;2017;5,5
03 Asturias, Principado de;2016;5,1
03 Asturias, Principado de;2015;5,2
03 Asturias, Principado de;2014;6,3
03 Asturias, Principado de;2013;5,1
03 Asturias, Principado de;2012;5,2
03 Asturias, Principado de;2011;4,9
03 Asturias, Principado de;2010;4,7
03 Asturias, Principado de;2009;5,1
03 Asturias, Principado de;2008;4,9
04 Balears, Illes;2024;4,6
04 Balears, Illes;2023;5,1
04 Balears, Illes;2022;4,9
04 Balears, Illes;2021;5,1
04 Balears, Illes;2020;4,6
04 Balears, Illes;2019;4,8
04 Balears, Illes;2018;5,5
04 Balears, Illes;2017;8,2
04 Balears, Illes;2016;6,1
04 Balears, Illes;2015;9,1
04 Balears, Illes;2014;8,9
04 Balears, Illes;2013;7,1
04 Balears, Illes;2012;6,9
04 Balears, Illes;2011;9,2
04 Balears, Illes;2010;6,9
04 Balears, Illes;2009;6,3
04 Balears, Illes;2008;5,9
05 Canarias;2024;5,7
05 Canarias;2023;5,3
05 Canarias;2022;6,3
05 Canarias;2021;8,2
05 Canarias;2020;6,9
05 Canarias;2019;5,3
05 Canarias;2018;7
05 Canarias;2017;7
05 Canarias;2016;8,8
05 Canarias;2015;10,1
05 Canarias;2014;7,7
05 Canarias;2013;7
05 Canarias;2012;7,1
05 Canarias;2011;6,8
05 Canarias;2010;6,7
05 Canarias;2009;6,3
05 Canarias;2008;5,6
06 Cantabria;2024;4,7
06 Cantabria;2023;4,6
06 Cantabria;2022;4,9
06 Cantabria;2021;4,8
06 Cantabria;2020;5,3
06 Cantabria;2019;5,2
06 Cantabria;2018;5,3
06 Cantabria;2017;4,9
06 Cantabria;2016;4,8
06 Cantabria;2015;4,3
06 Cantabria;2014;4,8
06 Cantabria;2013;5,2
06 Cantabria;2012;5,3
06 Cantabria;2011;7,2
06 Cantabria;2010;5,3
06 Cantabria;2009;5,7
06 Cantabria;2008;4,8
07 Castilla y León;2024;5,1
07 Castilla y León;2023;5,1
07 Castilla y León;2022;4,9
07 Castilla y León;2021;5,1
07 Castilla y León;2020;4,5
07 Castilla y León;2019;4,5
07 Castilla y León;2018;4,8
07 Castilla y León;2017;4,7
07 Castilla y León;2016;5,1
07 Castilla y León;2015;5,6
07 Castilla y León;2014;6,2
07 Castilla y León;2013;5,2
07 Castilla y León;2012;5
07 Castilla y León;2011;4,9
07 Castilla y León;2010;5,2
07 Castilla y León;2009;5,1
07 Castilla y León;2008;4,5
08 Castilla - La Mancha;2024;4,9
08 Castilla - La Mancha;2023;5
08 Castilla - La Mancha;2022;4,9
08 Castilla - La Mancha;2021;5,7
08 Castilla - La Mancha;2020;4,8
08 Castilla - La Mancha;2019;5,5
08 Castilla - La Mancha;2018;6,6
08 Castilla - La Mancha;2017;6,3
08 Castilla - La Mancha;2016;6,4
08 Castilla - La Mancha;2015;6,7
08 Castilla - La Mancha;2014;6,2
08 Castilla - La Mancha;2013;6,5
08 Castilla - La Mancha;2012;6,8
08 Castilla - La Mancha;2011;5,7
08 Castilla - La Mancha;2010;5,8
08 Castilla - La Mancha;2009;4,9
08 Castilla - La Mancha;2008;5,1
09 Cataluña;2024;4,7
09 Cataluña;2023;5
09 Cataluña;2022;5,2
09 Cataluña;2021;5,5
09 Cataluña;2020;6,2
09 Cataluña;2019;5,6
09 Cataluña;2018;5,2
09 Cataluña;2017;5,7
09 Cataluña;2016;5,6
09 Cataluña;2015;6,1
09 Cataluña;2014;6,5
09 Cataluña;2013;5,7
09 Cataluña;2012;6,2
09 Cataluña;2011;5,6
09 Cataluña;2010;6,1
09 Cataluña;2009;5,8
09 Cataluña;2008;5,2
10 Comunitat Valenciana;2024;5,7
10 Comunitat Valenciana;2023;5,6
