Comunidades y Ciudades Autónomas,año,01 Alimentos y bebidas no alcohólicas,02 Bebidas alcohólicas y tabaco,03 Vestido y calzado,"04 Vivienda, agua, electricidad, gas y otros combustibles","05 Muebles, artículos del hogar y artículos para el mantenimiento corriente del hogar",06 Sanidad,07 Transporte,08 Comunicaciones,09 Ocio y cultura,10 Enseñanza,11 Restaurantes y hoteles,12 Otros bienes y servicios,Índice general
Andalucía,2002,68.429,47.45858333333334,88.6955,57.715,85.50999999999999,89.283,66.592,124.09566666666667,112.3035,57.79841666666667,66.0485,68.84208333333333,71.90233333333333
Andalucía,2003,71.18458333333334,49.013749999999995,92.32383333333333,59.43175,87.02524999999999,91.09783333333333,67.78758333333333,120.93783333333333,112.58058333333334,60.786833333333334,68.99958333333333,70.73325,74.05225
Andalucía,2004,74.0355,51.19475,94.02566666666667,61.17933333333334,87.88891666666666,91.03683333333333,70.47308333333334,119.75325,112.29266666666666,63.571583333333336,72.15533333333333,72.68675,76.26091666666666
Andalucía,2005,76.35341666666666,53.964,94.83875,64.54175,89.35216666666666,91.35700000000001,74.73983333333334,117.94275,111.55833333333334,66.09783333333333,75.52716666666667,74.70216666666667,78.7675
Andalucía,2006,79.44866666666667,54.88641666666666,95.78066666666666,69.07216666666666,91.48883333333333,92.24041666666666,78.07808333333334,116.44291666666668,111.31791666666668,68.89383333333333,79.25733333333334,77.46033333333334,81.54775
Andalucía,2007,82.57541666666667,59.017583333333334,96.54950000000001,71.33966666666667,94.08016666666667,90.002,79.57983333333333,116.7155,110.01833333333333,71.63241666666666,83.04983333333332,79.77191666666667,83.8045
Andalucía,2008,87.36158333333333,61.36116666666667,97.15050000000001,76.08325,96.92791666666666,90.08633333333334,84.01441666666666,116.72241666666667,109.16858333333334,74.55958333333334,86.73916666666666,82.33058333333334,87.16416666666667
Andalucía,2009,86.01400000000001,67.16633333333333,95.33708333333334,77.729,98.09108333333334,88.90108333333335,79.06625,115.97699999999999,108.15666666666665,77.215,88.29883333333333,84.3285,86.76008333333333
Andalucía,2010,85.14683333333333,75.098,94.84091666666666,80.47216666666667,98.56558333333334,87.38974999999999,84.72266666666667,115.12058333333333,106.45758333333333,79.20408333333334,89.22116666666666,86.03724999999999,88.31391666666667
Andalucía,2011,86.80008333333335,83.19283333333333,95.01208333333334,86.50316666666667,99.62275,85.90141666666666,91.73616666666668,114.19525,105.87283333333333,81.19725,90.55975000000001,88.39916666666666,91.15858333333334
Andalucía,2012,88.59249999999999,88.18458333333332,95.20966666666668,90.95591666666667,99.89108333333333,89.14983333333333,95.709,110.29291666666667,105.6945,84.94500000000001,90.95708333333333,90.31683333333332,93.12816666666667
Andalucía,2013,91.04958333333333,93.41108333333334,95.17066666666666,91.83708333333334,100.59458333333333,96.695,95.95975,105.57074999999999,105.41058333333332,91.43133333333333,90.92083333333333,92.14158333333334,94.31366666666668
Andalucía,2014,90.66316666666667,94.71358333333335,95.25758333333333,93.62608333333333,99.88616666666667,96.39616666666666,94.92200000000001,99.13100000000001,102.8845,92.68933333333332,91.0625,92.97983333333333,94.05258333333335
Andalucía,2015,91.46716666666667,95.95683333333334,95.55241666666666,91.84416666666668,99.53733333333334,96.66025,90.72275,97.33425,101.96208333333334,93.54133333333334,91.85958333333333,94.486,93.53766666666667
Andalucía,2016,92.72516666666667,96.27550000000001,96.09375,87.63900000000001,99.68341666666667,97.33550000000001,88.91525,99.83558333333333,100.85633333333334,94.35825,92.83991666666667,95.79558333333334,93.36566666666666
Andalucía,2017,93.94775,97.74716666666666,96.35166666666667,91.62083333333334,98.94016666666666,97.67174999999999,92.68983333333334,101.15058333333333,101.54708333333333,95.60333333333334,94.49183333333333,96.31075,95.18258333333334
Andalucía,2018,95.43275,99.18425,97.14316666666667,93.2765,98.73816666666666,97.69383333333333,95.93575,103.46175,101.62841666666667,96.87166666666667,96.28591666666667,96.92191666666668,96.68124999999999
Andalucía,2019,96.13916666666667,99.528,98.03191666666667,91.37075,99.22699999999999,98.67633333333333,96.59741666666666,104.29866666666668,100.88558333333333,98.18283333333333,98.02666666666666,98.20408333333334,97.157
Andalucía,2020,98.44675,100.05650000000001,99.01041666666667,88.5905,99.28125,99.27216666666668,92.94008333333333,103.07266666666668,100.11141666666667,99.06133333333334,99.094,99.40858333333334,96.95608333333332
Andalucía,2021,100.0,99.99991666666666,100.00008333333334,100.0,99.99991666666666,100.00008333333334,100.00008333333334,100.0,99.99991666666666,99.99975,100.0,99.99983333333334,100.0
Andalucía,2022,112.38291666666667,103.90425,102.66683333333333,115.24658333333333,106.46216666666668,100.79075,112.66758333333333,98.757,102.42916666666667,101.68675,106.80208333333333,103.3695,108.67516666666667
Andalucía,2023,125.91483333333333,112.30333333333333,103.87391666666667,100.25091666666667,111.97066666666666,103.54916666666666,112.96891666666666,101.85300000000001,106.29183333333333,104.61166666666666,114.75325,108.23491666666666,112.93208333333332
Andalucía,2024,130.02016666666665,116.73325,104.224,105.06366666666666,112.21925,105.32291666666667,113.64491666666667,101.93783333333333,108.62158333333333,107.56775,120.40758333333333,110.99208333333333,115.99066666666666
Andalucía,2025,132.61336363636363,120.84172727272727,104.881,112.45472727272727,112.63645454545454,108.017,114.11436363636363,103.64254545454546,108.93727272727273,109.61345454545454,125.79618181818182,114.46536363636363,118.9960909090909
Aragón,2002,67.51008333333333,47.895916666666665,87.76458333333333,58.366166666666665,82.03,80.94500000000001,66.66283333333332,120.98908333333333,107.13025,58.94691666666666,65.40658333333333,65.55883333333334,71.34983333333334
Aragón,2003,70.00883333333333,49.46725,90.94616666666667,60.63591666666667,83.64933333333333,82.66,68.07516666666668,118.46316666666667,107.8645,61.50133333333333,67.93741666666666,67.29983333333332,73.446
Aragón,2004,72.48016666666666,51.64216666666667,91.25466666666667,62.833666666666666,84.75041666666667,84.52433333333333,70.95091666666667,117.957,108.01858333333332,64.43825,70.3625,69.346,75.46466666666667
Aragón,2005,74.84675,54.3205,92.95341666666667,66.23883333333333,86.90258333333333,86.8215,75.39883333333334,116.77058333333333,107.53766666666667,67.34125,73.40816666666667,71.54058333333333,78.08416666666666
Aragón,2006,78.272,55.251916666666666,93.82483333333334,71.3335,89.23475,88.48558333333334,78.64891666666666,115.80275,107.90666666666668,70.28866666666667,76.80283333333334,74.25166666666667,80.99066666666666
Aragón,2007,80.82708333333333,59.113166666666665,94.97466666666666,73.71366666666667,91.82974999999999,88.34366666666666,80.1015,116.50216666666667,108.38099999999999,73.52908333333333,80.95858333333334,76.92675,83.354
