Comunidad autónoma;Nivel de dificultad;Periodo;Total
11 Extremadura;Con dificultad;2018;23,1
11 Extremadura;Con dificultad;2017;22,1
11 Extremadura;Con dificultad;2016;19,6
11 Extremadura;Con dificultad;2015;19,3
11 Extremadura;Con dificultad;2014;23,7
11 Extremadura;Con dificultad;2013;22,7
11 Extremadura;Con dificultad;2012;19,8
11 Extremadura;Con dificultad;2011;14
11 Extremadura;Con dificultad;2010;21,6
11 Extremadura;Con dificultad;2009;19
11 Extremadura;Con dificultad;2008;20,6
11 Extremadura;Con dificultad;2007;21
11 Extremadura;Con dificultad;2006;26,8
11 Extremadura;Con dificultad;2005;18,7
11 Extremadura;Con dificultad;2004;21,4
11 Extremadura;Con cierta dificultad;2024;28,1
11 Extremadura;Con cierta dificultad;2023;27,4
11 Extremadura;Con cierta dificultad;2022;28,4
11 Extremadura;Con cierta dificultad;2021;26,7
11 Extremadura;Con cierta dificultad;2020;26,9
11 Extremadura;Con cierta dificultad;2019;29,8
11 Extremadura;Con cierta dificultad;2018;31,1
11 Extremadura;Con cierta dificultad;2017;27,8
11 Extremadura;Con cierta dificultad;2016;27,7
11 Extremadura;Con cierta dificultad;2015;27,5
11 Extremadura;Con cierta dificultad;2014;27,9
11 Extremadura;Con cierta dificultad;2013;29,3
11 Extremadura;Con cierta dificultad;2012;28,3
11 Extremadura;Con cierta dificultad;2011;35,3
11 Extremadura;Con cierta dificultad;2010;33,2
11 Extremadura;Con cierta dificultad;2009;36,6
11 Extremadura;Con cierta dificultad;2008;33,4
11 Extremadura;Con cierta dificultad;2007;36,4
11 Extremadura;Con cierta dificultad;2006;37,6
11 Extremadura;Con cierta dificultad;2005;33,8
11 Extremadura;Con cierta dificultad;2004;31,9
12 Galicia;Con mucha dificultad;2024;6
12 Galicia;Con mucha dificultad;2023;8,6
12 Galicia;Con mucha dificultad;2022;7
12 Galicia;Con mucha dificultad;2021;6,9
12 Galicia;Con mucha dificultad;2020;6,6
12 Galicia;Con mucha dificultad;2019;5,5
12 Galicia;Con mucha dificultad;2018;6,2
12 Galicia;Con mucha dificultad;2017;5,5
12 Galicia;Con mucha dificultad;2016;5,9
12 Galicia;Con mucha dificultad;2015;7,8
12 Galicia;Con mucha dificultad;2014;21,5
12 Galicia;Con mucha dificultad;2013;17,1
12 Galicia;Con mucha dificultad;2012;13
12 Galicia;Con mucha dificultad;2011;12,1
12 Galicia;Con mucha dificultad;2010;13,4
12 Galicia;Con mucha dificultad;2009;13,1
12 Galicia;Con mucha dificultad;2008;9,9
12 Galicia;Con mucha dificultad;2007;9
12 Galicia;Con mucha dificultad;2006;10,8
12 Galicia;Con mucha dificultad;2005;8,5
12 Galicia;Con mucha dificultad;2004;8,6
12 Galicia;Con dificultad;2024;10
12 Galicia;Con dificultad;2023;10,6
12 Galicia;Con dificultad;2022;10,3
12 Galicia;Con dificultad;2021;9,9
12 Galicia;Con dificultad;2020;8,7
12 Galicia;Con dificultad;2019;12,9
12 Galicia;Con dificultad;2018;13,9
12 Galicia;Con dificultad;2017;9
12 Galicia;Con dificultad;2016;16,9
12 Galicia;Con dificultad;2015;18,6
12 Galicia;Con dificultad;2014;19,9
12 Galicia;Con dificultad;2013;20,6
12 Galicia;Con dificultad;2012;17,9
12 Galicia;Con dificultad;2011;17,1
12 Galicia;Con dificultad;2010;16,5
12 Galicia;Con dificultad;2009;19,5
12 Galicia;Con dificultad;2008;17,5
12 Galicia;Con dificultad;2007;16,9
12 Galicia;Con dificultad;2006;21,7
12 Galicia;Con dificultad;2005;18,6
12 Galicia;Con dificultad;2004;16,9
12 Galicia;Con cierta dificultad;2024;24,9
12 Galicia;Con cierta dificultad;2023;25
12 Galicia;Con cierta dificultad;2022;26,7
12 Galicia;Con cierta dificultad;2021;24,6
12 Galicia;Con cierta dificultad;2020;21,6
12 Galicia;Con cierta dificultad;2019;20,9
12 Galicia;Con cierta dificultad;2018;25,4
12 Galicia;Con cierta dificultad;2017;28,4
12 Galicia;Con cierta dificultad;2016;33,2
12 Galicia;Con cierta dificultad;2015;30,3
12 Galicia;Con cierta dificultad;2014;24,5
12 Galicia;Con cierta dificultad;2013;34,6
12 Galicia;Con cierta dificultad;2012;32,1
12 Galicia;Con cierta dificultad;2011;32,8
12 Galicia;Con cierta dificultad;2010;30,8
12 Galicia;Con cierta dificultad;2009;27,8
12 Galicia;Con cierta dificultad;2008;34,4
12 Galicia;Con cierta dificultad;2007;36
12 Galicia;Con cierta dificultad;2006;34,8
12 Galicia;Con cierta dificultad;2005;31
12 Galicia;Con cierta dificultad;2004;33,5
13 Madrid, Comunidad de;Con mucha dificultad;2024;8,6
13 Madrid, Comunidad de;Con mucha dificultad;2023;9,2
13 Madrid, Comunidad de;Con mucha dificultad;2022;8,3
13 Madrid, Comunidad de;Con mucha dificultad;2021;6,9
13 Madrid, Comunidad de;Con mucha dificultad;2020;8,5
13 Madrid, Comunidad de;Con mucha dificultad;2019;7
13 Madrid, Comunidad de;Con mucha dificultad;2018;10,6
13 Madrid, Comunidad de;Con mucha dificultad;2017;6,7
13 Madrid, Comunidad de;Con mucha dificultad;2016;12,2
13 Madrid, Comunidad de;Con mucha dificultad;2015;10,7
13 Madrid, Comunidad de;Con mucha dificultad;2014;13,9
13 Madrid, Comunidad de;Con mucha dificultad;2013;17,3
13 Madrid, Comunidad de;Con mucha dificultad;2012;12,2
13 Madrid, Comunidad de;Con mucha dificultad;2011;13,8
13 Madrid, Comunidad de;Con mucha dificultad;2010;14,3
13 Madrid, Comunidad de;Con mucha dificultad;2009;15
13 Madrid, Comunidad de;Con mucha dificultad;2008;16,4
13 Madrid, Comunidad de;Con mucha dificultad;2007;12,7
13 Madrid, Comunidad de;Con mucha dificultad;2006;10,2
13 Madrid, Comunidad de;Con mucha dificultad;2005;12,5
13 Madrid, Comunidad de;Con mucha dificultad;2004;9,6
13 Madrid, Comunidad de;Con dificultad;2024;12,1
13 Madrid, Comunidad de;Con dificultad;2023;12,7
13 Madrid, Comunidad de;Con dificultad;2022;11,7
13 Madrid, Comunidad de;Con dificultad;2021;12,1
13 Madrid, Comunidad de;Con dificultad;2020;13,2
13 Madrid, Comunidad de;Con dificultad;2019;11,3
13 Madrid, Comunidad de;Con dificultad;2018;13
13 Madrid, Comunidad de;Con dificultad;2017;12,9
13 Madrid, Comunidad de;Con dificultad;2016;17,5
13 Madrid, Comunidad de;Con dificultad;2015;18,7
13 Madrid, Comunidad de;Con dificultad;2014;21,1
13 Madrid, Comunidad de;Con dificultad;2013;19,7
13 Madrid, Comunidad de;Con dificultad;2012;23
13 Madrid, Comunidad de;Con dificultad;2011;20,1
13 Madrid, Comunidad de;Con dificultad;2010;17,8
13 Madrid, Comunidad de;Con dificultad;2009;14
13 Madrid, Comunidad de;Con dificultad;2008;16,1
13 Madrid, Comunidad de;Con dificultad;2007;16,1
13 Madrid, Comunidad de;Con dificultad;2006;16,9
13 Madrid, Comunidad de;Con dificultad;2005;16
13 Madrid, Comunidad de;Con dificultad;2004;18,9
13 Madrid, Comunidad de;Con cierta dificultad;2024;23,7
13 Madrid, Comunidad de;Con cierta dificultad;2023;21,5
13 Madrid, Comunidad de;Con cierta dificultad;2022;23,3
13 Madrid, Comunidad de;Con cierta dificultad;2021;21,7
13 Madrid, Comunidad de;Con cierta dificultad;2020;20,5
13 Madrid, Comunidad de;Con cierta dificultad;2019;24,9
13 Madrid, Comunidad de;Con cierta dificultad;2018;28,3
13 Madrid, Comunidad de;Con cierta dificultad;2017;27,5
13 Madrid, Comunidad de;Con cierta dificultad;2016;28,8
13 Madrid, Comunidad de;Con cierta dificultad;2015;29
13 Madrid, Comunidad de;Con cierta dificultad;2014;28,7
13 Madrid, Comunidad de;Con cierta dificultad;2013;26
13 Madrid, Comunidad de;Con cierta dificultad;2012;28,9
13 Madrid, Comunidad de;Con cierta dificultad;2011;26,6
13 Madrid, Comunidad de;Con cierta dificultad;2010;23,9
13 Madrid, Comunidad de;Con cierta dificultad;2009;27,5
13 Madrid, Comunidad de;Con cierta dificultad;2008;27
13 Madrid, Comunidad de;Con cierta dificultad;2007;24,4
13 Madrid, Comunidad de;Con cierta dificultad;2006;29,9
13 Madrid, Comunidad de;Con cierta dificultad;2005;24,6
13 Madrid, Comunidad de;Con cierta dificultad;2004;31,9
14 Murcia, Región de;Con mucha dificultad;2024;10,7
14 Murcia, Región de;Con mucha dificultad;2023;7,8
14 Murcia, Región de;Con mucha dificultad;2022;7,3
14 Murcia, Región de;Con mucha dificultad;2021;11,8
14 Murcia, Región de;Con mucha dificultad;2020;11,2
14 Murcia, Región de;Con mucha dificultad;2019;13,5
14 Murcia, Región de;Con mucha dificultad;2018;15,6
14 Murcia, Región de;Con mucha dificultad;2017;17,6
14 Murcia, Región de;Con mucha dificultad;2016;26,2
14 Murcia, Región de;Con mucha dificultad;2015;21,5
14 Murcia, Región de;Con mucha dificultad;2014;24,9
14 Murcia, Región de;Con mucha dificultad;2013;26,1
14 Murcia, Región de;Con mucha dificultad;2012;27,4
14 Murcia, Región de;Con mucha dificultad;2011;12,8
14 Murcia, Región de;Con mucha dificultad;2010;26,1
14 Murcia, Región de;Con mucha dificultad;2009;28,1
14 Murcia, Región de;Con mucha dificultad;2008;15,4
14 Murcia, Región de;Con mucha dificultad;2007;16,9
14 Murcia, Región de;Con mucha dificultad;2006;15
14 Murcia, Región de;Con mucha dificultad;2005;18,3
14 Murcia, Región de;Con mucha dificultad;2004;21,1
14 Murcia, Región de;Con dificultad;2024;15,2
14 Murcia, Región de;Con dificultad;2023;18,8
14 Murcia, Región de;Con dificultad;2022;18,1
14 Murcia, Región de;Con dificultad;2021;19,9
14 Murcia, Región de;Con dificultad;2020;18,4
14 Murcia, Región de;Con dificultad;2019;20,9
14 Murcia, Región de;Con dificultad;2018;24,3
14 Murcia, Región de;Con dificultad;2017;22,7
14 Murcia, Región de;Con dificultad;2016;20,1
14 Murcia, Región de;Con dificultad;2015;24
14 Murcia, Región de;Con dificultad;2014;23,2
14 Murcia, Región de;Con dificultad;2013;23,9
14 Murcia, Región de;Con dificultad;2012;22,6
14 Murcia, Región de;Con dificultad;2011;27,9
14 Murcia, Región de;Con dificultad;2010;23,4
14 Murcia, Región de;Con dificultad;2009;22,2
14 Murcia, Región de;Con dificultad;2008;21
14 Murcia, Región de;Con dificultad;2007;16,2
14 Murcia, Región de;Con dificultad;2006;22
14 Murcia, Región de;Con dificultad;2005;21,9
14 Murcia, Región de;Con dificultad;2004;18,8
14 Murcia, Región de;Con cierta dificultad;2024;28,6
14 Murcia, Región de;Con cierta dificultad;2023;30,8
14 Murcia, Región de;Con cierta dificultad;2022;32,9
14 Murcia, Región de;Con cierta dificultad;2021;25
14 Murcia, Región de;Con cierta dificultad;2020;27,2
14 Murcia, Región de;Con cierta dificultad;2019;33,7
14 Murcia, Región de;Con cierta dificultad;2018;30,8
14 Murcia, Región de;Con cierta dificultad;2017;29,4
14 Murcia, Región de;Con cierta dificultad;2016;25,5
14 Murcia, Región de;Con cierta dificultad;2015;32,6
14 Murcia, Región de;Con cierta dificultad;2014;29,4
14 Murcia, Región de;Con cierta dificultad;2013;28,7
14 Murcia, Región de;Con cierta dificultad;2012;28,3
14 Murcia, Región de;Con cierta dificultad;2011;29,9
14 Murcia, Región de;Con cierta dificultad;2010;28,5
14 Murcia, Región de;Con cierta dificultad;2009;23,7
14 Murcia, Región de;Con cierta dificultad;2008;32,2
14 Murcia, Región de;Con cierta dificultad;2007;31,7
14 Murcia, Región de;Con cierta dificultad;2006;36,4
14 Murcia, Región de;Con cierta dificultad;2005;30,3
14 Murcia, Región de;Con cierta dificultad;2004;35
15 Navarra, Comunidad Foral de;Con mucha dificultad;2024;6,1
15 Navarra, Comunidad Foral de;Con mucha dificultad;2023;7,2
15 Navarra, Comunidad Foral de;Con mucha dificultad;2022;6,4
15 Navarra, Comunidad Foral de;Con mucha dificultad;2021;6,4
15 Navarra, Comunidad Foral de;Con mucha dificultad;2020;5,9
15 Navarra, Comunidad Foral de;Con mucha dificultad;2019;7,4
15 Navarra, Comunidad Foral de;Con mucha dificultad;2018;10,4
15 Navarra, Comunidad Foral de;Con mucha dificultad;2017;1,4
15 Navarra, Comunidad Foral de;Con mucha dificultad;2016;7,9
15 Navarra, Comunidad Foral de;Con mucha dificultad;2015;6,6
15 Navarra, Comunidad Foral de;Con mucha dificultad;2014;4,6
15 Navarra, Comunidad Foral de;Con mucha dificultad;2013;5,1
15 Navarra, Comunidad Foral de;Con mucha dificultad;2012;6,6
15 Navarra, Comunidad Foral de;Con mucha dificultad;2011;4,2
15 Navarra, Comunidad Foral de;Con mucha dificultad;2010;6,8
15 Navarra, Comunidad Foral de;Con mucha dificultad;2009;8,9
15 Navarra, Comunidad Foral de;Con mucha dificultad;2008;7,2
15 Navarra, Comunidad Foral de;Con mucha dificultad;2007;4,5
15 Navarra, Comunidad Foral de;Con mucha dificultad;2006;6,9
15 Navarra, Comunidad Foral de;Con mucha dificultad;2005;4,3
15 Navarra, Comunidad Foral de;Con mucha dificultad;2004;4,8
15 Navarra, Comunidad Foral de;Con dificultad;2024;12,3
15 Navarra, Comunidad Foral de;Con dificultad;2023;11,8
15 Navarra, Comunidad Foral de;Con dificultad;2022;10,5
15 Navarra, Comunidad Foral de;Con dificultad;2021;10
15 Navarra, Comunidad Foral de;Con dificultad;2020;11,9
15 Navarra, Comunidad Foral de;Con dificultad;2019;6,2
15 Navarra, Comunidad Foral de;Con dificultad;2018;9,3
15 Navarra, Comunidad Foral de;Con dificultad;2017;3,3
15 Navarra, Comunidad Foral de;Con dificultad;2016;10,5
15 Navarra, Comunidad Foral de;Con dificultad;2015;15,2
15 Navarra, Comunidad Foral de;Con dificultad;2014;12,5
15 Navarra, Comunidad Foral de;Con dificultad;2013;15,6
15 Navarra, Comunidad Foral de;Con dificultad;2012;13,8
15 Navarra, Comunidad Foral de;Con dificultad;2011;8,7
15 Navarra, Comunidad Foral de;Con dificultad;2010;10,2
15 Navarra, Comunidad Foral de;Con dificultad;2009;11,3
15 Navarra, Comunidad Foral de;Con dificultad;2008;11,8
15 Navarra, Comunidad Foral de;Con dificultad;2007;12,7
15 Navarra, Comunidad Foral de;Con dificultad;2006;9,7
15 Navarra, Comunidad Foral de;Con dificultad;2005;8,3
15 Navarra, Comunidad Foral de;Con dificultad;2004;10,7
15 Navarra, Comunidad Foral de;Con cierta dificultad;2024;23,2
15 Navarra, Comunidad Foral de;Con cierta dificultad;2023;22,7
15 Navarra, Comunidad Foral de;Con cierta dificultad;2022;22,6
15 Navarra, Comunidad Foral de;Con cierta dificultad;2021;18,4
15 Navarra, Comunidad Foral de;Con cierta dificultad;2020;14,6
15 Navarra, Comunidad Foral de;Con cierta dificultad;2019;18,6
15 Navarra, Comunidad Foral de;Con cierta dificultad;2018;19,8
15 Navarra, Comunidad Foral de;Con cierta dificultad;2017;20,2
15 Navarra, Comunidad Foral de;Con cierta dificultad;2016;27,7
15 Navarra, Comunidad Foral de;Con cierta dificultad;2015;25,4
15 Navarra, Comunidad Foral de;Con cierta dificultad;2014;19,8
15 Navarra, Comunidad Foral de;Con cierta dificultad;2013;26,6
15 Navarra, Comunidad Foral de;Con cierta dificultad;2012;23
15 Navarra, Comunidad Foral de;Con cierta dificultad;2011;24,8
15 Navarra, Comunidad Foral de;Con cierta dificultad;2010;18,3
15 Navarra, Comunidad Foral de;Con cierta dificultad;2009;19,6
15 Navarra, Comunidad Foral de;Con cierta dificultad;2008;21,6
15 Navarra, Comunidad Foral de;Con cierta dificultad;2007;20,4
15 Navarra, Comunidad Foral de;Con cierta dificultad;2006;25,4
15 Navarra, Comunidad Foral de;Con cierta dificultad;2005;26,1
15 Navarra, Comunidad Foral de;Con cierta dificultad;2004;23,3
16 País Vasco;Con mucha dificultad;2024;5,1
16 País Vasco;Con mucha dificultad;2023;6,3
16 País Vasco;Con mucha dificultad;2022;3,9
16 País Vasco;Con mucha dificultad;2021;4,6
16 País Vasco;Con mucha dificultad;2020;5,6
16 País Vasco;Con mucha dificultad;2019;6,2
16 País Vasco;Con mucha dificultad;2018;6,5
16 País Vasco;Con mucha dificultad;2017;5,4
16 País Vasco;Con mucha dificultad;2016;6
16 País Vasco;Con mucha dificultad;2015;10,4
16 País Vasco;Con mucha dificultad;2014;11,1
16 País Vasco;Con mucha dificultad;2013;11,5
16 País Vasco;Con mucha dificultad;2012;6,4
16 País Vasco;Con mucha dificultad;2011;6,4
16 País Vasco;Con mucha dificultad;2010;5,7
16 País Vasco;Con mucha dificultad;2009;10,3
16 País Vasco;Con mucha dificultad;2008;7,1
16 País Vasco;Con mucha dificultad;2007;6,7
16 País Vasco;Con mucha dificultad;2006;5,1
16 País Vasco;Con mucha dificultad;2005;7,9
16 País Vasco;Con mucha dificultad;2004;5,2
16 País Vasco;Con dificultad;2024;9
16 País Vasco;Con dificultad;2023;7,8
16 País Vasco;Con dificultad;2022;8
16 País Vasco;Con dificultad;2021;5,8
16 País Vasco;Con dificultad;2020;9,4
16 País Vasco;Con dificultad;2019;9,5
16 País Vasco;Con dificultad;2018;10,2
16 País Vasco;Con dificultad;2017;11,1
16 País Vasco;Con dificultad;2016;7,8
16 País Vasco;Con dificultad;2015;9,7
16 País Vasco;Con dificultad;2014;14,3
16 País Vasco;Con dificultad;2013;12,7
16 País Vasco;Con dificultad;2012;10,2
16 País Vasco;Con dificultad;2011;10,3
16 País Vasco;Con dificultad;2010;11,2
16 País Vasco;Con dificultad;2009;11
16 País Vasco;Con dificultad;2008;11,3
16 País Vasco;Con dificultad;2007;13,1
16 País Vasco;Con dificultad;2006;10,5
16 País Vasco;Con dificultad;2005;12,6
16 País Vasco;Con dificultad;2004;13,1
16 País Vasco;Con cierta dificultad;2024;19,7
16 País Vasco;Con cierta dificultad;2023;19
16 País Vasco;Con cierta dificultad;2022;19,7
16 País Vasco;Con cierta dificultad;2021;21,4
16 País Vasco;Con cierta dificultad;2020;16,7
16 País Vasco;Con cierta dificultad;2019;23,1
16 País Vasco;Con cierta dificultad;2018;18,5
16 País Vasco;Con cierta dificultad;2017;16,7
16 País Vasco;Con cierta dificultad;2016;24,9
16 País Vasco;Con cierta dificultad;2015;23,2
16 País Vasco;Con cierta dificultad;2014;25,6
16 País Vasco;Con cierta dificultad;2013;26,1
16 País Vasco;Con cierta dificultad;2012;22,8
16 País Vasco;Con cierta dificultad;2011;24,1
16 País Vasco;Con cierta dificultad;2010;24,7
16 País Vasco;Con cierta dificultad;2009;23,5
16 País Vasco;Con cierta dificultad;2008;24,4
16 País Vasco;Con cierta dificultad;2007;28,6
16 País Vasco;Con cierta dificultad;2006;31,6
16 País Vasco;Con cierta dificultad;2005;29,1
16 País Vasco;Con cierta dificultad;2004;31,4
17 Rioja, La;Con mucha dificultad;2024;5,9
17 Rioja, La;Con mucha dificultad;2023;4,8
17 Rioja, La;Con mucha dificultad;2022;3,3
17 Rioja, La;Con mucha dificultad;2021;3,1
17 Rioja, La;Con mucha dificultad;2020;6
17 Rioja, La;Con mucha dificultad;2019;2,8
17 Rioja, La;Con mucha dificultad;2018;7,4
17 Rioja, La;Con mucha dificultad;2017;0,6
17 Rioja, La;Con mucha dificultad;2016;8,3
17 Rioja, La;Con mucha dificultad;2015;8,7
17 Rioja, La;Con mucha dificultad;2014;10,9
17 Rioja, La;Con mucha dificultad;2013;14,4
17 Rioja, La;Con mucha dificultad;2012;14,4
17 Rioja, La;Con mucha dificultad;2011;8,8
17 Rioja, La;Con mucha dificultad;2010;16,4
17 Rioja, La;Con mucha dificultad;2009;15,3
17 Rioja, La;Con mucha dificultad;2008;13,2
17 Rioja, La;Con mucha dificultad;2007;8,9
17 Rioja, La;Con mucha dificultad;2006;9,8
17 Rioja, La;Con mucha dificultad;2005;5,1
17 Rioja, La;Con mucha dificultad;2004;6,7
17 Rioja, La;Con dificultad;2024;8,6
17 Rioja, La;Con dificultad;2023;12,6
17 Rioja, La;Con dificultad;2022;10,6
17 Rioja, La;Con dificultad;2021;9,8
17 Rioja, La;Con dificultad;2020;8,1
17 Rioja, La;Con dificultad;2019;4,5
17 Rioja, La;Con dificultad;2018;7,8
17 Rioja, La;Con dificultad;2017;9,2
17 Rioja, La;Con dificultad;2016;14,9
17 Rioja, La;Con dificultad;2015;18,1
17 Rioja, La;Con dificultad;2014;22,9
17 Rioja, La;Con dificultad;2013;17,6
17 Rioja, La;Con dificultad;2012;15,9
17 Rioja, La;Con dificultad;2011;17,6
17 Rioja, La;Con dificultad;2010;6,9
17 Rioja, La;Con dificultad;2009;14,5
17 Rioja, La;Con dificultad;2008;14,8
17 Rioja, La;Con dificultad;2007;13
17 Rioja, La;Con dificultad;2006;16,8
17 Rioja, La;Con dificultad;2005;13,5
17 Rioja, La;Con dificultad;2004;11,4
17 Rioja, La;Con cierta dificultad;2024;25,1
17 Rioja, La;Con cierta dificultad;2023;23,3
17 Rioja, La;Con cierta dificultad;2022;22,1
17 Rioja, La;Con cierta dificultad;2021;19,4
17 Rioja, La;Con cierta dificultad;2020;13,6
17 Rioja, La;Con cierta dificultad;2019;18,1
17 Rioja, La;Con cierta dificultad;2018;22,6
17 Rioja, La;Con cierta dificultad;2017;20
17 Rioja, La;Con cierta dificultad;2016;15,9
17 Rioja, La;Con cierta dificultad;2015;22,2
17 Rioja, La;Con cierta dificultad;2014;19,7
17 Rioja, La;Con cierta dificultad;2013;27,4
17 Rioja, La;Con cierta dificultad;2012;29,2
17 Rioja, La;Con cierta dificultad;2011;23,4
17 Rioja, La;Con cierta dificultad;2010;29
17 Rioja, La;Con cierta dificultad;2009;25,7
17 Rioja, La;Con cierta dificultad;2008;27,2
17 Rioja, La;Con cierta dificultad;2007;24,1
17 Rioja, La;Con cierta dificultad;2006;24,4
17 Rioja, La;Con cierta dificultad;2005;27,7
17 Rioja, La;Con cierta dificultad;2004;28
18 Ceuta;Con mucha dificultad;2024;17,2
18 Ceuta;Con mucha dificultad;2023;20,9
18 Ceuta;Con mucha dificultad;2022;20,2
18 Ceuta;Con mucha dificultad;2021;26,4
18 Ceuta;Con mucha dificultad;2020;2,7
18 Ceuta;Con mucha dificultad;2019;21,3
18 Ceuta;Con mucha dificultad;2018;32,6
18 Ceuta;Con mucha dificultad;2017;17,3
18 Ceuta;Con mucha dificultad;2016;15,8
18 Ceuta;Con mucha dificultad;2015;25,9
18 Ceuta;Con mucha dificultad;2014;30,5
18 Ceuta;Con mucha dificultad;2013;34,2
18 Ceuta;Con mucha dificultad;2012;13,7
18 Ceuta;Con mucha dificultad;2011;14,3
18 Ceuta;Con mucha dificultad;2010;24,8
18 Ceuta;Con mucha dificultad;2009;17,8
18 Ceuta;Con mucha dificultad;2008;23,7
18 Ceuta;Con mucha dificultad;2007;28,5
18 Ceuta;Con mucha dificultad;2006;30
18 Ceuta;Con mucha dificultad;2005;22,8
18 Ceuta;Con mucha dificultad;2004;34,1
18 Ceuta;Con dificultad;2024;16,4
18 Ceuta;Con dificultad;2023;12,2
18 Ceuta;Con dificultad;2022;14,6
18 Ceuta;Con dificultad;2021;11,4
18 Ceuta;Con dificultad;2020;28,7
18 Ceuta;Con dificultad;2019;16,6
18 Ceuta;Con dificultad;2018;18,6
18 Ceuta;Con dificultad;2017;24,6
18 Ceuta;Con dificultad;2016;25,4
18 Ceuta;Con dificultad;2015;20,2
18 Ceuta;Con dificultad;2014;25
18 Ceuta;Con dificultad;2013;29,1
18 Ceuta;Con dificultad;2012;40,3
18 Ceuta;Con dificultad;2011;20,9
18 Ceuta;Con dificultad;2010;21,4
18 Ceuta;Con dificultad;2009;24,2
18 Ceuta;Con dificultad;2008;17,4
18 Ceuta;Con dificultad;2007;16
18 Ceuta;Con dificultad;2006;27,3
18 Ceuta;Con dificultad;2005;39,5
18 Ceuta;Con dificultad;2004;26,9
18 Ceuta;Con cierta dificultad;2024;26,4
18 Ceuta;Con cierta dificultad;2023;29,4
18 Ceuta;Con cierta dificultad;2022;25,5
18 Ceuta;Con cierta dificultad;2021;16,1
18 Ceuta;Con cierta dificultad;2020;11,2
18 Ceuta;Con cierta dificultad;2019;13,9
18 Ceuta;Con cierta dificultad;2018;12,8
18 Ceuta;Con cierta dificultad;2017;18,6
18 Ceuta;Con cierta dificultad;2016;23,5
18 Ceuta;Con cierta dificultad;2015;23,4
18 Ceuta;Con cierta dificultad;2014;23,5
18 Ceuta;Con cierta dificultad;2013;19,1
18 Ceuta;Con cierta dificultad;2012;27
18 Ceuta;Con cierta dificultad;2011;33,3
18 Ceuta;Con cierta dificultad;2010;31,8
18 Ceuta;Con cierta dificultad;2009;35,8
18 Ceuta;Con cierta dificultad;2008;21,9
18 Ceuta;Con cierta dificultad;2007;24,5
18 Ceuta;Con cierta dificultad;2006;26,2
18 Ceuta;Con cierta dificultad;2005;23,3
18 Ceuta;Con cierta dificultad;2004;16,7
19 Melilla;Con mucha dificultad;2024;10,2
19 Melilla;Con mucha dificultad;2023;10,7
19 Melilla;Con mucha dificultad;2022;15,6
19 Melilla;Con mucha dificultad;2021;18,7
19 Melilla;Con mucha dificultad;2020;17,6
19 Melilla;Con mucha dificultad;2019;14,5
19 Melilla;Con mucha dificultad;2018;15,8
19 Melilla;Con mucha dificultad;2017;13,7
19 Melilla;Con mucha dificultad;2016;12
19 Melilla;Con mucha dificultad;2015;17
19 Melilla;Con mucha dificultad;2014;12,4
19 Melilla;Con mucha dificultad;2013;18,6
19 Melilla;Con mucha dificultad;2012;8,5
19 Melilla;Con mucha dificultad;2011;9,2
19 Melilla;Con mucha dificultad;2010;8,1
19 Melilla;Con mucha dificultad;2009;12,7
19 Melilla;Con mucha dificultad;2008;10,9
19 Melilla;Con mucha dificultad;2007;14,5
19 Melilla;Con mucha dificultad;2006;19,7
19 Melilla;Con mucha dificultad;2005;16,5
19 Melilla;Con mucha dificultad;2004;9,3
19 Melilla;Con dificultad;2024;13,7
19 Melilla;Con dificultad;2023;16,1
19 Melilla;Con dificultad;2022;10,2
19 Melilla;Con dificultad;2021;15,1
19 Melilla;Con dificultad;2020;17,1
19 Melilla;Con dificultad;2019;16,4
19 Melilla;Con dificultad;2018;12,8
19 Melilla;Con dificultad;2017;14,2
19 Melilla;Con dificultad;2016;25,9
19 Melilla;Con dificultad;2015;16,7
19 Melilla;Con dificultad;2014;19,3
19 Melilla;Con dificultad;2013;9,3
19 Melilla;Con dificultad;2012;8,6
19 Melilla;Con dificultad;2011;23,2
19 Melilla;Con dificultad;2010;20
19 Melilla;Con dificultad;2009;24,8
19 Melilla;Con dificultad;2008;15,4
19 Melilla;Con dificultad;2007;14,2
19 Melilla;Con dificultad;2006;21,1
19 Melilla;Con dificultad;2005;13,2
19 Melilla;Con dificultad;2004;11,1
19 Melilla;Con cierta dificultad;2024;24,3
19 Melilla;Con cierta dificultad;2023;24,4
19 Melilla;Con cierta dificultad;2022;21,7
19 Melilla;Con cierta dificultad;2021;21,8
19 Melilla;Con cierta dificultad;2020;15,8
19 Melilla;Con cierta dificultad;2019;13,8
19 Melilla;Con cierta dificultad;2018;23,3
19 Melilla;Con cierta dificultad;2017;26,5
19 Melilla;Con cierta dificultad;2016;21,9
19 Melilla;Con cierta dificultad;2015;35,6
19 Melilla;Con cierta dificultad;2014;25,7
19 Melilla;Con cierta dificultad;2013;32,3
19 Melilla;Con cierta dificultad;2012;43,2
19 Melilla;Con cierta dificultad;2011;49
19 Melilla;Con cierta dificultad;2010;41,2
19 Melilla;Con cierta dificultad;2009;30
19 Melilla;Con cierta dificultad;2008;27,4
19 Melilla;Con cierta dificultad;2007;31,9
19 Melilla;Con cierta dificultad;2006;14,5
19 Melilla;Con cierta dificultad;2005;31
19 Melilla;Con cierta dificultad;2004;34,9
